date,open,high,low,close,volume
2024-10-24 16:01:40.286929,198.84,200.76,198.75,199.34,72061295
2024-10-25 16:01:40.286929,191.34,192.32,190.53,190.77,89524855
2024-10-28 16:01:40.286929,189.78,191.25,185.13,189.7,94361563
2024-10-29 16:01:40.286929,189.61,190.74,185.81,188.77,90297609
2024-10-30 16:01:40.286929,181.25,186.16,180.28,181.61,61736108
2024-10-31 16:01:40.286929,185.35,185.78,183.35,183.88,17390164
2024-11-01 16:01:40.286929,186.1,189.85,185.13,186.53,17130677
2024-11-04 16:01:40.286929,181.6,184.96,177.83,179.08,15064228
2024-11-05 16:01:40.286929,176.17,177.2,174.54,176.95,69099371
2024-11-06 16:01:40.286929,178.17,179.49,176.41,178.95,77618574
2024-11-07 16:01:40.286929,178.7,180.34,175.86,180.28,24568197
2024-11-08 16:01:40.286929,179.15,180.83,174.39,177.01,21235816
2024-11-11 16:01:40.286929,182.49,183.6,181.8,181.96,54761079
2024-11-12 16:01:40.286929,176.06,177.01,173.37,175.12,35805878
2024-11-13 16:01:40.286929,172.42,172.93,171.27,172.78,43211097
2024-11-14 16:01:40.286929,176.25,180.14,173.42,176.59,68613729
2024-11-15 16:01:40.286929,178.6,179.8,176.38,177.05,89786558
2024-11-18 16:01:40.286929,175.81,176.09,174.19,175.22,64262467
2024-11-19 16:01:40.286929,185.36,186.44,181.62,183.09,29581116
2024-11-20 16:01:40.286929,183.47,185.05,177.64,181.22,29269065
2024-11-21 16:01:40.286929,175.0,178.58,173.27,174.7,31301158
2024-11-22 16:01:40.286929,170.78,171.53,168.16,169.81,60628139
2024-11-25 16:01:40.286929,174.01,177.26,173.08,175.67,17339439
2024-11-26 16:01:40.286929,170.02,170.62,168.83,169.64,26061920
2024-11-27 16:01:40.286929,173.8,174.81,172.59,174.22,82965230
2024-11-28 16:01:40.286929,172.89,173.22,171.36,172.78,26644014
2024-11-29 16:01:40.286929,180.44,182.73,180.08,180.43,43162698
