date,open,high,low,close,volume
2024-10-24 16:01:40.206611,63.69,63.92,62.62,63.14,21892944
2024-10-25 16:01:40.206611,59.42,60.12,58.69,59.4,15407293
2024-10-28 16:01:40.206611,60.54,61.56,60.24,60.44,21271450
2024-10-29 16:01:40.206611,62.01,62.41,61.39,62.03,71113310
2024-10-30 16:01:40.206611,64.05,64.57,63.79,63.9,56391591
2024-10-31 16:01:40.206611,62.07,62.86,61.72,62.14,60422995
2024-11-01 16:01:40.206611,59.81,59.92,58.99,59.58,31610152
2024-11-04 16:01:40.206611,58.94,59.11,57.82,59.06,61877217
2024-11-05 16:01:40.206611,60.16,60.36,59.11,59.75,14913327
2024-11-06 16:01:40.206611,58.68,58.69,58.27,58.54,58021589
2024-11-07 16:01:40.206611,56.49,57.22,55.73,56.53,86126205
2024-11-08 16:01:40.206611,57.7,57.9,56.07,57.46,19445020
2024-11-11 16:01:40.206611,57.17,57.55,56.96,57.03,67111738
2024-11-12 16:01:40.206611,58.07,58.38,57.42,57.84,23321162
2024-11-13 16:01:40.206611,57.89,58.48,57.48,57.87,17550304
2024-11-14 16:01:40.206611,57.6,58.0,57.55,57.67,17837157
2024-11-15 16:01:40.206611,57.64,58.2,57.22,57.6,2360448
2024-11-18 16:01:40.206611,57.02,58.24,56.67,57.16,89747198
2024-11-19 16:01:40.206611,56.88,58.35,56.09,56.6,57144638
2024-11-20 16:01:40.206611,55.66,56.08,55.24,55.26,87528456
2024-11-21 16:01:40.206611,56.02,56.29,55.84,55.86,55699276
2024-11-22 16:01:40.206611,57.84,58.1,56.36,57.43,6559215
2024-11-25 16:01:40.206611,57.14,57.27,56.71,56.82,46656307
2024-11-26 16:01:40.206611,59.14,59.36,59.1,59.22,69129047
2024-11-27 16:01:40.206611,59.97,60.17,59.41,59.72,14558563
2024-11-28 16:01:40.206611,59.69,60.62,58.62,60.08,47812307
2024-11-29 16:01:40.206611,61.02,61.53,60.94,60.97,54108266
2024-12-02 16:01:40.206611,61.94,62.32,61.67,62.31,27485868
2024-12-03 16:01:40.206611,61.66,61.81,61.6,61.7,19032170
2024-12-04 16:01:40.206611,62.02,62.49,61.96,62.47,85869971
2024-12-05 16:01:40.206611,64.3,64.56,63.63,63.95,14069504
2024-12-06 16:01:40.206611,63.3,64.56,62.95,63.43,18273458
2024-12-09 16:01:40.206611,63.74,64.55,62.37,63.45,54932077
2024-12-10 16:01:40.206611,62.38,62.87,62.03,62.4,71492733
2024-12-11 16:01:40.206611,61.17,62.2,60.23,61.74,6624433
2024-12-12 16:01:40.206611,61.13,61.6,61.05,61.28,49587973
2024-12-13 16:01:40.206611,59.92,60.26,59.31,60.08,23420219
2024-12-16 16:01:40.206611,60.01,60.77,59.26,60.01,36485800
2024-12-17 16:01:40.206611,60.92,61.13,59.75,60.47,13497064
2024-12-18 16:01:40.206611,61.57,62.37,60.38,61.06,77301838
2024-12-19 16:01:40.206611,59.92,60.66,58.69,59.99,40182969
2024-12-20 16:01:40.206611,58.84,59.63,58.43,59.21,46556580
2024-12-23 16:01:40.206611,60.12,61.01,60.01,60.34,9723986
2024-12-24 16:01:40.206611,59.7,59.79,58.82,59.55,22844855
2024-12-25 16:01:40.206611,60.63,61.41,59.5,60.66,14417960
2024-12-26 16:01:40.206611,59.23,61.44,58.35,59.7,73096186
2024-12-27 16:01:40.206611,60.06,60.51,59.82,60.21,71722896
2024-12-30 16:01:40.206611,61.64,62.98,60.75,61.24,87130271
2024-12-31 16:01:40.206611,57.86,58.12,57.38,57.77,76789083
2025-01-01 16:01:40.206611,58.92,59.14,58.32,58.9,57678798
2025-01-02 16:01:40.206611,60.52,61.06,60.49,60.64,27302649
2025-01-03 16:01:40.206611,60.1,60.26,58.66,60.24,80931689
2025-01-06 16:01:40.206611,60.88,61.08,60.56,60.71,92279259
2025-01-07 16:01:40.206611,59.66,60.39,59.49,59.62,20102536
2025-01-08 16:01:40.206611,60.34,60.36,59.44,60.11,15057050
2025-01-09 16:01:40.206611,63.65,63.71,63.23,63.48,94714962
