date,open,high,low,close,volume
2024-10-24 16:01:40.526114,8.94,8.97,8.91,8.95,90150702
2024-10-25 16:01:40.526114,8.89,8.95,8.88,8.9,13874098
2024-10-28 16:01:40.526114,9.24,9.3,9.19,9.26,55242438
2024-10-29 16:01:40.526114,9.59,9.77,9.44,9.53,74384087
2024-10-30 16:01:40.526114,9.45,9.5,9.29,9.47,42345595
2024-10-31 16:01:40.526114,9.62,9.84,9.58,9.64,77572333
2024-11-01 16:01:40.526114,9.5,9.66,9.41,9.53,96904258
2024-11-04 16:01:40.526114,9.19,9.21,8.97,9.13,19614750
2024-11-05 16:01:40.526114,9.14,9.37,9.02,9.17,70878632
2024-11-06 16:01:40.526114,9.19,9.29,9.14,9.25,57053535
2024-11-07 16:01:40.526114,9.43,9.51,9.37,9.49,76238726
2024-11-08 16:01:40.526114,9.61,9.76,9.35,9.63,31944062
2024-11-11 16:01:40.526114,9.29,9.3,9.2,9.23,75452931
2024-11-12 16:01:40.526114,9.21,9.29,9.18,9.2,64650195
2024-11-13 16:01:40.526114,9.09,9.18,9.03,9.11,85922530
2024-11-14 16:01:40.526114,9.37,9.41,9.28,9.38,80422787
2024-11-15 16:01:40.526114,8.99,9.01,8.9,8.96,30085387
2024-11-18 16:01:40.526114,8.97,9.0,8.94,8.99,18472210
2024-11-19 16:01:40.526114,8.97,9.05,8.9,8.97,25665666
2024-11-20 16:01:40.526114,9.14,9.28,8.99,9.18,97773836
2024-11-21 16:01:40.526114,9.08,9.23,9.07,9.07,50028873
2024-11-22 16:01:40.526114,9.28,9.36,9.2,9.33,15633540
2024-11-25 16:01:40.526114,9.6,9.66,9.47,9.56,3853007
2024-11-26 16:01:40.526114,9.86,10.08,9.71,9.92,85803880
2024-11-27 16:01:40.526114,10.1,10.21,10.02,10.08,23086068
2024-11-28 16:01:40.526114,9.91,10.08,9.74,9.9,83976901
2024-11-29 16:01:40.526114,10.12,10.13,10.08,10.12,22781823
2024-12-02 16:01:40.526114,10.23,10.37,10.09,10.32,72264593
2024-12-03 16:01:40.526114,10.38,10.44,10.32,10.4,59920360
2024-12-04 16:01:40.526114,10.16,10.25,10.14,10.22,33772036
2024-12-05 16:01:40.526114,10.38,10.41,10.33,10.36,51835972
2024-12-06 16:01:40.526114,10.27,10.36,10.23,10.27,96663493
2024-12-09 16:01:40.526114,10.02,10.07,9.96,10.03,1109895
