date,open,high,low,close,volume
2024-10-24 16:01:40.252221,42.71,43.29,41.78,42.44,27295547
2024-10-25 16:01:40.252221,42.19,42.43,41.88,42.21,15757053
2024-10-28 16:01:40.252221,43.2,43.75,42.3,42.82,4192450
2024-10-29 16:01:40.252221,43.8,44.09,43.33,43.36,75125592
2024-10-30 16:01:40.252221,42.56,42.94,42.02,42.81,20059063
2024-10-31 16:01:40.252221,40.86,41.13,40.43,40.59,18757795
2024-11-01 16:01:40.252221,39.18,39.5,38.97,39.15,28562553
2024-11-04 16:01:40.252221,40.1,40.34,39.81,39.89,46606557
2024-11-05 16:01:40.252221,40.18,40.69,40.15,40.4,48418126
2024-11-06 16:01:40.252221,40.66,40.67,39.93,40.41,56712426
2024-11-07 16:01:40.252221,40.53,40.88,40.28,40.64,15915032
2024-11-08 16:01:40.252221,40.28,40.6,39.96,40.06,96074367
2024-11-11 16:01:40.252221,39.42,39.99,39.37,39.43,1571578
2024-11-12 16:01:40.252221,39.17,40.1,39.09,39.19,70184917
2024-11-13 16:01:40.252221,39.9,40.08,39.84,39.9,37803727
2024-11-14 16:01:40.252221,40.99,41.25,40.66,40.84,49726263
2024-11-15 16:01:40.252221,41.14,41.72,40.85,41.14,11253456
2024-11-18 16:01:40.252221,41.37,41.52,41.08,41.24,16097424
2024-11-19 16:01:40.252221,41.2,41.72,41.01,41.2,75596179
2024-11-20 16:01:40.252221,40.61,41.38,40.38,40.86,16152257
2024-11-21 16:01:40.252221,39.19,39.76,38.85,39.12,33289910
2024-11-22 16:01:40.252221,39.97,41.13,39.54,39.89,20964251
2024-11-25 16:01:40.252221,40.23,41.04,40.21,40.52,33427481
2024-11-26 16:01:40.252221,40.72,41.08,40.59,40.79,83882666
2024-11-27 16:01:40.252221,41.51,42.45,41.34,41.36,17011249
2024-11-28 16:01:40.252221,43.04,44.21,42.83,43.01,73297388
2024-11-29 16:01:40.252221,42.63,42.72,42.41,42.54,20417650
2024-12-02 16:01:40.252221,42.75,43.4,42.2,42.84,39553931
