date,open,high,low,close,volume
2024-10-24 16:01:40.126740,120.43,120.92,119.51,120.8,37981927
2024-10-25 16:01:40.126740,117.12,120.07,116.77,117.64,7860184
2024-10-28 16:01:40.126740,120.68,120.94,118.11,118.74,21848152
2024-10-29 16:01:40.126740,120.48,122.04,118.05,120.15,43299010
2024-10-30 16:01:40.126740,120.79,122.92,119.99,120.45,22185637
2024-10-31 16:01:40.126740,114.41,114.87,113.5,114.07,9375065
2024-11-01 16:01:40.126740,110.79,111.76,108.33,110.01,84304231
2024-11-04 16:01:40.126740,109.69,111.34,109.09,109.46,29421925
2024-11-05 16:01:40.126740,108.73,110.96,106.84,108.28,2972645
2024-11-06 16:01:40.126740,107.75,109.6,107.11,108.32,38705667
2024-11-07 16:01:40.126740,107.76,108.02,106.26,107.23,98784582
2024-11-08 16:01:40.126740,110.81,112.22,110.71,110.94,23039005
2024-11-11 16:01:40.126740,105.85,107.46,104.77,105.49,25388509
2024-11-12 16:01:40.126740,105.31,106.54,102.69,106.22,55775927
2024-11-13 16:01:40.126740,108.55,108.79,105.29,108.21,87601446
2024-11-14 16:01:40.126740,108.69,111.76,107.41,109.92,35704544
2024-11-15 16:01:40.126740,111.72,112.51,111.55,111.87,10195168
2024-11-18 16:01:40.126740,113.24,114.94,111.51,114.22,77798029
2024-11-19 16:01:40.126740,113.09,113.88,111.46,112.73,23510629
2024-11-20 16:01:40.126740,110.09,111.11,109.11,110.05,46419913
2024-11-21 16:01:40.126740,104.84,105.85,104.75,105.25,26952696
2024-11-22 16:01:40.126740,105.19,106.36,103.92,104.44,11415643
2024-11-25 16:01:40.126740,102.22,104.79,101.66,102.69,97649677
2024-11-26 16:01:40.126740,103.78,106.09,103.34,105.37,34494309
2024-11-27 16:01:40.126740,105.0,106.4,103.35,104.73,54974651
2024-11-28 16:01:40.126740,101.5,102.64,100.37,102.4,92376731
2024-11-29 16:01:40.126740,99.35,100.2,99.32,99.78,8945982
2024-12-02 16:01:40.126740,104.01,104.93,102.28,104.27,14865640
2024-12-03 16:01:40.126740,103.51,104.36,102.98,104.25,27695275
2024-12-04 16:01:40.126740,102.24,104.08,101.06,102.49,35357346
2024-12-05 16:01:40.126740,102.07,104.34,101.2,102.8,96126029
2024-12-06 16:01:40.126740,107.3,107.3,106.51,107.21,94526209
2024-12-09 16:01:40.126740,105.67,107.14,104.96,106.32,57132764
2024-12-10 16:01:40.126740,107.98,108.56,107.87,107.97,7514329
2024-12-11 16:01:40.126740,111.5,112.54,110.79,110.85,62039730
2024-12-12 16:01:40.126740,106.77,107.58,106.01,106.35,79918401
2024-12-13 16:01:40.126740,104.85,106.77,102.78,104.89,32489680
2024-12-16 16:01:40.126740,106.87,107.74,106.1,107.4,49699170
2024-12-17 16:01:40.126740,105.86,106.54,105.23,105.78,89148991
2024-12-18 16:01:40.126740,106.4,107.22,106.4,106.77,9214025
2024-12-19 16:01:40.126740,105.13,105.72,103.45,105.03,19115439
2024-12-20 16:01:40.126740,103.13,104.58,102.33,104.03,79744296
2024-12-23 16:01:40.126740,103.17,103.38,101.22,102.76,12522730
2024-12-24 16:01:40.126740,104.25,105.97,103.73,104.23,80214100
2024-12-25 16:01:40.126740,105.88,106.62,103.98,104.72,83673678
2024-12-26 16:01:40.126740,105.66,106.52,104.24,104.98,29573090
2024-12-27 16:01:40.126740,111.28,113.07,110.52,110.97,55610287
2024-12-30 16:01:40.126740,115.26,116.38,114.04,115.33,24431805
2024-12-31 16:01:40.126740,110.03,111.68,109.7,110.43,77114772
2025-01-01 16:01:40.126740,109.9,110.87,109.04,109.38,30441876
2025-01-02 16:01:40.126740,115.29,116.59,113.74,115.42,29376747
2025-01-03 16:01:40.126740,114.66,115.41,111.99,113.99,79323679
2025-01-06 16:01:40.126740,119.63,119.86,118.26,119.39,49861188
2025-01-07 16:01:40.126740,118.54,119.19,117.35,118.3,45825800
2025-01-08 16:01:40.126740,118.07,118.09,117.5,117.72,92919761
2025-01-09 16:01:40.126740,119.46,121.18,119.41,120.01,8679124
2025-01-10 16:01:40.126740,119.19,120.67,117.68,119.8,61614215
2025-01-13 16:01:40.126740,120.5,121.99,119.29,121.14,50294827
