date,open,high,low,close,volume
2024-10-24 16:01:40.423697,277.77,277.95,273.69,274.67,98865329
2024-10-25 16:01:40.423697,285.99,287.37,282.13,283.86,60281850
2024-10-28 16:01:40.423697,289.08,289.36,288.57,289.14,10759084
2024-10-29 16:01:40.423697,291.09,298.11,287.7,291.57,31011048
2024-10-30 16:01:40.423697,286.45,288.6,284.75,284.78,52791138
2024-10-31 16:01:40.423697,285.31,286.97,282.84,283.19,3890227
2024-11-01 16:01:40.423697,286.27,294.55,284.73,286.92,74767693
2024-11-04 16:01:40.423697,278.02,278.18,277.11,277.84,76722373
2024-11-05 16:01:40.423697,273.5,275.88,271.53,272.63,44427422
2024-11-06 16:01:40.423697,274.39,275.65,271.9,273.98,62663501
2024-11-07 16:01:40.423697,271.15,274.11,267.22,269.7,53293904
2024-11-08 16:01:40.423697,282.64,285.67,278.02,278.91,18772797
2024-11-11 16:01:40.423697,270.77,275.75,264.49,270.11,61161913
2024-11-12 16:01:40.423697,269.03,275.77,266.81,267.1,74330728
2024-11-13 16:01:40.423697,266.15,270.32,265.98,267.2,14011261
2024-11-14 16:01:40.423697,272.85,273.38,269.41,271.16,7940884
2024-11-15 16:01:40.423697,273.16,273.71,271.63,272.05,7740695
2024-11-18 16:01:40.423697,267.37,267.73,264.51,265.76,53031632
2024-11-19 16:01:40.423697,259.43,264.0,258.55,259.23,45661553
2024-11-20 16:01:40.423697,247.79,250.06,244.01,247.29,13187976
2024-11-21 16:01:40.423697,251.16,253.56,246.08,251.98,99394856
2024-11-22 16:01:40.423697,253.0,257.57,251.74,254.78,16747659
2024-11-25 16:01:40.423697,254.43,257.52,254.02,255.96,48012055
2024-11-26 16:01:40.423697,258.35,260.04,255.77,257.46,68484813
2024-11-27 16:01:40.423697,263.67,265.61,262.86,263.99,80207712
2024-11-28 16:01:40.423697,264.7,271.07,260.7,268.11,88932495
2024-11-29 16:01:40.423697,272.42,274.05,267.43,271.71,86988638
2024-12-02 16:01:40.423697,275.25,278.63,273.98,278.04,91415245
2024-12-03 16:01:40.423697,279.72,282.8,279.13,280.41,94251844
2024-12-04 16:01:40.423697,278.87,282.01,277.88,281.32,48434373
2024-12-05 16:01:40.423697,276.88,278.76,275.37,276.89,98236160
2024-12-06 16:01:40.423697,264.46,267.69,262.64,265.54,29029055
2024-12-09 16:01:40.423697,260.46,260.58,257.42,260.42,78693034
2024-12-10 16:01:40.423697,263.53,265.94,260.42,264.28,61621934
2024-12-11 16:01:40.423697,263.98,266.37,260.4,261.48,59608603
2024-12-12 16:01:40.423697,261.02,262.01,259.0,259.76,42834021
2024-12-13 16:01:40.423697,263.65,266.98,261.47,263.92,14137103
2024-12-16 16:01:40.423697,254.47,254.63,250.15,253.74,49720844
2024-12-17 16:01:40.423697,258.91,263.64,256.73,258.07,52062532
2024-12-18 16:01:40.423697,263.59,268.34,262.57,262.77,98757725
2024-12-19 16:01:40.423697,261.58,263.06,261.57,262.41,59760454
2024-12-20 16:01:40.423697,261.66,264.66,260.52,262.21,67514504
2024-12-23 16:01:40.423697,261.76,262.83,258.35,261.21,22509674
2024-12-24 16:01:40.423697,263.79,266.46,261.11,265.11,51719047
2024-12-25 16:01:40.423697,258.65,261.4,254.56,260.7,71938692
2024-12-26 16:01:40.423697,260.07,261.51,255.2,258.89,5323694
2024-12-27 16:01:40.423697,263.64,266.15,259.87,265.8,93142652
2024-12-30 16:01:40.423697,262.42,263.45,254.18,263.25,24285766
2024-12-31 16:01:40.423697,265.06,272.49,264.58,265.64,77445007
2025-01-01 16:01:40.423697,265.58,267.93,264.5,266.13,76717565
2025-01-02 16:01:40.423697,266.49,268.27,261.08,264.58,74166336
2025-01-03 16:01:40.423697,268.16,269.55,266.95,268.46,51753734
2025-01-06 16:01:40.423697,270.81,271.34,266.54,270.76,74273465
2025-01-07 16:01:40.423697,274.12,274.38,270.29,273.44,46586461
2025-01-08 16:01:40.423697,282.47,283.98,277.34,282.61,32914291
2025-01-09 16:01:40.423697,266.39,267.67,263.71,265.16,62881023
2025-01-10 16:01:40.423697,266.69,269.1,261.1,266.06,69854540
2025-01-13 16:01:40.423697,270.01,276.41,268.21,268.31,93330027
2025-01-14 16:01:40.423697,261.21,261.97,257.25,260.69,45864377
2025-01-15 16:01:40.423697,251.59,253.28,250.32,251.37,26144708
2025-01-16 16:01:40.423697,239.53,243.64,239.07,241.96,52929372
2025-01-17 16:01:40.423697,260.78,263.74,255.15,262.12,86359628
2025-01-20 16:01:40.423697,251.34,253.31,248.27,250.18,38270080
2025-01-21 16:01:40.423697,239.81,242.67,238.99,240.62,54778194
2025-01-22 16:01:40.423697,239.74,239.83,237.04,239.78,18397613
2025-01-23 16:01:40.423697,247.22,250.77,246.5,247.05,93532632
2025-01-24 16:01:40.423697,250.76,255.88,249.15,251.12,2049241
2025-01-27 16:01:40.423697,252.45,254.29,247.2,250.33,18137838
2025-01-28 16:01:40.423697,251.95,256.81,250.43,254.78,65226298
2025-01-29 16:01:40.423697,260.85,261.74,254.36,259.4,1124888
2025-01-30 16:01:40.423697,259.21,260.69,258.08,258.91,54077294
2025-01-31 16:01:40.423697,250.96,251.99,248.18,251.65,24927008
2025-02-03 16:01:40.423697,262.78,264.13,257.76,261.5,93143394
2025-02-04 16:01:40.423697,263.39,265.82,262.35,264.89,20502354
2025-02-05 16:01:40.423697,266.91,267.89,260.12,265.66,87906175
2025-02-06 16:01:40.423697,264.88,266.79,264.24,265.99,73500149
2025-02-07 16:01:40.423697,273.02,274.52,272.1,273.69,66384257
2025-02-10 16:01:40.423697,281.46,287.67,279.95,280.51,12937224
2025-02-11 16:01:40.423697,266.38,266.52,266.34,266.5,89765069
2025-02-12 16:01:40.423697,255.38,259.21,252.05,254.41,56858268
2025-02-13 16:01:40.423697,259.18,261.14,258.08,258.91,84299224
2025-02-14 16:01:40.423697,262.08,262.63,260.09,262.46,50146406
2025-02-17 16:01:40.423697,255.14,255.81,254.84,254.94,31061434
2025-02-18 16:01:40.423697,253.15,253.45,250.9,252.47,97006382
2025-02-19 16:01:40.423697,256.23,258.91,255.95,256.65,1764655
2025-02-20 16:01:40.423697,255.58,255.82,250.14,254.88,95902267
2025-02-21 16:01:40.423697,261.12,266.54,258.23,261.34,85098653
2025-02-24 16:01:40.423697,245.89,247.67,243.16,246.03,86829436
2025-02-25 16:01:40.423697,248.52,251.86,247.28,247.97,1487815
2025-02-26 16:01:40.423697,249.02,250.9,248.61,249.95,76382398
2025-02-27 16:01:40.423697,250.33,254.29,249.63,252.24,22798554
