date,open,high,low,close,volume
2024-10-24 16:01:40.389232,271.03,272.33,265.38,269.45,87566812
2024-10-25 16:01:40.389232,276.27,277.24,271.36,275.77,18755477
2024-10-28 16:01:40.389232,276.83,279.79,276.54,276.69,5193379
2024-10-29 16:01:40.389232,268.64,270.63,267.89,269.86,33238293
2024-10-30 16:01:40.389232,269.42,270.65,264.89,267.86,25230218
2024-10-31 16:01:40.389232,269.16,272.09,269.09,270.03,56228130
2024-11-01 16:01:40.389232,284.04,284.53,282.09,282.69,28733700
2024-11-04 16:01:40.389232,281.28,282.7,277.35,279.97,42575644
2024-11-05 16:01:40.389232,275.54,277.63,275.22,277.0,40129069
2024-11-06 16:01:40.389232,263.9,264.79,262.26,263.9,82983416
2024-11-07 16:01:40.389232,274.98,276.7,274.27,275.93,87703262
2024-11-08 16:01:40.389232,277.81,280.06,274.49,275.54,15146492
2024-11-11 16:01:40.389232,267.43,268.72,266.82,267.29,36855369
2024-11-12 16:01:40.389232,256.94,257.92,254.73,255.6,7627114
2024-11-13 16:01:40.389232,254.87,258.15,248.52,253.07,72645118
2024-11-14 16:01:40.389232,251.02,257.29,250.33,251.69,1850196
2024-11-15 16:01:40.389232,250.4,255.11,247.31,252.55,22648505
2024-11-18 16:01:40.389232,251.32,255.51,249.04,253.41,58617309
2024-11-19 16:01:40.389232,256.78,258.78,251.79,254.85,5981584
2024-11-20 16:01:40.389232,247.87,252.08,245.07,249.16,78598505
2024-11-21 16:01:40.389232,251.39,251.54,251.3,251.36,82001297
2024-11-22 16:01:40.389232,251.62,253.31,245.18,250.8,55439159
2024-11-25 16:01:40.389232,241.32,241.5,238.92,240.27,69863235
2024-11-26 16:01:40.389232,234.81,242.08,233.11,236.57,69456521
2024-11-27 16:01:40.389232,238.52,241.49,236.64,240.03,24844323
2024-11-28 16:01:40.389232,244.76,247.9,241.63,242.37,62828588
2024-11-29 16:01:40.389232,247.17,249.3,241.98,245.0,67089130
2024-12-02 16:01:40.389232,255.16,258.95,250.94,253.44,68008747
2024-12-03 16:01:40.389232,261.73,265.44,258.96,259.26,70152356
2024-12-04 16:01:40.389232,254.13,260.39,252.44,255.36,78134752
2024-12-05 16:01:40.389232,249.73,252.98,249.55,250.42,73435709
2024-12-06 16:01:40.389232,248.09,253.64,247.07,248.71,92103344
2024-12-09 16:01:40.389232,250.21,257.33,247.88,249.56,43368955
2024-12-10 16:01:40.389232,237.78,241.16,235.71,237.78,1577461
2024-12-11 16:01:40.389232,224.93,225.12,220.53,224.23,45956663
2024-12-12 16:01:40.389232,221.32,222.35,219.19,220.64,66961146
2024-12-13 16:01:40.389232,211.72,213.03,211.62,211.97,68070793
2024-12-16 16:01:40.389232,208.49,209.95,207.35,208.11,76115066
2024-12-17 16:01:40.389232,206.45,209.7,205.41,208.63,12363353
2024-12-18 16:01:40.389232,198.72,201.13,197.11,198.09,67886858
2024-12-19 16:01:40.389232,195.58,197.35,192.26,194.83,83694722
2024-12-20 16:01:40.389232,194.83,196.51,194.74,195.09,7923695
2024-12-23 16:01:40.389232,196.43,196.61,193.83,195.64,79964819
2024-12-24 16:01:40.389232,198.34,202.58,198.25,198.64,67166107
2024-12-25 16:01:40.389232,202.11,204.17,201.96,203.52,72790626
2024-12-26 16:01:40.389232,197.88,203.92,194.07,199.01,16479253
2024-12-27 16:01:40.389232,198.58,203.28,196.51,197.72,92833057
2024-12-30 16:01:40.389232,187.45,189.51,186.01,188.34,33902198
2024-12-31 16:01:40.389232,186.91,188.4,186.39,186.43,86531075
2025-01-01 16:01:40.389232,185.79,188.18,182.29,185.78,17739041
2025-01-02 16:01:40.389232,183.38,185.45,180.18,183.23,2580108
2025-01-03 16:01:40.389232,193.35,193.89,191.22,192.1,64616432
2025-01-06 16:01:40.389232,201.04,202.17,194.8,198.92,50301154
2025-01-07 16:01:40.389232,204.78,204.96,202.92,202.99,7783038
2025-01-08 16:01:40.389232,194.78,197.72,194.43,196.19,11526798
2025-01-09 16:01:40.389232,195.46,196.44,193.2,194.62,71706213
2025-01-10 16:01:40.389232,194.78,200.25,194.56,195.31,43377883
2025-01-13 16:01:40.389232,197.25,198.97,192.95,196.46,18670831
2025-01-14 16:01:40.389232,194.86,198.93,192.09,195.72,72714922
2025-01-15 16:01:40.389232,194.85,196.71,191.21,196.65,1504012
2025-01-16 16:01:40.389232,201.26,201.82,198.93,200.34,37829245
2025-01-17 16:01:40.389232,195.41,197.5,194.92,195.04,32415947
2025-01-20 16:01:40.389232,190.7,194.95,190.2,191.29,30196996
2025-01-21 16:01:40.389232,194.0,194.53,191.57,192.07,95209450
2025-01-22 16:01:40.389232,187.35,191.16,184.41,188.49,90916659
2025-01-23 16:01:40.389232,186.12,188.81,182.7,184.42,64372770
2025-01-24 16:01:40.389232,194.21,196.6,193.51,194.72,41835323
2025-01-27 16:01:40.389232,195.89,197.8,194.64,195.1,53570501
2025-01-28 16:01:40.389232,198.43,201.22,196.3,199.07,89978438
2025-01-29 16:01:40.389232,199.43,200.14,199.0,199.06,66646937
2025-01-30 16:01:40.389232,199.06,201.78,198.59,199.12,67486694
2025-01-31 16:01:40.389232,194.06,195.42,192.69,193.55,61395114
2025-02-03 16:01:40.389232,193.99,194.99,189.16,192.72,70893488
2025-02-04 16:01:40.389232,202.42,205.25,200.7,203.31,83493018
2025-02-05 16:01:40.389232,204.2,205.78,204.19,205.12,7197217
2025-02-06 16:01:40.389232,211.21,213.28,210.19,210.22,26991578
2025-02-07 16:01:40.389232,215.31,216.45,213.76,215.78,66662565
2025-02-10 16:01:40.389232,217.48,220.06,216.69,216.77,66579959
2025-02-11 16:01:40.389232,209.22,210.13,206.32,208.36,14087886
2025-02-12 16:01:40.389232,211.34,215.1,211.21,213.76,41871408
2025-02-13 16:01:40.389232,215.43,216.39,213.43,214.96,28743342
2025-02-14 16:01:40.389232,210.07,213.21,208.43,210.97,41362930
2025-02-17 16:01:40.389232,210.1,212.23,208.12,208.84,84356649
2025-02-18 16:01:40.389232,213.78,217.6,213.39,214.36,77877034
2025-02-19 16:01:40.389232,218.37,218.56,215.15,217.9,84056604
2025-02-20 16:01:40.389232,216.89,218.9,214.71,217.76,79041884
2025-02-21 16:01:40.389232,220.76,220.91,217.74,220.48,99286899
2025-02-24 16:01:40.389232,219.69,224.35,219.33,220.69,49717217
2025-02-25 16:01:40.389232,229.47,231.89,229.27,229.32,73141810
2025-02-26 16:01:40.389232,227.47,231.49,227.18,227.71,22126977
2025-02-27 16:01:40.389232,229.21,231.42,225.12,228.21,15860220
2025-02-28 16:01:40.389232,219.14,221.8,214.66,220.71,37452073
2025-03-03 16:01:40.389232,220.71,221.9,219.16,219.38,50561708
2025-03-04 16:01:40.389232,221.04,222.11,215.17,219.11,95418866
2025-03-05 16:01:40.389232,224.45,227.12,223.95,224.06,8248885
2025-03-06 16:01:40.389232,213.48,216.42,212.22,214.7,17608670
2025-03-07 16:01:40.389232,212.23,215.02,210.72,212.89,40559046
2025-03-10 16:01:40.389232,203.41,205.05,203.36,204.17,30205118
2025-03-11 16:01:40.389232,207.45,208.82,203.89,207.05,21873934
2025-03-12 16:01:40.389232,201.28,202.81,197.59,201.06,42595930
