date,open,high,low,close,volume
2024-10-24 16:01:40.168873,22.31,22.53,21.77,22.17,54437517
2024-10-25 16:01:40.168873,22.64,22.79,22.53,22.66,31323574
2024-10-28 16:01:40.168873,23.25,23.48,23.04,23.11,24587744
2024-10-29 16:01:40.168873,22.6,22.74,22.6,22.68,55228024
2024-10-30 16:01:40.168873,22.47,23.09,22.19,22.64,11746536
2024-10-31 16:01:40.168873,22.21,22.34,22.09,22.26,54252471
2024-11-01 16:01:40.168873,21.99,22.24,21.57,22.0,50699191
2024-11-04 16:01:40.168873,22.4,22.5,22.11,22.38,15920451
2024-11-05 16:01:40.168873,22.78,23.14,22.68,22.72,86607187
2024-11-06 16:01:40.168873,22.78,22.84,22.27,22.55,51082164
2024-11-07 16:01:40.168873,23.12,23.32,23.07,23.13,52438424
2024-11-08 16:01:40.168873,23.64,24.05,23.26,23.43,91613410
2024-11-11 16:01:40.168873,23.62,23.7,23.46,23.5,34683699
2024-11-12 16:01:40.168873,23.97,24.33,23.79,23.98,61070950
2024-11-13 16:01:40.168873,24.79,24.84,24.43,24.75,92850837
2024-11-14 16:01:40.168873,25.04,25.15,24.74,24.99,23065250
2024-11-15 16:01:40.168873,25.28,25.81,25.1,25.15,29554734
2024-11-18 16:01:40.168873,24.26,24.66,23.95,24.11,28594587
2024-11-19 16:01:40.168873,24.09,24.78,23.72,24.26,21125577
2024-11-20 16:01:40.168873,24.64,24.7,24.36,24.52,81388720
2024-11-21 16:01:40.168873,24.74,25.12,24.54,24.69,63888918
2024-11-22 16:01:40.168873,24.26,24.31,23.92,24.21,88945298
2024-11-25 16:01:40.168873,23.84,24.32,23.72,23.85,37202048
2024-11-26 16:01:40.168873,24.33,24.39,24.21,24.24,44900928
2024-11-27 16:01:40.168873,24.15,24.3,23.81,24.04,32421101
2024-11-28 16:01:40.168873,24.15,24.52,23.97,24.14,99480377
2024-11-29 16:01:40.168873,23.17,23.17,22.91,23.05,69063641
2024-12-02 16:01:40.168873,22.98,23.22,22.91,23.05,34465729
2024-12-03 16:01:40.168873,23.47,23.51,23.29,23.47,19297939
2024-12-04 16:01:40.168873,23.67,23.85,23.25,23.63,31241257
2024-12-05 16:01:40.168873,23.53,23.96,23.44,23.56,88009819
2024-12-06 16:01:40.168873,22.99,23.04,22.95,23.03,70851515
2024-12-09 16:01:40.168873,22.04,22.39,21.91,22.14,53232990
2024-12-10 16:01:40.168873,21.82,21.93,21.59,21.77,56567278
2024-12-11 16:01:40.168873,22.5,22.59,22.2,22.28,43864006
2024-12-12 16:01:40.168873,22.33,22.84,21.98,22.26,67166087
2024-12-13 16:01:40.168873,22.59,22.63,22.55,22.61,19724319
2024-12-16 16:01:40.168873,23.49,23.61,23.04,23.34,65059338
2024-12-17 16:01:40.168873,23.4,23.66,23.05,23.41,12584815
2024-12-18 16:01:40.168873,23.94,24.27,23.77,23.85,97214297
2024-12-19 16:01:40.168873,24.53,24.58,24.23,24.46,52309912
2024-12-20 16:01:40.168873,23.55,23.81,23.45,23.73,1161235
2024-12-23 16:01:40.168873,23.35,23.46,23.14,23.34,69385128
2024-12-24 16:01:40.168873,22.73,23.02,22.27,22.49,46857336
2024-12-25 16:01:40.168873,21.55,21.8,21.1,21.61,75103922
2024-12-26 16:01:40.168873,21.55,22.14,21.32,21.38,88064761
2024-12-27 16:01:40.168873,21.37,21.66,20.9,21.26,44737565
2024-12-30 16:01:40.168873,20.36,20.41,19.98,20.41,26205623
2024-12-31 16:01:40.168873,20.63,20.9,20.54,20.62,47411776
2025-01-01 16:01:40.168873,20.31,20.52,20.06,20.4,27635089
2025-01-02 16:01:40.168873,21.17,21.25,20.92,21.07,17149447
2025-01-03 16:01:40.168873,21.06,21.23,20.85,21.16,70704220
2025-01-06 16:01:40.168873,21.3,21.32,21.15,21.24,11120935
2025-01-07 16:01:40.168873,21.36,21.44,21.05,21.15,5204181
2025-01-08 16:01:40.168873,21.04,21.15,20.73,21.1,70166047
2025-01-09 16:01:40.168873,21.33,21.82,21.08,21.28,83386343
2025-01-10 16:01:40.168873,21.56,22.21,21.38,21.71,35179773
2025-01-13 16:01:40.168873,21.11,21.17,20.93,21.09,91042637
2025-01-14 16:01:40.168873,20.62,20.92,20.61,20.71,72532279
2025-01-15 16:01:40.168873,20.89,21.18,20.72,20.85,61643746
2025-01-16 16:01:40.168873,20.79,21.03,20.67,20.84,47358722
2025-01-17 16:01:40.168873,21.11,21.31,21.04,21.21,61434686
2025-01-20 16:01:40.168873,20.9,21.09,20.77,20.9,35078798
2025-01-21 16:01:40.168873,21.22,21.74,21.19,21.5,12617377
2025-01-22 16:01:40.168873,21.16,21.48,20.91,21.26,30893393
2025-01-23 16:01:40.168873,21.38,21.4,20.82,21.11,49089901
2025-01-24 16:01:40.168873,21.62,21.67,21.53,21.64,22979582
2025-01-27 16:01:40.168873,21.87,22.29,21.64,21.91,74339002
2025-01-28 16:01:40.168873,22.95,22.99,22.67,22.9,20670573
2025-01-29 16:01:40.168873,23.52,23.74,22.95,23.39,16384934
2025-01-30 16:01:40.168873,24.28,24.38,23.81,24.07,58882355
2025-01-31 16:01:40.168873,23.92,23.95,23.86,23.92,12212305
2025-02-03 16:01:40.168873,24.61,25.04,24.39,24.62,21354919
2025-02-04 16:01:40.168873,24.73,24.85,24.63,24.66,85949195
2025-02-05 16:01:40.168873,23.51,23.55,23.41,23.49,72605905
2025-02-06 16:01:40.168873,23.74,23.83,23.48,23.74,16380446
2025-02-07 16:01:40.168873,24.13,24.36,23.8,24.04,27050702
2025-02-10 16:01:40.168873,23.56,23.88,23.44,23.48,63746087
2025-02-11 16:01:40.168873,23.69,23.93,23.47,23.67,54602425
2025-02-12 16:01:40.168873,24.04,24.5,23.48,23.74,2212699
2025-02-13 16:01:40.168873,24.63,24.84,24.27,24.39,53348458
