date,open,high,low,close,volume
2024-10-24 16:01:40.439927,337.17,340.29,336.01,337.52,36524783
2024-10-25 16:01:40.439927,342.39,346.47,337.93,340.46,93038529
2024-10-28 16:01:40.439927,341.88,342.81,338.05,339.6,71724274
2024-10-29 16:01:40.439927,345.77,347.07,343.86,346.04,17444406
2024-10-30 16:01:40.439927,350.43,354.7,346.31,350.22,34249176
2024-10-31 16:01:40.439927,349.8,350.03,345.54,348.23,18128328
2024-11-01 16:01:40.439927,357.02,360.82,353.87,355.84,30812804
2024-11-04 16:01:40.439927,346.72,347.52,344.14,345.07,81717186
2024-11-05 16:01:40.439927,334.36,338.39,328.36,336.44,94477491
2024-11-06 16:01:40.439927,332.53,337.59,329.86,332.4,92624848
2024-11-07 16:01:40.439927,333.24,336.36,331.59,332.85,26654023
2024-11-08 16:01:40.439927,340.57,344.9,334.09,339.97,12464837
2024-11-11 16:01:40.439927,325.68,329.42,321.14,327.14,85726734
2024-11-12 16:01:40.439927,328.88,332.31,324.47,331.09,42708628
2024-11-13 16:01:40.439927,319.49,322.53,313.38,321.58,83440194
2024-11-14 16:01:40.439927,325.57,326.29,321.83,324.67,43526587
2024-11-15 16:01:40.439927,328.16,335.24,325.7,330.64,40916574
2024-11-18 16:01:40.439927,330.84,333.09,328.97,330.48,69576765
2024-11-19 16:01:40.439927,327.88,328.1,325.01,325.2,74281490
2024-11-20 16:01:40.439927,326.7,331.49,322.79,326.75,66975511
2024-11-21 16:01:40.439927,323.49,326.25,323.25,324.75,55001601
2024-11-22 16:01:40.439927,322.19,333.16,319.22,323.64,9252465
2024-11-25 16:01:40.439927,323.16,323.92,318.39,322.5,5263439
2024-11-26 16:01:40.439927,315.3,319.48,314.26,317.98,63272800
2024-11-27 16:01:40.439927,318.41,323.15,314.97,321.75,79475645
2024-11-28 16:01:40.439927,327.72,328.78,325.34,327.38,12073043
2024-11-29 16:01:40.439927,328.09,330.61,327.86,329.81,23267131
2024-12-02 16:01:40.439927,328.97,330.29,323.64,327.46,45311940
2024-12-03 16:01:40.439927,332.15,333.5,330.57,331.1,33041797
2024-12-04 16:01:40.439927,314.7,318.06,314.0,314.88,47015832
2024-12-05 16:01:40.439927,315.22,318.9,312.37,314.12,67265261
2024-12-06 16:01:40.439927,327.47,330.95,325.61,325.67,31284846
2024-12-09 16:01:40.439927,329.91,333.47,329.76,331.32,20331330
2024-12-10 16:01:40.439927,331.43,336.4,330.79,332.19,13312136
2024-12-11 16:01:40.439927,336.42,336.45,335.89,336.05,67533572
2024-12-12 16:01:40.439927,344.49,348.08,340.79,345.0,1090239
2024-12-13 16:01:40.439927,340.76,346.05,339.1,340.27,90626471
2024-12-16 16:01:40.439927,339.34,345.32,337.62,338.58,11417717
2024-12-17 16:01:40.439927,334.7,344.6,333.11,337.14,7897746
2024-12-18 16:01:40.439927,333.21,335.81,328.61,331.62,92626403
2024-12-19 16:01:40.439927,341.4,347.18,331.02,340.14,91165355
2024-12-20 16:01:40.439927,350.57,356.81,349.36,350.54,76458689
2024-12-23 16:01:40.439927,341.04,345.28,339.13,344.83,83559772
2024-12-24 16:01:40.439927,352.31,354.77,350.96,354.74,93713700
2024-12-25 16:01:40.439927,352.41,358.97,346.55,353.07,4976066
2024-12-26 16:01:40.439927,350.77,353.68,346.69,349.44,31899682
2024-12-27 16:01:40.439927,347.95,356.13,346.23,350.44,2371051
2024-12-30 16:01:40.439927,343.83,345.05,340.44,343.06,22301088
2024-12-31 16:01:40.439927,346.52,351.35,343.74,344.35,7062867
2025-01-01 16:01:40.439927,348.31,349.53,341.51,345.47,66156769
2025-01-02 16:01:40.439927,355.64,358.51,350.19,355.94,16821045
2025-01-03 16:01:40.439927,348.92,349.64,347.16,348.66,31096261
2025-01-06 16:01:40.439927,338.57,341.84,335.38,340.1,14005989
2025-01-07 16:01:40.439927,338.52,343.1,333.04,341.01,55795473
2025-01-08 16:01:40.439927,340.65,343.65,339.72,340.82,25516091
2025-01-09 16:01:40.439927,347.03,350.22,343.38,345.25,46753176
2025-01-10 16:01:40.439927,344.27,348.36,342.0,345.93,64400068
2025-01-13 16:01:40.439927,354.07,356.57,350.1,351.91,78559599
2025-01-14 16:01:40.439927,355.45,355.92,353.15,355.42,93181358
2025-01-15 16:01:40.439927,370.28,372.19,366.19,370.43,9120762
2025-01-16 16:01:40.439927,375.14,378.66,370.29,375.62,71673121
2025-01-17 16:01:40.439927,373.18,375.76,368.56,375.11,65668079
2025-01-20 16:01:40.439927,372.45,376.31,369.96,374.01,53928661
2025-01-21 16:01:40.439927,372.78,375.47,371.79,374.21,65419638
2025-01-22 16:01:40.439927,386.7,390.12,377.92,382.47,76212169
2025-01-23 16:01:40.439927,378.47,386.68,377.54,381.19,60586772
2025-01-24 16:01:40.439927,380.71,384.78,376.35,380.64,23941234
2025-01-27 16:01:40.439927,384.22,387.95,379.27,382.57,21735160
2025-01-28 16:01:40.439927,391.16,393.21,387.63,392.76,24822976
2025-01-29 16:01:40.439927,391.23,394.45,386.92,390.8,26822384
2025-01-30 16:01:40.439927,393.3,395.77,388.07,389.4,75402645
