date,open,high,low,close,volume
2024-10-24 16:01:40.512175,170.98,173.78,168.97,170.61,82515486
2024-10-25 16:01:40.512175,173.96,174.12,172.82,174.02,85678232
2024-10-28 16:01:40.512175,169.2,170.28,167.24,168.74,9182103
2024-10-29 16:01:40.512175,171.09,172.26,168.44,169.72,80982276
2024-10-30 16:01:40.512175,167.3,170.22,165.87,166.91,65118069
2024-10-31 16:01:40.512175,164.54,166.67,159.12,164.12,77990739
2024-11-01 16:01:40.512175,165.15,168.33,164.7,166.13,14973598
2024-11-04 16:01:40.512175,171.58,172.43,169.84,170.98,30618937
2024-11-05 16:01:40.512175,176.46,178.67,175.77,177.75,35763754
2024-11-06 16:01:40.512175,175.82,176.57,175.75,175.99,20652970
2024-11-07 16:01:40.512175,175.17,176.85,172.49,174.58,57495238
2024-11-08 16:01:40.512175,176.54,177.41,175.47,177.22,14337472
2024-11-11 16:01:40.512175,180.97,182.91,176.48,180.02,6236039
2024-11-12 16:01:40.512175,181.51,182.78,180.36,180.6,38461156
2024-11-13 16:01:40.512175,173.56,176.66,170.11,172.67,35156589
2024-11-14 16:01:40.512175,166.02,167.64,165.07,166.05,53722020
2024-11-15 16:01:40.512175,158.76,162.18,158.06,160.58,62368639
2024-11-18 16:01:40.512175,164.52,165.97,161.86,163.1,42254599
2024-11-19 16:01:40.512175,159.06,160.77,156.55,159.62,91985840
2024-11-20 16:01:40.512175,157.67,159.54,154.09,158.14,14392918
2024-11-21 16:01:40.512175,158.91,160.12,156.24,159.18,84203009
2024-11-22 16:01:40.512175,162.53,163.2,158.21,161.78,1773616
2024-11-25 16:01:40.512175,159.69,161.82,157.65,158.96,43209283
2024-11-26 16:01:40.512175,155.45,156.47,154.43,155.45,89300415
2024-11-27 16:01:40.512175,159.48,160.88,158.62,160.3,79026964
2024-11-28 16:01:40.512175,155.48,157.47,155.12,155.37,2685742
2024-11-29 16:01:40.512175,156.93,158.02,156.8,157.21,69831211
2024-12-02 16:01:40.512175,153.72,154.48,153.52,154.19,55983046
2024-12-03 16:01:40.512175,151.65,151.91,151.29,151.36,4486520
2024-12-04 16:01:40.512175,148.5,150.27,147.54,148.96,89811330
2024-12-05 16:01:40.512175,150.67,152.51,149.16,150.17,1291457
2024-12-06 16:01:40.512175,147.73,148.73,145.21,146.02,36516531
2024-12-09 16:01:40.512175,143.27,146.64,139.84,144.2,14186488
2024-12-10 16:01:40.512175,140.3,141.27,139.13,140.41,1760216
