date,open,high,low,close,volume
2024-10-24 16:01:40.449094,66.63,67.29,65.53,66.11,79239396
2024-10-25 16:01:40.449094,65.83,66.46,65.07,65.92,31410692
2024-10-28 16:01:40.449094,65.89,65.94,65.15,65.4,60705006
2024-10-29 16:01:40.449094,65.99,66.96,65.72,66.02,10647068
2024-10-30 16:01:40.449094,66.65,66.78,66.37,66.44,32573836
2024-10-31 16:01:40.449094,65.09,66.49,64.97,66.01,91737507
2024-11-01 16:01:40.449094,65.18,66.66,64.9,64.96,29158944
2024-11-04 16:01:40.449094,64.11,64.55,62.48,63.29,35296647
2024-11-05 16:01:40.449094,62.68,62.85,61.92,62.22,46480529
2024-11-06 16:01:40.449094,62.48,63.31,62.23,62.42,74524912
2024-11-07 16:01:40.449094,64.89,65.72,62.66,65.02,2964577
2024-11-08 16:01:40.449094,62.8,63.03,62.42,62.6,69155918
2024-11-11 16:01:40.449094,62.3,62.41,61.8,62.27,59891573
2024-11-12 16:01:40.449094,62.46,62.81,62.39,62.68,51489125
2024-11-13 16:01:40.449094,60.53,60.58,60.25,60.55,80589741
2024-11-14 16:01:40.449094,60.42,61.49,60.22,60.32,15825739
2024-11-15 16:01:40.449094,57.35,57.7,57.15,57.19,57202271
2024-11-18 16:01:40.449094,58.13,58.97,57.58,58.28,56218031
2024-11-19 16:01:40.449094,58.85,59.61,58.4,58.9,90524344
2024-11-20 16:01:40.449094,61.73,61.77,60.87,61.26,35188730
2024-11-21 16:01:40.449094,60.32,61.01,60.17,60.47,11838980
2024-11-22 16:01:40.449094,59.22,59.64,58.83,59.17,72847512
2024-11-25 16:01:40.449094,58.92,59.68,56.9,58.73,8946349
2024-11-26 16:01:40.449094,56.69,58.58,56.17,57.3,13840756
2024-11-27 16:01:40.449094,57.11,57.45,55.74,56.79,83684500
2024-11-28 16:01:40.449094,58.98,59.07,57.75,58.27,22109056
2024-11-29 16:01:40.449094,57.24,58.07,56.79,57.41,44298836
2024-12-02 16:01:40.449094,57.47,57.73,56.76,57.13,28601221
2024-12-03 16:01:40.449094,56.13,56.26,55.29,55.74,63350362
2024-12-04 16:01:40.449094,56.19,56.6,56.17,56.26,46284653
2024-12-05 16:01:40.449094,55.73,56.09,54.84,55.59,49514572
2024-12-06 16:01:40.449094,56.28,56.51,56.27,56.33,96823133
2024-12-09 16:01:40.449094,57.03,57.26,56.62,56.66,76658532
2024-12-10 16:01:40.449094,56.83,56.84,55.1,56.48,17634773
2024-12-11 16:01:40.449094,57.61,58.25,56.76,57.2,88535282
2024-12-12 16:01:40.449094,59.72,60.29,59.24,59.53,78199813
2024-12-13 16:01:40.449094,59.75,60.26,57.79,60.18,60574681
2024-12-16 16:01:40.449094,59.69,61.01,59.11,59.73,83071807
2024-12-17 16:01:40.449094,59.35,60.43,59.2,59.9,15662103
2024-12-18 16:01:40.449094,63.0,63.5,62.73,63.34,20358545
2024-12-19 16:01:40.449094,66.7,67.67,66.01,66.3,31118805
2024-12-20 16:01:40.449094,64.64,64.7,63.99,64.31,84154822
2024-12-23 16:01:40.449094,62.41,63.04,61.7,62.63,8873513
2024-12-24 16:01:40.449094,60.48,61.49,60.02,60.6,26740829
2024-12-25 16:01:40.449094,60.74,61.21,60.14,60.46,98303985
2024-12-26 16:01:40.449094,60.08,60.08,58.84,59.89,24766372
2024-12-27 16:01:40.449094,61.48,62.31,60.93,61.65,32552604
2024-12-30 16:01:40.449094,58.69,58.98,58.38,58.96,49672335
2024-12-31 16:01:40.449094,61.22,61.56,60.62,60.7,11567260
2025-01-01 16:01:40.449094,63.51,63.96,63.05,63.47,74267023
2025-01-02 16:01:40.449094,63.32,63.72,63.0,63.3,79619262
2025-01-03 16:01:40.449094,60.39,60.46,59.44,60.06,9993609
2025-01-06 16:01:40.449094,62.27,62.92,62.0,62.42,63592109
2025-01-07 16:01:40.449094,62.75,63.4,62.61,63.1,91909347
2025-01-08 16:01:40.449094,63.61,64.29,63.38,63.56,88315560
2025-01-09 16:01:40.449094,63.9,64.34,63.46,64.03,70763628
2025-01-10 16:01:40.449094,63.28,64.01,63.17,63.29,70041479
2025-01-13 16:01:40.449094,62.71,63.02,61.82,62.54,32054565
2025-01-14 16:01:40.449094,62.76,62.79,61.68,62.35,76160412
2025-01-15 16:01:40.449094,62.85,63.6,62.56,62.84,26178886
2025-01-16 16:01:40.449094,61.99,63.2,61.52,62.23,87840573
2025-01-17 16:01:40.449094,60.74,61.48,60.19,60.76,97929266
2025-01-20 16:01:40.449094,58.77,59.13,58.74,59.13,69301307
2025-01-21 16:01:40.449094,60.91,61.05,60.14,60.92,12308982
2025-01-22 16:01:40.449094,63.28,63.42,62.26,63.15,27923184
2025-01-23 16:01:40.449094,62.83,63.79,62.07,63.22,82869988
2025-01-24 16:01:40.449094,61.95,62.48,61.43,62.29,42979377
2025-01-27 16:01:40.449094,62.06,62.58,61.71,61.83,96039442
