date,open,high,low,close,volume
2024-10-24 16:01:40.133911,55.9,56.62,55.29,56.02,82536580
2024-10-25 16:01:40.133911,56.14,57.2,55.53,56.14,57179830
2024-10-28 16:01:40.133911,58.13,58.54,58.03,58.4,3784629
2024-10-29 16:01:40.133911,58.29,58.33,58.1,58.13,40079781
2024-10-30 16:01:40.133911,60.8,61.08,59.49,60.61,59071917
2024-10-31 16:01:40.133911,58.71,60.16,58.05,59.14,69936880
2024-11-01 16:01:40.133911,57.64,58.6,57.37,57.88,82591433
2024-11-04 16:01:40.133911,56.71,56.91,55.95,56.72,91972009
2024-11-05 16:01:40.133911,58.28,58.46,57.9,57.95,85388907
2024-11-06 16:01:40.133911,57.13,57.85,55.73,56.94,50323130
2024-11-07 16:01:40.133911,58.17,59.38,58.11,58.86,62039982
2024-11-08 16:01:40.133911,58.11,58.84,56.91,58.19,86039476
2024-11-11 16:01:40.133911,58.86,59.15,58.36,58.72,85585910
2024-11-12 16:01:40.133911,59.33,59.65,59.07,59.57,63609170
2024-11-13 16:01:40.133911,58.01,59.38,57.93,58.26,51821102
2024-11-14 16:01:40.133911,56.3,57.03,56.16,56.52,98288999
2024-11-15 16:01:40.133911,56.79,56.99,56.09,56.88,16445128
2024-11-18 16:01:40.133911,56.27,56.64,55.59,56.55,48469725
2024-11-19 16:01:40.133911,57.38,57.43,56.26,57.19,99517047
2024-11-20 16:01:40.133911,55.29,56.25,55.18,55.53,26590187
2024-11-21 16:01:40.133911,54.82,55.18,54.73,55.11,87536634
2024-11-22 16:01:40.133911,54.79,55.42,54.42,54.9,10967502
2024-11-25 16:01:40.133911,52.42,53.94,51.78,52.04,13935107
2024-11-26 16:01:40.133911,53.34,53.5,52.28,53.21,95026053
2024-11-27 16:01:40.133911,52.49,53.36,52.17,52.34,68943039
2024-11-28 16:01:40.133911,54.18,54.2,54.1,54.11,72530109
2024-11-29 16:01:40.133911,53.05,54.1,52.43,53.3,63253884
2024-12-02 16:01:40.133911,52.53,52.77,51.97,52.7,69485199
2024-12-03 16:01:40.133911,51.08,52.13,50.85,51.29,50330649
2024-12-04 16:01:40.133911,52.9,53.42,52.56,52.62,22459320
2024-12-05 16:01:40.133911,53.24,53.68,52.56,53.16,35978990
2024-12-06 16:01:40.133911,54.38,55.1,53.44,54.84,92754128
2024-12-09 16:01:40.133911,55.0,55.17,53.78,54.6,40489976
2024-12-10 16:01:40.133911,54.47,55.12,54.24,54.56,31851197
2024-12-11 16:01:40.133911,52.76,52.96,52.52,52.59,75684085
2024-12-12 16:01:40.133911,52.16,52.5,51.69,51.88,25600794
2024-12-13 16:01:40.133911,51.42,52.33,50.9,52.09,86802468
2024-12-16 16:01:40.133911,52.67,52.84,52.17,52.55,40125586
2024-12-17 16:01:40.133911,54.65,55.02,54.03,54.72,41391590
2024-12-18 16:01:40.133911,51.91,53.32,51.87,52.54,33471010
2024-12-19 16:01:40.133911,52.52,52.99,52.19,52.82,92177100
2024-12-20 16:01:40.133911,52.28,54.05,51.26,52.4,91270541
2024-12-23 16:01:40.133911,52.72,53.53,52.42,52.5,55938607
2024-12-24 16:01:40.133911,52.58,52.97,52.45,52.63,51783084
2024-12-25 16:01:40.133911,52.46,52.53,51.86,52.42,68811009
2024-12-26 16:01:40.133911,51.05,51.15,50.96,51.14,12833453
2024-12-27 16:01:40.133911,49.95,50.18,49.18,49.68,25990771
2024-12-30 16:01:40.133911,49.53,49.74,49.16,49.41,68313254
2024-12-31 16:01:40.133911,47.93,48.06,47.83,47.89,26889380
2025-01-01 16:01:40.133911,47.51,48.13,47.39,47.79,30072072
2025-01-02 16:01:40.133911,47.56,48.08,47.31,47.53,15292937
2025-01-03 16:01:40.133911,45.67,45.81,44.92,45.04,16723838
2025-01-06 16:01:40.133911,47.2,47.35,46.83,47.01,62019334
2025-01-07 16:01:40.133911,46.93,47.68,46.69,47.1,40875288
2025-01-08 16:01:40.133911,45.06,45.62,44.16,44.65,86081133
2025-01-09 16:01:40.133911,44.73,45.37,44.38,44.91,75828280
2025-01-10 16:01:40.133911,44.87,45.41,44.36,44.71,66064475
2025-01-13 16:01:40.133911,43.43,44.12,42.76,43.44,12957761
2025-01-14 16:01:40.133911,43.79,44.21,43.32,43.75,73556414
2025-01-15 16:01:40.133911,42.91,43.04,42.71,42.86,75073104
2025-01-16 16:01:40.133911,43.0,43.36,42.94,43.06,48030586
2025-01-17 16:01:40.133911,42.32,42.78,41.77,42.4,66121667
2025-01-20 16:01:40.133911,41.3,41.73,41.01,41.58,96572044
2025-01-21 16:01:40.133911,41.34,41.65,41.01,41.57,90484241
2025-01-22 16:01:40.133911,40.19,40.28,39.65,40.12,1936834
2025-01-23 16:01:40.133911,39.92,40.08,39.53,40.06,81428402
2025-01-24 16:01:40.133911,40.47,41.12,40.01,40.65,3755748
2025-01-27 16:01:40.133911,42.41,42.42,41.44,41.82,20598944
2025-01-28 16:01:40.133911,43.37,43.43,42.64,42.84,42711208
2025-01-29 16:01:40.133911,44.28,44.99,43.71,44.15,76349015
2025-01-30 16:01:40.133911,43.88,43.99,43.57,43.72,36017415
2025-01-31 16:01:40.133911,42.58,43.03,42.35,42.75,31518306
2025-02-03 16:01:40.133911,43.28,43.85,43.09,43.54,46303297
2025-02-04 16:01:40.133911,42.98,44.42,42.56,43.05,24430987
2025-02-05 16:01:40.133911,43.07,43.21,42.43,43.07,91501973
2025-02-06 16:01:40.133911,43.95,44.18,42.7,43.8,64552972
2025-02-07 16:01:40.133911,45.38,45.92,44.9,45.8,30607049
2025-02-10 16:01:40.133911,46.85,47.43,45.13,46.35,25727338
2025-02-11 16:01:40.133911,46.63,47.35,46.35,46.57,86174980
2025-02-12 16:01:40.133911,45.09,45.56,44.25,45.44,78749818
2025-02-13 16:01:40.133911,46.68,47.4,46.49,46.64,74048328
2025-02-14 16:01:40.133911,46.86,47.32,46.64,47.08,85111692
2025-02-17 16:01:40.133911,46.5,46.92,45.7,46.73,20616830
2025-02-18 16:01:40.133911,46.03,46.45,45.86,46.28,76539734
2025-02-19 16:01:40.133911,45.81,45.9,45.38,45.87,3078237
2025-02-20 16:01:40.133911,46.41,46.73,45.64,45.93,42272822
2025-02-21 16:01:40.133911,44.51,45.06,43.93,44.49,29290580
2025-02-24 16:01:40.133911,45.87,46.26,45.05,45.71,38310762
2025-02-25 16:01:40.133911,46.99,47.42,46.56,46.77,24783624
2025-02-26 16:01:40.133911,46.58,47.37,45.94,46.61,66884431
2025-02-27 16:01:40.133911,45.94,46.56,45.39,46.21,1643606
2025-02-28 16:01:40.133911,45.83,46.22,45.72,46.19,15667193
2025-03-03 16:01:40.133911,46.27,46.8,45.97,46.36,51723926
2025-03-04 16:01:40.133911,46.32,46.41,45.96,46.06,30222942
2025-03-05 16:01:40.133911,47.32,47.83,46.26,47.1,8340100
2025-03-06 16:01:40.133911,45.71,46.16,45.45,45.65,13233664
2025-03-07 16:01:40.133911,45.04,45.2,44.53,44.95,68026415
2025-03-10 16:01:40.133911,45.71,46.74,44.79,45.74,19316187
2025-03-11 16:01:40.133911,45.96,46.65,45.84,46.08,38266577
2025-03-12 16:01:40.133911,45.23,45.8,44.92,45.4,48440855
2025-03-13 16:01:40.133911,45.48,45.97,45.23,45.81,29537312
2025-03-14 16:01:40.133911,45.44,46.18,44.65,45.03,39858633
2025-03-17 16:01:40.133911,44.77,45.15,44.68,44.73,67808100
2025-03-18 16:01:40.133911,45.69,46.3,45.65,45.79,26929695
2025-03-19 16:01:40.133911,47.18,47.66,46.65,46.75,68593644
2025-03-20 16:01:40.133911,47.53,47.89,47.04,47.06,9496143
2025-03-21 16:01:40.133911,46.62,47.46,45.85,45.99,84901143
2025-03-24 16:01:40.133911,45.56,46.38,44.73,45.62,21583027
2025-03-25 16:01:40.133911,45.75,46.14,44.8,45.73,19354293
2025-03-26 16:01:40.133911,47.38,47.97,47.12,47.23,74160973
2025-03-27 16:01:40.133911,45.8,46.12,45.0,45.42,10670026
2025-03-28 16:01:40.133911,44.58,45.08,44.04,44.57,6327826
2025-03-31 16:01:40.133911,45.47,45.82,45.41,45.7,88732385
2025-04-01 16:01:40.133911,46.92,47.79,46.66,47.1,52869324
2025-04-02 16:01:40.133911,47.32,47.4,46.37,47.04,25850598
2025-04-03 16:01:40.133911,48.83,49.0,48.15,48.67,40606299
2025-04-04 16:01:40.133911,47.86,48.01,47.61,47.91,53981159
2025-04-07 16:01:40.133911,46.29,47.22,45.68,46.35,82547023
2025-04-08 16:01:40.133911,47.13,47.47,46.6,47.17,14754929
2025-04-09 16:01:40.133911,48.85,48.88,48.31,48.55,73711026
2025-04-10 16:01:40.133911,49.75,50.61,48.96,49.95,2359871
2025-04-11 16:01:40.133911,48.72,49.48,48.06,49.02,95898331
2025-04-14 16:01:40.133911,49.69,49.78,48.96,49.25,98701211
2025-04-15 16:01:40.133911,50.19,50.78,50.0,50.18,53036728
2025-04-16 16:01:40.133911,50.51,51.77,50.16,50.53,6668795
2025-04-17 16:01:40.133911,52.35,52.38,51.76,52.17,17468619
2025-04-18 16:01:40.133911,51.47,51.79,50.49,51.72,56966516
2025-04-21 16:01:40.133911,51.85,52.32,51.54,51.65,49251440
2025-04-22 16:01:40.133911,51.84,52.27,51.71,51.94,80234211
2025-04-23 16:01:40.133911,53.21,53.63,52.88,52.91,30429075
2025-04-24 16:01:40.133911,52.29,52.97,52.26,52.7,58837209
2025-04-25 16:01:40.133911,53.92,53.97,53.53,53.8,34001783
2025-04-28 16:01:40.133911,55.68,56.26,55.38,55.75,70241207
2025-04-29 16:01:40.133911,54.93,55.64,54.77,55.13,22218649
2025-04-30 16:01:40.133911,55.15,55.56,54.49,54.94,67582677
2025-05-01 16:01:40.133911,56.1,56.33,56.04,56.14,23271863
2025-05-02 16:01:40.133911,58.73,58.92,58.26,58.59,68181128
2025-05-05 16:01:40.133911,59.81,60.21,59.25,59.43,97657988
2025-05-06 16:01:40.133911,58.65,59.89,57.78,58.42,63312624
2025-05-07 16:01:40.133911,58.38,58.74,57.7,58.69,58104737
2025-05-08 16:01:40.133911,59.8,60.16,59.03,59.96,82998337
2025-05-09 16:01:40.133911,59.05,59.42,58.71,58.91,59140980
2025-05-12 16:01:40.133911,57.77,58.08,57.4,57.54,82102342
2025-05-13 16:01:40.133911,57.01,57.73,56.28,57.12,93132094
2025-05-14 16:01:40.133911,58.03,58.67,57.77,57.97,18386467
2025-05-15 16:01:40.133911,56.31,58.09,56.08,56.26,61556236
2025-05-16 16:01:40.133911,55.51,55.79,55.08,55.42,96781779
2025-05-19 16:01:40.133911,55.44,56.25,55.09,55.77,55748573
2025-05-20 16:01:40.133911,56.73,57.61,55.77,57.14,50332810
2025-05-21 16:01:40.133911,56.87,58.44,56.1,57.52,44832825
2025-05-22 16:01:40.133911,58.04,58.31,57.98,58.01,79919874
2025-05-23 16:01:40.133911,58.92,60.58,58.87,59.32,80830202
2025-05-26 16:01:40.133911,62.12,62.46,61.16,61.46,9172993
2025-05-27 16:01:40.133911,63.73,64.13,63.36,63.52,51121218
2025-05-28 16:01:40.133911,60.38,61.54,60.37,60.74,24288503
2025-05-29 16:01:40.133911,61.23,61.35,60.12,60.89,40970638
2025-05-30 16:01:40.133911,62.49,63.44,62.11,62.14,66970448
2025-06-02 16:01:40.133911,64.92,65.58,64.12,64.53,96865711
2025-06-03 16:01:40.133911,65.2,65.94,64.42,65.46,50928243
2025-06-04 16:01:40.133911,64.48,64.53,63.73,64.25,73609135
2025-06-05 16:01:40.133911,63.63,63.98,62.16,63.24,86284996
2025-06-06 16:01:40.133911,62.78,62.89,61.76,62.29,73674273
2025-06-09 16:01:40.133911,62.25,63.36,61.99,62.72,24034165
2025-06-10 16:01:40.133911,62.01,62.13,60.83,62.08,73119868
2025-06-11 16:01:40.133911,57.82,59.71,57.46,58.06,90124716
2025-06-12 16:01:40.133911,57.11,57.16,56.51,56.59,14088783
2025-06-13 16:01:40.133911,56.19,56.25,55.83,56.05,86944036
2025-06-16 16:01:40.133911,54.64,55.11,53.87,54.4,1448250
2025-06-17 16:01:40.133911,53.1,53.26,52.66,52.98,21173871
2025-06-18 16:01:40.133911,55.55,56.09,54.99,55.44,99952938
2025-06-19 16:01:40.133911,55.2,55.75,54.19,55.44,48777266
2025-06-20 16:01:40.133911,54.86,55.56,54.79,54.99,68167039
2025-06-23 16:01:40.133911,55.84,57.3,54.71,55.82,49172500
2025-06-24 16:01:40.133911,57.07,57.5,56.75,57.26,38105704
2025-06-25 16:01:40.133911,59.92,60.28,59.68,60.17,76924935
2025-06-26 16:01:40.133911,62.43,63.23,61.74,62.49,10367922
2025-06-27 16:01:40.133911,62.92,63.4,62.41,63.11,78644981
2025-06-30 16:01:40.133911,61.04,61.11,60.56,61.02,90184772
2025-07-01 16:01:40.133911,59.57,59.96,58.73,59.7,18343120
2025-07-02 16:01:40.133911,58.99,59.23,58.95,59.19,95826340
2025-07-03 16:01:40.133911,59.59,59.91,58.5,59.87,48632614
2025-07-04 16:01:40.133911,60.01,60.55,59.35,60.01,81176475
2025-07-07 16:01:40.133911,58.36,59.35,57.06,58.1,15219938
2025-07-08 16:01:40.133911,56.22,57.37,55.92,56.04,67891431
2025-07-09 16:01:40.133911,55.94,56.65,55.89,56.37,56728405
2025-07-10 16:01:40.133911,56.78,57.01,56.35,56.54,24951084
2025-07-11 16:01:40.133911,56.47,57.39,55.83,56.29,12642716
2025-07-14 16:01:40.133911,57.16,57.22,56.74,56.9,37369417
2025-07-15 16:01:40.133911,58.82,58.9,58.2,58.5,57770193
2025-07-16 16:01:40.133911,58.7,59.05,57.28,58.92,61225250
2025-07-17 16:01:40.133911,57.64,58.57,56.17,57.72,50767147
2025-07-18 16:01:40.133911,60.76,60.77,59.13,60.23,75490319
2025-07-21 16:01:40.133911,60.53,60.86,59.69,60.01,84927793
2025-07-22 16:01:40.133911,60.06,60.69,58.53,60.09,96901488
2025-07-23 16:01:40.133911,59.42,60.12,59.08,59.24,37250182
2025-07-24 16:01:40.133911,58.07,59.0,57.6,57.87,16468701
2025-07-25 16:01:40.133911,57.12,57.49,56.34,56.63,58290806
2025-07-28 16:01:40.133911,55.24,55.87,54.98,55.15,59658747
2025-07-29 16:01:40.133911,51.3,51.75,51.18,51.62,96090390
2025-07-30 16:01:40.133911,51.33,51.98,51.05,51.45,29917703
2025-07-31 16:01:40.133911,53.56,53.95,52.08,52.73,40984148
2025-08-01 16:01:40.133911,51.28,51.88,51.24,51.61,2436953
2025-08-04 16:01:40.133911,54.63,55.48,54.27,54.62,41110840
2025-08-05 16:01:40.133911,56.98,57.2,56.12,56.33,89356379
2025-08-06 16:01:40.133911,56.09,56.34,55.94,56.32,85360186
2025-08-07 16:01:40.133911,54.22,55.26,53.94,54.97,38617574
2025-08-08 16:01:40.133911,52.4,54.35,52.35,53.08,51854695
2025-08-11 16:01:40.133911,52.75,53.41,52.14,52.96,58031378
2025-08-12 16:01:40.133911,52.58,53.48,52.01,53.05,43481948
2025-08-13 16:01:40.133911,53.1,53.35,52.44,52.82,98439251
2025-08-14 16:01:40.133911,54.17,54.92,54.04,54.1,30947411
2025-08-15 16:01:40.133911,55.33,56.22,55.19,55.92,62378377
2025-08-18 16:01:40.133911,56.07,57.1,56.01,56.52,60196811
