date,open,high,low,close,volume
2024-10-24 16:01:40.505092,219.26,222.92,217.11,219.58,70630551
2024-10-25 16:01:40.505092,221.03,224.55,219.27,221.78,6137948
2024-10-28 16:01:40.505092,227.09,230.79,222.69,228.72,96981915
2024-10-29 16:01:40.505092,232.48,236.25,230.51,231.32,39596892
2024-10-30 16:01:40.505092,228.62,231.08,227.99,229.15,99939609
2024-10-31 16:01:40.505092,220.42,220.93,218.11,220.45,27857500
2024-11-01 16:01:40.505092,221.31,222.48,220.01,221.51,33405763
2024-11-04 16:01:40.505092,224.49,224.59,223.4,223.86,38201725
2024-11-05 16:01:40.505092,229.32,232.62,227.22,230.67,88807918
2024-11-06 16:01:40.505092,235.77,239.79,233.07,236.51,15964631
2024-11-07 16:01:40.505092,234.21,235.63,230.21,233.36,81403802
2024-11-08 16:01:40.505092,234.82,235.63,233.31,233.42,43157744
2024-11-11 16:01:40.505092,241.67,242.16,238.22,241.48,65332701
2024-11-12 16:01:40.505092,241.73,245.53,240.44,240.97,93682959
2024-11-13 16:01:40.505092,238.16,243.04,235.61,239.07,59561249
2024-11-14 16:01:40.505092,237.55,242.59,234.91,241.22,92073454
2024-11-15 16:01:40.505092,233.22,233.98,232.61,233.94,76113281
2024-11-18 16:01:40.505092,231.89,238.57,231.23,233.05,75548745
2024-11-19 16:01:40.505092,227.21,232.78,226.13,228.05,69407459
2024-11-20 16:01:40.505092,229.76,232.04,224.94,230.18,43565999
2024-11-21 16:01:40.505092,222.43,224.53,220.72,221.85,68438207
2024-11-22 16:01:40.505092,218.28,221.63,217.65,218.16,1793282
2024-11-25 16:01:40.505092,220.75,224.29,220.41,222.07,62850504
2024-11-26 16:01:40.505092,219.11,219.89,217.84,218.09,45033409
2024-11-27 16:01:40.505092,220.88,222.4,217.01,219.75,74193770
2024-11-28 16:01:40.505092,219.5,221.6,219.06,219.72,94719549
2024-11-29 16:01:40.505092,217.26,222.06,215.07,218.11,88795563
2024-12-02 16:01:40.505092,211.49,213.51,210.36,210.59,45825819
2024-12-03 16:01:40.505092,215.04,216.68,214.53,215.0,8805021
2024-12-04 16:01:40.505092,213.66,217.75,209.75,214.73,4231936
2024-12-05 16:01:40.505092,214.79,215.59,210.52,213.3,24206782
2024-12-06 16:01:40.505092,216.02,217.0,211.44,214.16,86931453
2024-12-09 16:01:40.505092,211.58,214.74,209.86,210.63,98879607
2024-12-10 16:01:40.505092,209.53,211.87,208.8,210.93,23222375
2024-12-11 16:01:40.505092,205.24,208.89,203.47,206.26,54467581
2024-12-12 16:01:40.505092,203.67,204.03,200.9,202.9,89475018
2024-12-13 16:01:40.505092,195.72,199.28,193.14,194.96,86329552
2024-12-16 16:01:40.505092,196.89,199.14,196.55,198.73,7155211
2024-12-17 16:01:40.505092,194.94,200.15,193.37,196.85,5955143
2024-12-18 16:01:40.505092,201.11,204.22,198.28,200.75,70640493
2024-12-19 16:01:40.505092,193.66,197.38,192.36,195.92,31409245
2024-12-20 16:01:40.505092,204.09,205.91,201.2,203.08,8427934
2024-12-23 16:01:40.505092,206.68,206.86,202.17,206.83,52103054
2024-12-24 16:01:40.505092,199.75,199.85,199.32,199.76,79702343
2024-12-25 16:01:40.505092,197.81,199.28,197.72,198.17,90300836
2024-12-26 16:01:40.505092,192.59,195.36,192.35,193.95,32093624
2024-12-27 16:01:40.505092,196.28,200.28,194.35,195.2,94974884
2024-12-30 16:01:40.505092,194.12,196.95,193.26,195.27,84984429
2024-12-31 16:01:40.505092,199.3,201.47,198.75,198.95,45656666
2025-01-01 16:01:40.505092,194.96,197.34,190.2,196.76,10047778
2025-01-02 16:01:40.505092,197.99,199.71,197.51,198.64,24696902
2025-01-03 16:01:40.505092,197.35,197.91,196.26,196.99,63639003
2025-01-06 16:01:40.505092,204.47,206.09,200.87,202.56,2421147
2025-01-07 16:01:40.505092,206.06,209.96,205.61,208.13,15647928
2025-01-08 16:01:40.505092,207.93,208.14,206.63,206.82,82161345
2025-01-09 16:01:40.505092,201.91,202.35,201.51,202.11,96625436
2025-01-10 16:01:40.505092,197.68,199.47,195.09,198.99,22386668
2025-01-13 16:01:40.505092,200.84,202.64,198.76,201.02,85250492
2025-01-14 16:01:40.505092,201.99,202.19,201.67,201.78,19767808
2025-01-15 16:01:40.505092,201.01,201.36,198.77,200.69,76753648
2025-01-16 16:01:40.505092,196.35,199.67,194.06,196.81,16815640
2025-01-17 16:01:40.505092,200.96,201.96,199.78,201.74,15751386
2025-01-20 16:01:40.505092,202.81,206.46,199.05,202.01,46429554
2025-01-21 16:01:40.505092,196.96,197.68,193.8,196.72,59952890
2025-01-22 16:01:40.505092,194.87,195.88,194.68,195.56,79250497
2025-01-23 16:01:40.505092,194.9,196.29,192.09,194.31,74758985
2025-01-24 16:01:40.505092,194.67,194.77,189.12,193.07,31706403
2025-01-27 16:01:40.505092,197.11,198.94,196.45,197.53,73017849
2025-01-28 16:01:40.505092,198.16,202.87,197.96,199.54,34005434
2025-01-29 16:01:40.505092,199.46,201.65,197.64,201.2,6531467
2025-01-30 16:01:40.505092,204.35,205.89,203.1,203.6,23774623
2025-01-31 16:01:40.505092,202.58,202.58,201.85,202.07,80125044
2025-02-03 16:01:40.505092,202.55,204.73,199.86,202.49,10449655
2025-02-04 16:01:40.505092,195.22,198.02,191.96,196.18,53014176
2025-02-05 16:01:40.505092,199.05,200.7,197.81,198.93,2442979
2025-02-06 16:01:40.505092,202.69,203.41,198.09,201.44,17669777
2025-02-07 16:01:40.505092,199.59,203.19,196.54,198.96,2646487
2025-02-10 16:01:40.505092,198.44,200.53,195.56,199.56,75015017
2025-02-11 16:01:40.505092,193.7,196.73,191.76,194.26,24156426
2025-02-12 16:01:40.505092,190.07,190.99,189.42,190.45,52752666
2025-02-13 16:01:40.505092,197.01,199.8,191.42,196.04,48169885
2025-02-14 16:01:40.505092,194.1,194.27,192.52,193.82,36188773
2025-02-17 16:01:40.505092,195.02,196.48,194.11,195.26,30691800
2025-02-18 16:01:40.505092,193.24,195.29,191.76,192.55,89067356
2025-02-19 16:01:40.505092,190.08,192.96,186.62,190.31,97688564
2025-02-20 16:01:40.505092,188.92,189.54,187.41,187.81,5234530
2025-02-21 16:01:40.505092,184.77,186.19,184.41,184.86,61440757
2025-02-24 16:01:40.505092,189.63,192.39,186.87,189.98,16973458
2025-02-25 16:01:40.505092,191.54,193.02,186.9,189.35,17314163
2025-02-26 16:01:40.505092,183.43,184.99,182.7,184.5,3472545
2025-02-27 16:01:40.505092,184.34,187.49,182.87,184.83,84676391
2025-02-28 16:01:40.505092,173.35,173.95,171.89,172.38,74316229
2025-03-03 16:01:40.505092,166.24,167.84,164.54,166.13,50238361
2025-03-04 16:01:40.505092,169.7,173.66,168.95,169.98,73756616
2025-03-05 16:01:40.505092,178.41,180.22,175.31,175.9,50340342
2025-03-06 16:01:40.505092,178.3,178.66,174.26,177.51,26413142
2025-03-07 16:01:40.505092,172.93,174.52,171.1,173.87,52912119
2025-03-10 16:01:40.505092,174.45,176.18,173.89,174.92,22411875
2025-03-11 16:01:40.505092,173.52,174.27,173.33,174.0,21877836
2025-03-12 16:01:40.505092,173.91,176.98,172.87,174.61,43631430
2025-03-13 16:01:40.505092,173.19,175.44,172.75,173.51,62377820
2025-03-14 16:01:40.505092,174.81,178.09,174.4,174.59,79239409
2025-03-17 16:01:40.505092,178.98,182.48,178.75,178.82,87145177
2025-03-18 16:01:40.505092,186.24,187.02,184.93,186.73,51140930
2025-03-19 16:01:40.505092,185.98,186.26,184.18,185.87,13182083
2025-03-20 16:01:40.505092,190.26,193.59,189.22,191.34,79683924
2025-03-21 16:01:40.505092,194.14,196.24,191.7,194.89,94123670
2025-03-24 16:01:40.505092,189.83,191.74,187.77,189.0,32854071
2025-03-25 16:01:40.505092,184.03,186.45,183.03,184.96,6441688
2025-03-26 16:01:40.505092,185.97,189.55,184.08,186.96,60246119
2025-03-27 16:01:40.505092,188.04,188.26,184.77,187.51,77589885
2025-03-28 16:01:40.505092,192.87,193.2,190.2,192.56,86932104
2025-03-31 16:01:40.505092,187.64,188.18,185.16,187.3,13663863
2025-04-01 16:01:40.505092,188.96,189.76,185.99,188.67,64110354
2025-04-02 16:01:40.505092,183.08,185.5,182.68,182.94,77343355
2025-04-03 16:01:40.505092,179.6,180.76,178.2,179.29,30193066
2025-04-04 16:01:40.505092,175.16,176.98,173.47,175.27,50459312
2025-04-07 16:01:40.505092,172.09,174.7,170.53,171.71,61029831
2025-04-08 16:01:40.505092,168.6,168.94,167.24,168.76,57872527
2025-04-09 16:01:40.505092,165.3,167.18,161.73,165.47,61228941
2025-04-10 16:01:40.505092,168.23,170.08,166.95,167.88,15213063
2025-04-11 16:01:40.505092,171.77,172.04,171.69,171.72,11457261
2025-04-14 16:01:40.505092,172.1,173.78,170.59,173.54,35598845
2025-04-15 16:01:40.505092,177.45,179.45,175.46,175.61,4068965
2025-04-16 16:01:40.505092,171.84,172.39,171.31,171.44,85316500
2025-04-17 16:01:40.505092,175.4,177.26,173.89,174.97,27938149
2025-04-18 16:01:40.505092,177.59,182.48,175.48,178.01,85650128
2025-04-21 16:01:40.505092,175.2,178.06,172.92,177.7,49012042
2025-04-22 16:01:40.505092,175.94,176.78,171.96,176.02,54431105
2025-04-23 16:01:40.505092,176.54,177.52,175.63,176.79,72548218
2025-04-24 16:01:40.505092,176.05,177.88,175.79,176.2,86239632
2025-04-25 16:01:40.505092,177.71,178.92,175.58,177.14,24833848
2025-04-28 16:01:40.505092,175.44,176.64,173.15,174.88,75973975
2025-04-29 16:01:40.505092,173.14,174.71,172.77,173.81,22604545
2025-04-30 16:01:40.505092,164.05,164.86,161.17,163.55,16683080
2025-05-01 16:01:40.505092,170.44,171.99,169.8,169.81,95602315
2025-05-02 16:01:40.505092,169.98,170.98,167.1,170.12,27664603
2025-05-05 16:01:40.505092,166.81,167.12,166.46,166.62,45089015
2025-05-06 16:01:40.505092,161.98,162.96,159.85,161.43,14058686
2025-05-07 16:01:40.505092,164.72,169.41,163.82,164.33,18136984
2025-05-08 16:01:40.505092,167.0,169.14,163.82,168.24,76566221
2025-05-09 16:01:40.505092,165.44,166.36,164.2,165.6,23357919
2025-05-12 16:01:40.505092,164.24,165.36,163.99,164.52,94886397
2025-05-13 16:01:40.505092,164.72,165.44,161.73,162.78,35633184
2025-05-14 16:01:40.505092,161.94,163.41,159.71,161.72,87898176
2025-05-15 16:01:40.505092,167.15,170.02,164.25,165.96,80472411
2025-05-16 16:01:40.505092,162.98,164.87,161.73,163.54,88168391
2025-05-19 16:01:40.505092,165.01,166.82,163.69,166.17,62650765
2025-05-20 16:01:40.505092,169.65,170.77,167.72,168.07,21543228
2025-05-21 16:01:40.505092,169.32,171.0,168.81,169.45,50549501
2025-05-22 16:01:40.505092,169.84,170.23,167.92,170.21,10547003
2025-05-23 16:01:40.505092,164.75,166.2,162.65,165.03,41906790
2025-05-26 16:01:40.505092,155.13,157.37,154.5,156.25,57785378
2025-05-27 16:01:40.505092,149.39,150.99,149.37,149.71,51547822
2025-05-28 16:01:40.505092,144.12,145.36,142.28,144.52,21885374
2025-05-29 16:01:40.505092,141.84,143.83,141.2,141.57,34267637
2025-05-30 16:01:40.505092,137.97,138.72,137.22,137.74,87153036
2025-06-02 16:01:40.505092,137.67,138.99,134.91,138.28,91755175
2025-06-03 16:01:40.505092,138.22,138.67,137.53,138.62,1449524
2025-06-04 16:01:40.505092,140.1,142.71,138.71,140.95,27492392
2025-06-05 16:01:40.505092,143.3,145.77,140.45,144.02,88017232
2025-06-06 16:01:40.505092,150.52,151.54,148.46,149.35,88323613
2025-06-09 16:01:40.505092,150.24,151.65,149.11,149.82,80658373
2025-06-10 16:01:40.505092,153.58,154.04,152.42,153.49,77771826
2025-06-11 16:01:40.505092,148.76,149.45,148.5,149.04,99299731
2025-06-12 16:01:40.505092,148.18,150.39,147.48,148.16,21411715
2025-06-13 16:01:40.505092,146.79,147.48,144.44,147.05,64566787
2025-06-16 16:01:40.505092,152.06,153.75,148.28,151.23,18365804
2025-06-17 16:01:40.505092,155.67,156.57,153.57,155.46,46291357
2025-06-18 16:01:40.505092,159.79,163.53,156.52,159.27,7949271
2025-06-19 16:01:40.505092,156.01,157.18,154.39,155.97,85749396
2025-06-20 16:01:40.505092,157.19,157.56,157.18,157.55,2927759
2025-06-23 16:01:40.505092,160.75,161.09,159.12,160.36,3248552
2025-06-24 16:01:40.505092,164.58,166.5,162.7,165.6,97978912
2025-06-25 16:01:40.505092,166.89,169.26,164.32,167.5,2965456
2025-06-26 16:01:40.505092,166.17,166.29,164.91,165.32,84730025
2025-06-27 16:01:40.505092,163.13,163.59,161.78,162.75,80928053
2025-06-30 16:01:40.505092,162.38,164.54,162.08,162.75,93115498
2025-07-01 16:01:40.505092,164.52,166.48,163.27,165.17,60105852
2025-07-02 16:01:40.505092,161.43,162.39,160.75,161.38,81982205
2025-07-03 16:01:40.505092,162.82,164.99,162.68,162.7,3617287
2025-07-04 16:01:40.505092,162.39,162.97,159.64,162.89,65013600
2025-07-07 16:01:40.505092,162.42,162.5,160.41,162.04,15031101
2025-07-08 16:01:40.505092,152.09,154.19,152.07,154.13,62202793
2025-07-09 16:01:40.505092,157.86,158.21,155.78,157.11,63042051
2025-07-10 16:01:40.505092,160.62,161.5,159.93,161.28,94945446
2025-07-11 16:01:40.505092,162.02,163.12,161.0,162.38,67254752
2025-07-14 16:01:40.505092,160.2,162.85,158.83,160.67,83549638
2025-07-15 16:01:40.505092,159.47,164.13,157.97,158.95,51849598
2025-07-16 16:01:40.505092,160.52,161.87,158.99,161.18,66079680
2025-07-17 16:01:40.505092,163.55,167.96,161.71,163.59,90984694
2025-07-18 16:01:40.505092,162.71,164.86,160.97,161.91,32740952
2025-07-21 16:01:40.505092,160.96,162.57,157.5,160.45,26564734
2025-07-22 16:01:40.505092,152.98,155.49,148.98,154.82,24883372
2025-07-23 16:01:40.505092,152.28,153.42,150.84,153.25,12423314
