date,open,high,low,close,volume
2024-10-24 16:01:40.155018,258.49,258.91,253.93,257.11,59562357
2024-10-25 16:01:40.155018,261.71,263.4,255.66,259.69,59122394
2024-10-28 16:01:40.155018,256.53,258.38,255.95,256.49,51314838
2024-10-29 16:01:40.155018,246.77,247.53,241.56,245.87,58195721
2024-10-30 16:01:40.155018,241.56,250.36,241.18,243.36,90025303
2024-10-31 16:01:40.155018,240.76,242.28,239.37,240.93,44816265
2024-11-01 16:01:40.155018,248.52,250.97,246.16,249.24,43812855
2024-11-04 16:01:40.155018,247.34,249.78,244.4,246.83,35620908
2024-11-05 16:01:40.155018,244.92,248.73,242.28,248.27,49245738
2024-11-06 16:01:40.155018,256.84,261.02,256.15,257.24,36033415
2024-11-07 16:01:40.155018,252.1,255.13,250.23,251.31,47053873
2024-11-08 16:01:40.155018,248.23,250.49,247.71,247.93,26576950
2024-11-11 16:01:40.155018,246.02,249.36,242.4,245.06,51687514
2024-11-12 16:01:40.155018,235.52,237.48,234.69,236.23,82410690
2024-11-13 16:01:40.155018,231.61,235.41,229.05,234.93,35521876
2024-11-14 16:01:40.155018,242.41,244.41,240.11,241.09,9140070
2024-11-15 16:01:40.155018,246.61,246.94,245.36,245.68,40484703
2024-11-18 16:01:40.155018,254.21,255.65,246.81,252.23,24600381
2024-11-19 16:01:40.155018,248.88,249.18,248.48,248.79,94641137
2024-11-20 16:01:40.155018,243.23,243.73,242.54,242.72,73883284
2024-11-21 16:01:40.155018,258.13,260.9,254.81,255.16,52982897
2024-11-22 16:01:40.155018,254.06,262.54,253.22,256.43,81175619
2024-11-25 16:01:40.155018,248.09,250.38,245.06,247.54,29685827
2024-11-26 16:01:40.155018,263.57,269.79,256.58,261.97,43326512
2024-11-27 16:01:40.155018,261.79,264.07,260.45,261.51,51500250
2024-11-28 16:01:40.155018,245.2,248.68,241.39,245.12,63289422
2024-11-29 16:01:40.155018,251.29,257.84,250.9,253.16,22756268
2024-12-02 16:01:40.155018,242.41,243.5,239.79,240.65,70985823
2024-12-03 16:01:40.155018,243.53,246.51,241.74,242.24,28141544
2024-12-04 16:01:40.155018,248.42,252.33,246.72,246.84,59414654
2024-12-05 16:01:40.155018,250.61,255.13,250.2,250.63,43858428
2024-12-06 16:01:40.155018,259.03,259.64,257.92,259.44,49126989
2024-12-09 16:01:40.155018,265.38,268.99,263.21,265.39,63235246
2024-12-10 16:01:40.155018,278.89,279.65,276.01,276.54,67126333
2024-12-11 16:01:40.155018,275.68,277.31,268.54,276.04,57433311
2024-12-12 16:01:40.155018,275.62,283.64,270.75,273.6,14820207
2024-12-13 16:01:40.155018,271.38,274.6,271.36,271.58,27272712
2024-12-16 16:01:40.155018,278.79,281.9,275.12,279.99,42461150
2024-12-17 16:01:40.155018,273.27,280.38,272.96,276.14,28585985
2024-12-18 16:01:40.155018,282.22,286.18,279.12,281.41,17355103
2024-12-19 16:01:40.155018,277.25,277.42,273.92,276.19,29212888
2024-12-20 16:01:40.155018,269.62,272.38,264.62,271.18,97190033
2024-12-23 16:01:40.155018,280.47,281.64,278.09,278.41,65706924
2024-12-24 16:01:40.155018,279.23,281.42,277.89,281.17,1195297
2024-12-25 16:01:40.155018,269.11,270.11,264.15,268.16,6845980
2024-12-26 16:01:40.155018,264.22,265.91,262.9,263.22,8183356
2024-12-27 16:01:40.155018,250.11,251.84,243.09,248.77,73224172
2024-12-30 16:01:40.155018,244.35,246.81,243.45,246.78,71043799
2024-12-31 16:01:40.155018,246.66,248.56,240.57,245.35,49275022
2025-01-01 16:01:40.155018,242.68,244.62,241.59,242.86,53640450
2025-01-02 16:01:40.155018,249.04,250.36,242.6,249.47,70310390
2025-01-03 16:01:40.155018,252.85,254.26,248.38,251.81,98765598
2025-01-06 16:01:40.155018,267.21,268.42,265.25,265.94,93719542
2025-01-07 16:01:40.155018,266.47,270.09,264.72,269.15,69313237
2025-01-08 16:01:40.155018,270.76,273.92,267.31,272.51,43894221
2025-01-09 16:01:40.155018,275.86,276.8,272.47,274.22,46821384
2025-01-10 16:01:40.155018,273.31,280.99,271.93,272.66,82970129
2025-01-13 16:01:40.155018,269.09,271.33,267.39,268.84,75480775
2025-01-14 16:01:40.155018,266.2,269.91,263.78,267.52,23495866
2025-01-15 16:01:40.155018,267.05,268.4,265.47,266.47,21961125
2025-01-16 16:01:40.155018,267.6,269.48,264.87,265.97,19223725
2025-01-17 16:01:40.155018,272.92,273.08,269.34,269.79,60197582
2025-01-20 16:01:40.155018,271.17,274.12,268.65,271.65,39540357
2025-01-21 16:01:40.155018,269.81,271.85,267.44,268.63,45953653
2025-01-22 16:01:40.155018,266.81,267.63,262.65,264.36,40030162
2025-01-23 16:01:40.155018,263.8,267.88,260.58,265.73,14228583
2025-01-24 16:01:40.155018,262.76,263.59,259.39,260.42,97022212
2025-01-27 16:01:40.155018,258.29,265.75,256.23,258.04,83680858
2025-01-28 16:01:40.155018,255.19,258.37,254.06,255.09,8461421
2025-01-29 16:01:40.155018,268.44,271.15,268.4,269.17,5681023
2025-01-30 16:01:40.155018,261.3,263.6,259.11,261.77,32855036
2025-01-31 16:01:40.155018,256.34,257.52,252.21,257.3,37888673
2025-02-03 16:01:40.155018,253.01,255.51,250.85,254.22,54192761
2025-02-04 16:01:40.155018,252.33,252.83,251.28,251.76,25850608
2025-02-05 16:01:40.155018,258.87,261.59,257.0,257.43,34782425
2025-02-06 16:01:40.155018,254.71,256.77,254.38,256.05,98598490
2025-02-07 16:01:40.155018,247.88,249.57,245.53,248.74,60657666
2025-02-10 16:01:40.155018,257.11,260.14,255.43,256.78,56988546
2025-02-11 16:01:40.155018,256.89,259.52,254.26,258.33,42360034
2025-02-12 16:01:40.155018,261.12,263.59,259.58,260.8,59785017
2025-02-13 16:01:40.155018,264.28,266.61,264.22,264.63,32454907
2025-02-14 16:01:40.155018,255.49,259.53,251.71,257.6,93331964
2025-02-17 16:01:40.155018,258.23,265.13,251.81,257.62,79880738
2025-02-18 16:01:40.155018,261.65,264.72,261.11,262.39,37280261
2025-02-19 16:01:40.155018,260.1,261.78,257.73,258.77,2778509
2025-02-20 16:01:40.155018,260.33,260.99,258.22,260.59,29905561
2025-02-21 16:01:40.155018,262.85,266.77,262.12,263.79,39834306
2025-02-24 16:01:40.155018,255.45,257.12,253.98,255.5,23138665
2025-02-25 16:01:40.155018,251.35,254.35,247.47,249.8,81748044
