date,open,high,low,close,volume
2024-10-24 16:01:40.198754,153.12,153.47,151.22,152.6,5423236
2024-10-25 16:01:40.198754,152.1,153.61,151.73,152.01,69943076
2024-10-28 16:01:40.198754,148.5,151.53,148.25,149.32,24240452
2024-10-29 16:01:40.198754,147.6,148.67,145.09,146.78,1599531
2024-10-30 16:01:40.198754,144.76,146.73,143.34,144.83,5892841
2024-10-31 16:01:40.198754,144.77,145.3,144.2,144.57,96485964
2024-11-01 16:01:40.198754,148.91,150.41,147.79,148.17,70257125
2024-11-04 16:01:40.198754,151.58,153.14,149.2,150.91,46951711
2024-11-05 16:01:40.198754,150.2,151.19,147.5,149.39,89542813
2024-11-06 16:01:40.198754,143.19,143.41,142.67,142.69,44093339
2024-11-07 16:01:40.198754,139.99,141.71,137.36,140.46,2780068
2024-11-08 16:01:40.198754,140.94,142.25,138.02,140.97,60668123
2024-11-11 16:01:40.198754,142.68,143.44,141.28,141.73,79295672
2024-11-12 16:01:40.198754,146.61,148.74,144.62,147.61,64301499
2024-11-13 16:01:40.198754,151.51,153.11,150.4,152.37,75280106
2024-11-14 16:01:40.198754,155.52,155.64,154.67,155.1,18488069
2024-11-15 16:01:40.198754,152.86,155.14,151.91,152.93,66408168
2024-11-18 16:01:40.198754,152.63,156.58,152.21,153.92,95047915
2024-11-19 16:01:40.198754,156.25,156.72,154.85,155.71,10307459
2024-11-20 16:01:40.198754,160.7,160.81,159.26,160.34,1341201
2024-11-21 16:01:40.198754,158.98,159.81,154.22,156.91,52848387
2024-11-22 16:01:40.198754,160.22,160.24,159.08,160.06,66952013
2024-11-25 16:01:40.198754,163.94,165.42,161.01,162.22,59011322
2024-11-26 16:01:40.198754,161.23,163.42,158.53,160.45,89629309
2024-11-27 16:01:40.198754,163.61,165.71,162.96,165.16,82008756
2024-11-28 16:01:40.198754,158.46,160.73,157.82,158.44,48199644
2024-11-29 16:01:40.198754,166.2,167.19,165.85,166.25,93541795
2024-12-02 16:01:40.198754,171.11,173.27,168.77,171.19,90837121
2024-12-03 16:01:40.198754,169.76,171.47,167.47,170.49,3771270
2024-12-04 16:01:40.198754,169.63,171.01,164.91,168.95,79059035
2024-12-05 16:01:40.198754,168.57,169.73,166.21,168.86,99170170
2024-12-06 16:01:40.198754,167.1,167.96,165.85,166.12,71546357
2024-12-09 16:01:40.198754,166.19,167.88,165.16,165.34,96530759
2024-12-10 16:01:40.198754,168.19,168.86,165.13,168.4,66352201
2024-12-11 16:01:40.198754,165.32,168.15,163.39,165.83,39459170
2024-12-12 16:01:40.198754,168.87,170.99,167.33,169.34,49149507
2024-12-13 16:01:40.198754,168.48,170.35,167.57,168.46,51492500
2024-12-16 16:01:40.198754,172.89,173.77,171.71,172.61,82758693
2024-12-17 16:01:40.198754,177.52,180.46,176.72,177.91,64822355
2024-12-18 16:01:40.198754,173.72,177.41,170.79,174.08,82757382
2024-12-19 16:01:40.198754,166.44,167.98,164.38,166.2,23736991
2024-12-20 16:01:40.198754,167.71,167.75,165.96,166.85,86072991
2024-12-23 16:01:40.198754,168.04,169.82,166.44,167.84,23847358
2024-12-24 16:01:40.198754,163.39,164.91,163.17,163.41,35876976
2024-12-25 16:01:40.198754,169.77,171.77,168.04,169.57,6062744
2024-12-26 16:01:40.198754,166.75,170.52,163.49,168.26,6393330
2024-12-27 16:01:40.198754,170.49,172.14,167.78,170.69,35904986
2024-12-30 16:01:40.198754,166.94,170.34,166.74,167.99,32254161
2024-12-31 16:01:40.198754,162.15,163.93,161.96,162.59,61739069
2025-01-01 16:01:40.198754,166.11,170.81,164.73,166.87,83731531
2025-01-02 16:01:40.198754,162.78,163.77,162.06,163.54,37255771
2025-01-03 16:01:40.198754,165.61,167.57,160.88,166.43,73235562
2025-01-06 16:01:40.198754,165.36,167.08,161.91,163.46,62137360
2025-01-07 16:01:40.198754,162.66,165.29,161.68,162.71,58716834
2025-01-08 16:01:40.198754,163.15,165.39,160.48,162.18,26329955
2025-01-09 16:01:40.198754,162.74,163.03,159.2,162.12,2694713
2025-01-10 16:01:40.198754,160.43,160.94,158.9,159.88,80056468
2025-01-13 16:01:40.198754,162.92,162.94,162.03,162.47,84507170
2025-01-14 16:01:40.198754,167.66,168.75,165.26,165.92,13537434
2025-01-15 16:01:40.198754,170.86,172.31,167.46,170.49,50115436
2025-01-16 16:01:40.198754,167.36,171.66,166.89,168.86,96784477
