date,open,high,low,close,volume
2024-10-24 16:01:40.319413,77.86,79.18,77.62,77.96,58188503
2024-10-25 16:01:40.319413,77.07,78.56,76.68,77.08,14084452
2024-10-28 16:01:40.319413,72.5,72.64,71.73,72.56,48859277
2024-10-29 16:01:40.319413,71.82,72.26,71.52,71.89,65983006
2024-10-30 16:01:40.319413,70.2,70.55,69.64,69.71,56658270
2024-10-31 16:01:40.319413,70.52,71.82,69.59,70.37,35688105
2024-11-01 16:01:40.319413,70.31,70.63,70.3,70.39,89103339
2024-11-04 16:01:40.319413,72.96,73.98,72.27,72.78,91108692
2024-11-05 16:01:40.319413,75.79,76.0,73.76,75.04,83023829
2024-11-06 16:01:40.319413,75.07,78.1,75.06,75.55,4638444
2024-11-07 16:01:40.319413,75.71,76.22,75.25,76.21,20041876
2024-11-08 16:01:40.319413,75.7,76.2,75.36,76.09,40508602
2024-11-11 16:01:40.319413,74.74,75.49,73.03,75.11,62686560
2024-11-12 16:01:40.319413,74.42,74.78,74.07,74.28,15557408
2024-11-13 16:01:40.319413,73.97,75.35,72.7,74.33,4603555
2024-11-14 16:01:40.319413,75.85,76.24,74.93,76.03,46895612
2024-11-15 16:01:40.319413,75.13,76.73,74.34,75.82,57950127
2024-11-18 16:01:40.319413,77.06,77.59,75.79,76.27,40290973
2024-11-19 16:01:40.319413,77.02,77.18,76.1,77.13,4371663
2024-11-20 16:01:40.319413,77.78,78.71,77.06,77.34,18085578
2024-11-21 16:01:40.319413,74.53,75.21,74.01,74.6,54605750
2024-11-22 16:01:40.319413,78.03,78.95,77.42,77.74,79952867
2024-11-25 16:01:40.319413,77.62,77.7,76.77,77.6,35390260
2024-11-26 16:01:40.319413,78.75,79.27,77.5,78.44,85827374
2024-11-27 16:01:40.319413,79.04,79.81,78.27,78.61,7786084
2024-11-28 16:01:40.319413,74.03,75.02,73.79,74.67,81613643
2024-11-29 16:01:40.319413,74.56,75.29,73.74,74.83,71987053
2024-12-02 16:01:40.319413,72.13,72.4,70.69,72.0,4441195
2024-12-03 16:01:40.319413,70.77,71.62,70.23,70.31,20159291
2024-12-04 16:01:40.319413,71.26,72.19,70.94,71.3,20241686
2024-12-05 16:01:40.319413,71.56,72.22,71.41,71.85,77498675
2024-12-06 16:01:40.319413,71.17,71.77,70.15,71.16,52289636
2024-12-09 16:01:40.319413,69.52,69.74,67.76,69.44,81634390
2024-12-10 16:01:40.319413,69.18,70.1,68.09,69.25,99334431
2024-12-11 16:01:40.319413,69.34,69.88,68.85,68.88,99504828
2024-12-12 16:01:40.319413,68.9,70.23,68.2,69.24,71440625
2024-12-13 16:01:40.319413,70.44,71.44,69.87,70.28,91089171
2024-12-16 16:01:40.319413,70.1,70.98,68.79,70.48,80139334
2024-12-17 16:01:40.319413,71.58,72.23,71.57,71.83,73799854
2024-12-18 16:01:40.319413,72.67,73.5,71.33,72.94,56925233
2024-12-19 16:01:40.319413,73.45,73.67,71.85,73.64,92514822
2024-12-20 16:01:40.319413,71.73,73.39,70.96,71.49,27175783
2024-12-23 16:01:40.319413,69.64,70.84,69.14,70.0,45410373
2024-12-24 16:01:40.319413,71.16,71.49,69.89,70.85,28338655
2024-12-25 16:01:40.319413,69.44,69.7,69.42,69.54,8990152
2024-12-26 16:01:40.319413,69.16,69.91,68.51,68.93,74355563
2024-12-27 16:01:40.319413,70.69,71.94,69.83,70.77,19616112
2024-12-30 16:01:40.319413,71.95,72.11,69.41,71.71,75115737
2024-12-31 16:01:40.319413,72.52,73.74,71.42,72.26,35968282
2025-01-01 16:01:40.319413,71.99,73.42,71.94,72.24,67308305
2025-01-02 16:01:40.319413,74.6,74.65,73.93,73.96,66673267
2025-01-03 16:01:40.319413,74.77,75.62,73.58,75.0,24353687
2025-01-06 16:01:40.319413,75.52,77.54,74.48,75.78,8603234
2025-01-07 16:01:40.319413,72.11,72.31,72.04,72.16,47210810
2025-01-08 16:01:40.319413,72.36,72.67,70.92,72.19,11519511
2025-01-09 16:01:40.319413,70.93,71.77,70.92,71.4,5971818
2025-01-10 16:01:40.319413,70.85,71.21,70.26,70.48,24329394
2025-01-13 16:01:40.319413,71.21,71.56,70.49,71.11,88067883
2025-01-14 16:01:40.319413,72.01,72.7,71.12,71.63,59142031
2025-01-15 16:01:40.319413,73.15,73.31,72.54,73.0,34854610
2025-01-16 16:01:40.319413,73.29,73.78,72.8,73.06,31317685
2025-01-17 16:01:40.319413,71.94,73.26,71.8,71.95,19665040
2025-01-20 16:01:40.319413,70.88,71.34,69.93,70.75,80937353
2025-01-21 16:01:40.319413,74.76,74.99,74.34,74.45,92110466
2025-01-22 16:01:40.319413,76.54,76.91,75.93,76.77,49285287
2025-01-23 16:01:40.319413,76.95,77.32,76.13,76.94,53191313
2025-01-24 16:01:40.319413,74.15,75.06,73.26,74.64,83043914
2025-01-27 16:01:40.319413,74.55,75.7,73.88,74.93,70578999
2025-01-28 16:01:40.319413,76.23,76.39,75.35,76.31,18884265
2025-01-29 16:01:40.319413,77.76,78.23,76.37,77.47,5084597
2025-01-30 16:01:40.319413,78.82,79.81,76.5,78.68,8317402
2025-01-31 16:01:40.319413,81.01,81.23,80.91,80.97,19994755
2025-02-03 16:01:40.319413,80.38,80.52,79.16,80.08,72673644
2025-02-04 16:01:40.319413,79.59,80.43,78.66,79.6,96639281
2025-02-05 16:01:40.319413,81.75,83.22,81.17,81.79,65018466
2025-02-06 16:01:40.319413,79.63,80.51,78.83,79.43,70359233
2025-02-07 16:01:40.319413,80.7,80.84,79.28,80.68,79787977
2025-02-10 16:01:40.319413,81.59,84.9,80.77,82.42,70575038
2025-02-11 16:01:40.319413,82.13,82.76,81.94,82.44,33783724
2025-02-12 16:01:40.319413,82.77,82.94,81.86,82.81,39962420
2025-02-13 16:01:40.319413,83.27,83.32,82.41,82.95,28515102
2025-02-14 16:01:40.319413,84.05,84.75,82.66,84.09,15892730
2025-02-17 16:01:40.319413,79.91,80.33,79.8,79.81,18699435
2025-02-18 16:01:40.319413,82.64,82.81,82.35,82.37,67953572
2025-02-19 16:01:40.319413,80.34,80.53,79.97,80.15,80448432
2025-02-20 16:01:40.319413,78.15,79.2,77.93,78.28,93600912
2025-02-21 16:01:40.319413,76.97,77.37,75.84,76.72,92416666
2025-02-24 16:01:40.319413,77.08,77.25,76.91,76.91,48890298
2025-02-25 16:01:40.319413,76.54,77.12,75.8,76.77,79336836
2025-02-26 16:01:40.319413,75.58,75.8,75.23,75.73,68386257
2025-02-27 16:01:40.319413,75.65,76.99,75.13,75.5,43142276
2025-02-28 16:01:40.319413,75.59,75.68,75.47,75.65,74210917
2025-03-03 16:01:40.319413,74.95,75.84,74.86,75.0,30875976
2025-03-04 16:01:40.319413,74.59,75.66,73.22,73.91,72791730
2025-03-05 16:01:40.319413,75.56,76.62,74.51,75.57,33471185
2025-03-06 16:01:40.319413,72.76,73.56,72.61,72.97,57290741
2025-03-07 16:01:40.319413,72.36,72.82,71.79,72.42,36169956
2025-03-10 16:01:40.319413,73.79,74.05,73.21,73.28,24184508
2025-03-11 16:01:40.319413,73.83,75.57,73.69,74.19,8726646
2025-03-12 16:01:40.319413,75.41,75.64,75.3,75.36,26571439
2025-03-13 16:01:40.319413,75.83,76.44,75.71,76.17,6212290
2025-03-14 16:01:40.319413,76.51,77.02,75.43,75.88,12853196
2025-03-17 16:01:40.319413,74.36,75.15,73.46,73.94,70243979
2025-03-18 16:01:40.319413,74.32,74.97,73.84,74.11,91969709
2025-03-19 16:01:40.319413,74.16,75.57,73.62,74.24,74026172
2025-03-20 16:01:40.319413,74.83,75.92,73.54,74.95,84079375
2025-03-21 16:01:40.319413,73.75,74.94,73.65,73.95,27882666
2025-03-24 16:01:40.319413,73.11,74.03,72.83,73.64,35140082
2025-03-25 16:01:40.319413,72.47,73.27,71.49,73.0,82106621
2025-03-26 16:01:40.319413,71.33,72.61,71.14,71.43,50604378
2025-03-27 16:01:40.319413,72.93,72.94,71.92,72.39,7282057
2025-03-28 16:01:40.319413,72.32,73.57,72.23,72.82,32048600
2025-03-31 16:01:40.319413,74.57,75.09,74.42,74.85,71819125
2025-04-01 16:01:40.319413,78.22,78.71,78.11,78.62,51416172
2025-04-02 16:01:40.319413,78.19,78.39,76.64,78.16,98098230
2025-04-03 16:01:40.319413,79.86,80.05,78.82,79.4,73949512
2025-04-04 16:01:40.319413,80.13,81.21,79.73,79.96,52494426
2025-04-07 16:01:40.319413,79.6,79.99,78.7,79.52,74598053
2025-04-08 16:01:40.319413,79.74,79.8,78.5,79.48,48007385
2025-04-09 16:01:40.319413,78.53,80.39,78.29,78.74,3730784
2025-04-10 16:01:40.319413,78.56,80.41,77.93,78.32,98668507
2025-04-11 16:01:40.319413,77.22,79.08,76.92,77.93,96027856
2025-04-14 16:01:40.319413,78.39,78.64,77.44,78.34,49379900
2025-04-15 16:01:40.319413,76.98,77.4,75.85,76.71,95543341
2025-04-16 16:01:40.319413,75.81,76.18,75.44,76.08,67850834
2025-04-17 16:01:40.319413,73.39,73.89,72.76,73.78,29599128
2025-04-18 16:01:40.319413,73.88,74.78,72.6,73.92,28330855
2025-04-21 16:01:40.319413,73.81,74.88,73.43,73.85,63576937
2025-04-22 16:01:40.319413,77.08,77.39,74.8,76.51,35954546
2025-04-23 16:01:40.319413,77.88,79.11,77.28,77.62,84928691
2025-04-24 16:01:40.319413,77.93,79.17,76.83,77.63,89223678
2025-04-25 16:01:40.319413,76.56,76.75,74.49,75.92,70985430
2025-04-28 16:01:40.319413,73.62,73.84,72.99,73.42,77210962
2025-04-29 16:01:40.319413,70.63,71.05,69.52,70.68,84997496
2025-04-30 16:01:40.319413,72.69,74.01,72.16,72.28,13793972
2025-05-01 16:01:40.319413,71.41,72.64,70.73,72.59,33341178
2025-05-02 16:01:40.319413,74.94,75.95,74.03,74.66,47352719
2025-05-05 16:01:40.319413,77.02,77.27,76.04,77.22,72447576
2025-05-06 16:01:40.319413,77.53,78.3,76.82,77.23,18045072
2025-05-07 16:01:40.319413,78.71,78.79,78.59,78.69,47208968
2025-05-08 16:01:40.319413,81.05,81.59,80.68,80.8,27905819
2025-05-09 16:01:40.319413,79.62,80.32,78.91,79.99,40752734
2025-05-12 16:01:40.319413,81.07,81.38,80.8,80.98,95412788
2025-05-13 16:01:40.319413,85.03,86.23,84.79,84.82,72204083
2025-05-14 16:01:40.319413,81.07,82.38,80.25,81.05,74408198
2025-05-15 16:01:40.319413,78.68,80.08,78.48,79.03,11726086
2025-05-16 16:01:40.319413,78.98,80.53,78.22,79.03,13813037
2025-05-19 16:01:40.319413,79.47,79.82,78.22,78.85,91209635
2025-05-20 16:01:40.319413,73.1,74.55,71.8,73.73,81777160
2025-05-21 16:01:40.319413,72.42,73.95,72.33,73.15,24189650
2025-05-22 16:01:40.319413,71.33,72.53,71.01,71.57,83184267
2025-05-23 16:01:40.319413,73.72,74.13,73.31,73.53,66079267
2025-05-26 16:01:40.319413,74.94,76.09,74.75,75.27,74283482
2025-05-27 16:01:40.319413,75.89,77.12,75.06,75.91,46121919
2025-05-28 16:01:40.319413,78.45,78.75,78.1,78.37,67453157
2025-05-29 16:01:40.319413,80.01,80.69,79.53,80.51,79010261
2025-05-30 16:01:40.319413,84.26,84.56,84.12,84.22,61750164
2025-06-02 16:01:40.319413,85.49,85.81,84.07,85.39,91496933
2025-06-03 16:01:40.319413,85.44,86.24,84.22,85.77,77427517
2025-06-04 16:01:40.319413,87.28,87.58,86.31,87.29,46761094
2025-06-05 16:01:40.319413,85.49,86.06,85.03,85.41,46744363
2025-06-06 16:01:40.319413,86.54,87.03,85.56,86.57,18818445
2025-06-09 16:01:40.319413,84.73,85.42,83.78,85.39,65440607
2025-06-10 16:01:40.319413,86.81,88.76,85.94,86.67,30611770
2025-06-11 16:01:40.319413,86.1,86.45,85.2,85.82,92591769
2025-06-12 16:01:40.319413,82.34,82.81,80.78,81.72,94606855
2025-06-13 16:01:40.319413,84.37,85.82,83.91,83.98,77613069
2025-06-16 16:01:40.319413,82.41,82.68,81.49,82.56,52096445
2025-06-17 16:01:40.319413,80.12,81.73,79.86,80.54,78073342
2025-06-18 16:01:40.319413,81.66,82.08,80.86,81.87,60674768
2025-06-19 16:01:40.319413,82.53,83.75,81.71,82.73,55347064
2025-06-20 16:01:40.319413,84.82,85.29,84.61,85.01,68672465
2025-06-23 16:01:40.319413,84.87,86.31,83.23,85.37,87578521
2025-06-24 16:01:40.319413,85.81,86.21,85.23,85.5,39559183
2025-06-25 16:01:40.319413,84.67,86.11,83.65,84.84,64226469
2025-06-26 16:01:40.319413,84.55,85.04,84.53,84.7,5254136
2025-06-27 16:01:40.319413,84.55,85.49,83.73,84.85,16049828
2025-06-30 16:01:40.319413,83.77,84.75,82.25,83.43,84430609
2025-07-01 16:01:40.319413,83.31,83.73,81.8,82.96,23326582
2025-07-02 16:01:40.319413,83.52,84.06,82.5,82.97,63990503
2025-07-03 16:01:40.319413,82.03,83.14,81.94,81.96,47812383
2025-07-04 16:01:40.319413,82.04,83.88,80.36,83.04,33035790
2025-07-07 16:01:40.319413,83.44,84.91,82.88,83.48,42038425
2025-07-08 16:01:40.319413,81.31,82.78,80.21,81.51,14933289
2025-07-09 16:01:40.319413,79.83,80.92,79.6,79.97,32708290
2025-07-10 16:01:40.319413,81.68,83.8,79.53,80.93,62181632
2025-07-11 16:01:40.319413,81.63,81.71,80.61,81.21,1366928
2025-07-14 16:01:40.319413,80.74,81.16,80.17,80.93,16045449
2025-07-15 16:01:40.319413,81.37,81.39,80.16,80.7,90877116
2025-07-16 16:01:40.319413,83.26,84.61,83.23,83.33,26356174
2025-07-17 16:01:40.319413,81.92,82.81,81.18,82.74,93095781
2025-07-18 16:01:40.319413,84.96,86.08,83.73,85.53,3219628
2025-07-21 16:01:40.319413,82.75,84.83,81.6,83.23,37017794
2025-07-22 16:01:40.319413,83.65,84.3,81.89,83.61,78631248
2025-07-23 16:01:40.319413,85.22,87.48,84.73,86.32,79127876
2025-07-24 16:01:40.319413,85.02,85.24,84.95,85.18,68621116
2025-07-25 16:01:40.319413,83.45,84.06,81.77,83.95,94789437
2025-07-28 16:01:40.319413,82.22,82.88,81.7,82.21,32773616
2025-07-29 16:01:40.319413,81.21,81.45,81.0,81.25,79055645
2025-07-30 16:01:40.319413,82.42,82.98,82.39,82.77,24986235
2025-07-31 16:01:40.319413,80.99,82.44,80.61,81.77,71881400
2025-08-01 16:01:40.319413,84.51,85.14,83.81,84.82,91791635
2025-08-04 16:01:40.319413,86.62,88.1,85.86,86.4,71044425
2025-08-05 16:01:40.319413,88.8,90.29,87.46,88.2,20379588
2025-08-06 16:01:40.319413,89.0,89.73,88.49,89.01,45362232
2025-08-07 16:01:40.319413,87.66,87.93,86.17,87.28,12081285
2025-08-08 16:01:40.319413,88.37,89.77,87.25,87.77,35557530
2025-08-11 16:01:40.319413,90.07,90.62,88.47,90.05,63053288
2025-08-12 16:01:40.319413,92.41,92.84,91.75,91.75,16891833
2025-08-13 16:01:40.319413,90.78,91.54,89.01,90.34,82942405
2025-08-14 16:01:40.319413,89.98,91.0,89.62,89.77,90312485
2025-08-15 16:01:40.319413,87.78,88.53,86.49,86.86,83391910
2025-08-18 16:01:40.319413,86.52,86.62,85.24,86.05,95716523
2025-08-19 16:01:40.319413,85.5,87.17,84.55,85.22,48361188
2025-08-20 16:01:40.319413,85.49,86.51,83.54,85.41,41648331
2025-08-21 16:01:40.319413,85.24,85.82,84.39,85.61,51237890
2025-08-22 16:01:40.319413,84.49,84.54,83.58,84.53,75649602
2025-08-25 16:01:40.319413,83.89,84.32,83.63,83.87,27372099
2025-08-26 16:01:40.319413,81.85,84.24,81.25,82.18,92538025
2025-08-27 16:01:40.319413,79.37,80.22,79.1,79.51,17449302
2025-08-28 16:01:40.319413,77.38,78.62,76.61,77.19,20533859
2025-08-29 16:01:40.319413,74.09,74.36,73.36,73.83,17207463
2025-09-01 16:01:40.319413,76.65,77.46,76.43,76.81,91394859
2025-09-02 16:01:40.319413,75.23,76.81,75.01,75.58,64242616
2025-09-03 16:01:40.319413,77.33,78.29,76.37,77.17,3390110
2025-09-04 16:01:40.319413,77.84,79.19,77.41,77.5,28102065
2025-09-05 16:01:40.319413,75.01,75.87,74.57,75.55,22503407
2025-09-08 16:01:40.319413,72.06,72.54,71.88,72.01,9121545
2025-09-09 16:01:40.319413,71.17,72.02,70.74,71.3,75482032
2025-09-10 16:01:40.319413,72.91,73.18,71.37,72.52,87399577
2025-09-11 16:01:40.319413,73.87,73.94,71.44,72.18,89410693
2025-09-12 16:01:40.319413,70.6,71.33,69.78,71.25,45603455
2025-09-15 16:01:40.319413,72.75,73.57,71.84,72.19,49070204
2025-09-16 16:01:40.319413,74.4,75.4,73.91,74.77,35037646
2025-09-17 16:01:40.319413,74.64,74.77,74.2,74.2,36034415
2025-09-18 16:01:40.319413,75.54,76.89,75.03,75.46,33502157
2025-09-19 16:01:40.319413,75.57,75.81,75.26,75.53,58928481
2025-09-22 16:01:40.319413,74.28,74.48,73.24,74.33,15106389
2025-09-23 16:01:40.319413,74.66,75.49,73.15,75.06,18980952
2025-09-24 16:01:40.319413,76.82,77.81,75.74,76.84,18708576
2025-09-25 16:01:40.319413,76.23,76.82,76.17,76.36,18852022
2025-09-26 16:01:40.319413,77.44,77.49,75.84,76.79,77193145
2025-09-29 16:01:40.319413,72.48,73.81,72.11,72.64,52172387
2025-09-30 16:01:40.319413,72.67,72.81,71.4,72.37,30751744
2025-10-01 16:01:40.319413,71.77,72.48,71.76,71.88,46259774
