date,open,high,low,close,volume
2024-10-24 16:01:40.187041,342.15,344.26,339.42,341.69,2854591
2024-10-25 16:01:40.187041,338.5,344.29,335.68,338.45,87542629
2024-10-28 16:01:40.187041,345.08,347.28,341.92,347.03,21198548
2024-10-29 16:01:40.187041,351.29,356.7,351.27,353.36,68915078
2024-10-30 16:01:40.187041,353.16,358.64,348.27,352.35,54449867
2024-10-31 16:01:40.187041,353.62,355.97,351.09,355.56,33295715
2024-11-01 16:01:40.187041,357.36,359.07,355.22,358.6,15958975
2024-11-04 16:01:40.187041,352.46,354.6,347.2,350.84,87976450
2024-11-05 16:01:40.187041,344.07,346.37,343.42,343.77,89025370
2024-11-06 16:01:40.187041,331.29,336.03,325.41,328.75,87944507
2024-11-07 16:01:40.187041,339.63,348.39,337.27,339.81,58292222
2024-11-08 16:01:40.187041,338.65,343.13,331.05,334.91,95987206
2024-11-11 16:01:40.187041,334.78,337.88,334.72,335.09,57490177
2024-11-12 16:01:40.187041,341.2,341.29,334.21,339.17,7452041
2024-11-13 16:01:40.187041,330.67,332.23,328.15,332.06,49297552
2024-11-14 16:01:40.187041,324.93,327.38,322.17,325.99,11667003
2024-11-15 16:01:40.187041,322.22,325.33,316.16,319.51,75866496
2024-11-18 16:01:40.187041,298.77,305.86,296.77,299.81,26651105
2024-11-19 16:01:40.187041,299.13,304.78,294.89,299.45,13861645
2024-11-20 16:01:40.187041,314.32,321.44,310.17,315.36,8614160
2024-11-21 16:01:40.187041,313.53,314.61,311.49,311.77,26780862
2024-11-22 16:01:40.187041,306.55,308.98,306.32,308.41,80662625
2024-11-25 16:01:40.187041,307.98,311.1,300.01,305.98,73106047
2024-11-26 16:01:40.187041,308.54,317.52,307.43,308.16,58669042
2024-11-27 16:01:40.187041,314.58,318.78,311.76,314.28,42373432
2024-11-28 16:01:40.187041,308.54,309.03,303.31,308.63,85954216
2024-11-29 16:01:40.187041,313.81,314.61,311.46,311.86,86925303
2024-12-02 16:01:40.187041,311.0,311.97,309.54,311.35,24572312
2024-12-03 16:01:40.187041,312.36,317.0,311.17,313.48,67842219
2024-12-04 16:01:40.187041,317.51,319.73,311.27,316.69,92852509
2024-12-05 16:01:40.187041,309.89,310.45,308.47,310.02,56136957
2024-12-06 16:01:40.187041,309.53,314.84,302.16,306.52,30091028
2024-12-09 16:01:40.187041,311.15,313.8,307.31,309.73,12709148
2024-12-10 16:01:40.187041,309.38,313.66,304.02,308.85,22169987
2024-12-11 16:01:40.187041,316.62,318.21,313.13,314.36,30013665
2024-12-12 16:01:40.187041,310.63,315.76,307.1,312.9,41719784
2024-12-13 16:01:40.187041,320.92,325.12,317.69,320.02,25989072
