date,open,high,low,close,volume
2024-10-24 16:01:40.193992,95.99,96.37,93.36,95.25,69270373
2024-10-25 16:01:40.193992,90.23,90.42,90.06,90.31,54019395
2024-10-28 16:01:40.193992,91.85,93.46,91.43,91.71,97619022
2024-10-29 16:01:40.193992,91.93,93.16,91.37,92.84,98056916
2024-10-30 16:01:40.193992,95.19,95.33,94.05,95.1,92551994
2024-10-31 16:01:40.193992,95.47,95.8,94.77,95.43,19528690
2024-11-01 16:01:40.193992,94.54,96.85,93.42,95.82,79421757
2024-11-04 16:01:40.193992,97.55,98.35,97.11,97.41,96375979
2024-11-05 16:01:40.193992,96.48,97.55,95.1,97.28,98339341
2024-11-06 16:01:40.193992,95.49,96.85,94.97,95.84,75876962
2024-11-07 16:01:40.193992,97.3,97.66,96.11,96.82,49523644
2024-11-08 16:01:40.193992,94.54,95.53,94.42,94.46,4678979
2024-11-11 16:01:40.193992,94.1,95.41,93.04,94.32,39518687
2024-11-12 16:01:40.193992,91.27,92.96,89.98,91.52,93313819
2024-11-13 16:01:40.193992,90.23,91.87,89.56,90.42,46417611
2024-11-14 16:01:40.193992,89.5,90.65,88.54,89.43,10301557
2024-11-15 16:01:40.193992,87.0,88.33,85.31,87.53,13146952
2024-11-18 16:01:40.193992,90.2,90.58,89.4,89.7,41612175
2024-11-19 16:01:40.193992,91.23,92.41,91.0,91.76,79593949
2024-11-20 16:01:40.193992,93.66,94.88,92.08,94.47,80762368
2024-11-21 16:01:40.193992,94.57,95.91,93.36,94.11,42422445
2024-11-22 16:01:40.193992,93.03,94.34,92.29,93.23,26259286
2024-11-25 16:01:40.193992,94.95,95.37,94.87,94.92,97430411
2024-11-26 16:01:40.193992,95.52,96.72,93.82,95.21,68699460
2024-11-27 16:01:40.193992,95.15,96.61,94.13,95.49,41239827
2024-11-28 16:01:40.193992,90.37,90.54,89.98,90.31,10585858
2024-11-29 16:01:40.193992,92.15,92.15,91.09,91.85,41792694
2024-12-02 16:01:40.193992,93.91,95.35,91.69,93.14,99419393
