date,open,high,low,close,volume
2024-10-24 16:01:40.416780,251.13,252.11,248.0,250.85,68043829
2024-10-25 16:01:40.416780,254.53,257.82,252.6,252.89,96442081
2024-10-28 16:01:40.416780,248.94,249.95,246.87,248.53,26751137
2024-10-29 16:01:40.416780,258.25,266.12,256.74,259.58,87996307
2024-10-30 16:01:40.416780,260.31,260.36,255.07,258.51,75539666
2024-10-31 16:01:40.416780,248.73,250.34,246.68,248.93,56903876
2024-11-01 16:01:40.416780,248.48,249.61,243.56,245.53,50226431
2024-11-04 16:01:40.416780,252.6,256.16,247.07,250.45,98065516
2024-11-05 16:01:40.416780,248.12,251.9,245.56,246.36,26015166
2024-11-06 16:01:40.416780,248.0,251.8,244.48,248.57,58280878
2024-11-07 16:01:40.416780,248.5,255.28,247.22,248.13,10440640
2024-11-08 16:01:40.416780,252.16,253.29,247.79,252.33,67148102
2024-11-11 16:01:40.416780,250.71,252.44,247.17,251.58,66277548
2024-11-12 16:01:40.416780,256.34,257.13,253.96,254.69,44927107
2024-11-13 16:01:40.416780,251.5,253.71,248.49,251.64,25707501
2024-11-14 16:01:40.416780,244.64,246.05,242.12,244.24,98866810
2024-11-15 16:01:40.416780,240.05,241.87,237.73,241.79,87264608
2024-11-18 16:01:40.416780,244.47,246.87,242.02,246.35,84322501
2024-11-19 16:01:40.416780,240.16,243.72,237.48,240.28,11623062
2024-11-20 16:01:40.416780,237.33,240.28,235.27,237.58,13369167
2024-11-21 16:01:40.416780,238.1,241.07,237.07,237.15,44314990
2024-11-22 16:01:40.416780,239.33,239.78,234.56,239.69,44420395
2024-11-25 16:01:40.416780,238.21,239.44,234.42,236.59,94880651
2024-11-26 16:01:40.416780,247.5,251.3,243.49,249.44,18908916
2024-11-27 16:01:40.416780,256.32,258.3,254.77,255.29,63411667
2024-11-28 16:01:40.416780,258.12,263.97,255.84,259.43,46474817
2024-11-29 16:01:40.416780,248.91,253.32,247.09,250.83,1637512
2024-12-02 16:01:40.416780,239.93,242.57,237.0,238.89,85926664
2024-12-03 16:01:40.416780,249.35,251.59,247.61,250.71,47936666
2024-12-04 16:01:40.416780,253.04,256.15,251.5,254.88,56201012
2024-12-05 16:01:40.416780,249.22,250.7,245.84,249.55,98370890
2024-12-06 16:01:40.416780,239.41,240.2,237.82,237.89,64016173
2024-12-09 16:01:40.416780,247.7,249.05,242.52,247.29,17117598
2024-12-10 16:01:40.416780,241.11,241.97,238.36,238.98,81806187
2024-12-11 16:01:40.416780,248.01,248.48,245.07,245.81,16937228
2024-12-12 16:01:40.416780,250.31,250.6,247.97,250.13,79071766
2024-12-13 16:01:40.416780,252.88,255.72,250.05,253.06,33647652
2024-12-16 16:01:40.416780,254.1,258.38,250.1,252.08,37053932
2024-12-17 16:01:40.416780,253.27,255.48,250.21,254.95,90358514
2024-12-18 16:01:40.416780,241.48,244.92,236.45,239.82,34795061
2024-12-19 16:01:40.416780,236.93,241.43,235.79,236.96,20456959
2024-12-20 16:01:40.416780,235.79,237.42,233.18,235.39,39484360
2024-12-23 16:01:40.416780,230.36,232.54,226.09,231.28,35445712
2024-12-24 16:01:40.416780,227.49,227.98,224.61,227.97,21698516
2024-12-25 16:01:40.416780,231.51,234.24,230.09,232.84,56773272
2024-12-26 16:01:40.416780,224.36,228.68,223.92,227.4,99566551
2024-12-27 16:01:40.416780,226.11,227.66,221.32,223.74,11789759
2024-12-30 16:01:40.416780,220.9,220.95,218.79,219.51,13861688
2024-12-31 16:01:40.416780,227.7,229.49,225.1,228.0,49117871
2025-01-01 16:01:40.416780,226.44,228.95,223.12,224.2,99504942
2025-01-02 16:01:40.416780,230.44,233.07,227.35,230.97,91080077
2025-01-03 16:01:40.416780,237.08,238.67,235.81,236.28,49280989
2025-01-06 16:01:40.416780,233.24,234.66,232.76,233.32,30211286
2025-01-07 16:01:40.416780,226.38,226.8,226.07,226.61,72516358
2025-01-08 16:01:40.416780,231.81,233.48,228.41,231.22,71232519
2025-01-09 16:01:40.416780,232.75,234.92,226.98,233.5,28400363
2025-01-10 16:01:40.416780,239.05,240.52,237.76,240.01,36115826
2025-01-13 16:01:40.416780,234.48,237.45,233.04,235.19,19439600
2025-01-14 16:01:40.416780,227.28,235.42,226.01,227.83,41569486
2025-01-15 16:01:40.416780,223.13,225.21,222.46,224.07,76706174
2025-01-16 16:01:40.416780,223.14,223.3,221.5,222.6,96314303
2025-01-17 16:01:40.416780,215.99,217.09,214.14,214.46,97038126
2025-01-20 16:01:40.416780,215.25,217.22,210.32,214.6,22911550
2025-01-21 16:01:40.416780,210.29,214.62,209.08,211.7,76667372
2025-01-22 16:01:40.416780,226.71,230.78,225.67,226.55,72912427
2025-01-23 16:01:40.416780,226.93,232.07,225.46,228.12,38223130
2025-01-24 16:01:40.416780,225.25,230.69,219.79,224.11,2266291
2025-01-27 16:01:40.416780,237.22,243.46,234.01,234.67,27332990
2025-01-28 16:01:40.416780,233.86,234.65,232.87,233.37,49183057
2025-01-29 16:01:40.416780,234.42,236.5,233.1,235.73,72760986
2025-01-30 16:01:40.416780,233.57,236.56,230.25,234.59,85027485
2025-01-31 16:01:40.416780,243.18,245.02,239.47,243.97,16426000
2025-02-03 16:01:40.416780,251.25,253.65,250.43,250.64,82545417
2025-02-04 16:01:40.416780,248.62,252.94,248.49,249.22,26690511
2025-02-05 16:01:40.416780,250.27,252.61,248.4,250.84,85893215
2025-02-06 16:01:40.416780,245.46,248.21,243.43,245.22,69426103
2025-02-07 16:01:40.416780,246.1,247.3,243.48,244.2,17678989
2025-02-10 16:01:40.416780,255.38,259.95,253.92,254.81,20444462
2025-02-11 16:01:40.416780,259.82,261.04,258.89,259.79,44037886
2025-02-12 16:01:40.416780,262.71,267.25,259.91,262.04,23372114
2025-02-13 16:01:40.416780,260.62,262.28,258.7,259.21,47525148
2025-02-14 16:01:40.416780,263.74,265.6,257.87,262.8,22896065
2025-02-17 16:01:40.416780,260.04,263.25,256.39,260.91,50009149
2025-02-18 16:01:40.416780,256.26,258.7,252.34,257.26,15487846
2025-02-19 16:01:40.416780,261.24,263.32,258.92,262.91,36142141
2025-02-20 16:01:40.416780,259.28,260.06,254.2,258.53,75043734
2025-02-21 16:01:40.416780,257.65,259.89,254.15,258.09,92060738
2025-02-24 16:01:40.416780,255.49,256.19,254.6,255.11,95985005
2025-02-25 16:01:40.416780,253.91,254.81,251.54,251.98,53895664
2025-02-26 16:01:40.416780,248.32,250.96,246.17,249.57,27884253
2025-02-27 16:01:40.416780,240.31,242.25,238.83,240.63,83891615
2025-02-28 16:01:40.416780,236.98,239.35,236.25,238.35,5347113
2025-03-03 16:01:40.416780,238.66,239.57,236.6,238.03,70453063
2025-03-04 16:01:40.416780,240.66,245.37,237.37,239.09,2657119
2025-03-05 16:01:40.416780,238.71,240.63,230.34,234.69,47889513
2025-03-06 16:01:40.416780,235.86,237.8,232.13,235.19,37941946
2025-03-07 16:01:40.416780,230.81,235.53,229.69,231.01,33797132
2025-03-10 16:01:40.416780,233.42,239.13,231.88,233.48,35826587
2025-03-11 16:01:40.416780,231.64,232.2,227.52,230.83,94984576
2025-03-12 16:01:40.416780,242.29,242.49,240.8,240.97,18036526
2025-03-13 16:01:40.416780,242.52,243.2,238.73,240.95,5207882
2025-03-14 16:01:40.416780,236.94,238.94,233.83,237.12,53500369
2025-03-17 16:01:40.416780,241.01,244.54,240.1,240.34,20221503
2025-03-18 16:01:40.416780,246.22,248.01,245.55,247.31,47128519
2025-03-19 16:01:40.416780,255.1,255.46,245.8,254.04,65009711
2025-03-20 16:01:40.416780,249.37,254.48,249.03,251.48,34656659
2025-03-21 16:01:40.416780,238.86,241.02,235.4,239.9,29655663
2025-03-24 16:01:40.416780,237.08,238.93,233.75,235.11,50937446
2025-03-25 16:01:40.416780,240.34,243.07,237.01,238.29,9211525
2025-03-26 16:01:40.416780,224.65,227.23,222.1,225.25,99727401
2025-03-27 16:01:40.416780,229.15,231.8,224.91,229.01,40285952
2025-03-28 16:01:40.416780,234.69,237.16,233.13,234.5,33484795
2025-03-31 16:01:40.416780,233.13,236.26,231.86,232.44,58666643
2025-04-01 16:01:40.416780,237.23,240.8,234.46,236.01,56563258
2025-04-02 16:01:40.416780,238.85,239.34,236.58,237.21,90919451
2025-04-03 16:01:40.416780,240.65,244.2,240.06,241.89,43103831
2025-04-04 16:01:40.416780,242.69,242.95,240.79,241.55,93890841
2025-04-07 16:01:40.416780,253.0,256.38,251.92,254.65,31547392
2025-04-08 16:01:40.416780,252.08,252.17,248.9,251.64,22658258
2025-04-09 16:01:40.416780,249.17,250.95,247.95,250.9,12241746
2025-04-10 16:01:40.416780,243.81,251.43,243.41,245.11,26111545
2025-04-11 16:01:40.416780,243.32,246.1,242.13,244.51,73393634
2025-04-14 16:01:40.416780,241.69,243.67,240.42,242.33,52896750
2025-04-15 16:01:40.416780,241.27,244.54,238.91,241.46,10519190
2025-04-16 16:01:40.416780,243.63,250.2,240.41,243.26,27383582
2025-04-17 16:01:40.416780,245.19,247.84,244.25,244.73,35127676
2025-04-18 16:01:40.416780,243.52,246.97,239.72,242.96,48589100
2025-04-21 16:01:40.416780,241.26,242.69,238.64,241.73,18332408
2025-04-22 16:01:40.416780,249.45,250.2,246.83,249.21,10389483
2025-04-23 16:01:40.416780,246.63,248.68,245.51,247.01,19846947
2025-04-24 16:01:40.416780,240.42,245.15,240.36,240.91,80510021
2025-04-25 16:01:40.416780,237.3,241.9,236.66,241.01,47448266
2025-04-28 16:01:40.416780,242.33,243.44,236.29,241.04,13484244
2025-04-29 16:01:40.416780,243.06,243.31,240.21,243.3,4873614
2025-04-30 16:01:40.416780,233.81,239.0,231.13,234.5,39199157
