date,open,high,low,close,volume
2024-10-24 16:01:40.373174,59.94,60.66,59.33,59.86,1784089
2024-10-25 16:01:40.373174,62.62,63.29,62.05,62.19,69223371
2024-10-28 16:01:40.373174,64.72,66.77,63.24,65.35,72982667
2024-10-29 16:01:40.373174,62.73,63.35,61.58,62.52,62878320
2024-10-30 16:01:40.373174,63.57,63.61,62.78,63.47,74286948
2024-10-31 16:01:40.373174,60.81,60.88,60.48,60.63,16133110
2024-11-01 16:01:40.373174,60.9,61.96,59.85,60.93,91981790
2024-11-04 16:01:40.373174,57.77,58.14,57.5,57.86,55190727
2024-11-05 16:01:40.373174,57.27,57.45,55.78,56.68,21154909
2024-11-06 16:01:40.373174,56.8,57.6,56.17,56.97,15369630
2024-11-07 16:01:40.373174,58.27,58.51,57.92,58.26,8869382
2024-11-08 16:01:40.373174,60.01,60.13,58.87,59.4,85958362
2024-11-11 16:01:40.373174,60.83,61.25,59.73,60.54,50960719
2024-11-12 16:01:40.373174,59.73,61.34,59.39,60.23,74980085
2024-11-13 16:01:40.373174,59.43,60.14,58.69,59.77,72181741
2024-11-14 16:01:40.373174,60.65,61.59,59.58,60.35,16798785
2024-11-15 16:01:40.373174,60.07,60.93,59.86,60.05,49948715
2024-11-18 16:01:40.373174,60.9,61.33,59.84,60.13,85873460
2024-11-19 16:01:40.373174,60.28,60.32,59.94,60.22,8777969
2024-11-20 16:01:40.373174,61.86,62.46,61.4,61.62,88252632
2024-11-21 16:01:40.373174,61.6,62.53,61.19,61.48,29609852
2024-11-22 16:01:40.373174,62.36,62.55,60.83,61.96,20272208
2024-11-25 16:01:40.373174,62.52,62.67,60.67,61.85,41141826
2024-11-26 16:01:40.373174,59.16,60.05,58.96,59.06,88855823
2024-11-27 16:01:40.373174,60.15,61.14,59.14,59.68,2443015
2024-11-28 16:01:40.373174,58.75,59.16,58.0,58.52,81510019
2024-11-29 16:01:40.373174,58.64,58.84,57.75,58.55,56920807
2024-12-02 16:01:40.373174,58.36,58.94,58.24,58.34,84165138
2024-12-03 16:01:40.373174,58.6,59.18,58.13,58.96,67019321
2024-12-04 16:01:40.373174,57.78,58.27,56.96,57.26,58457764
2024-12-05 16:01:40.373174,59.15,59.76,59.0,59.11,32108448
2024-12-06 16:01:40.373174,59.25,60.94,59.08,59.54,25009513
2024-12-09 16:01:40.373174,59.12,60.03,58.62,59.27,26625971
2024-12-10 16:01:40.373174,59.09,59.41,59.08,59.41,6653323
2024-12-11 16:01:40.373174,61.11,62.05,60.51,60.93,43243046
2024-12-12 16:01:40.373174,61.48,61.51,60.81,61.02,10471329
2024-12-13 16:01:40.373174,60.82,62.37,60.38,61.01,7824347
2024-12-16 16:01:40.373174,60.86,62.08,59.91,61.19,44228764
2024-12-17 16:01:40.373174,61.73,62.49,61.11,62.4,46129903
2024-12-18 16:01:40.373174,61.44,62.4,60.89,61.77,74923054
2024-12-19 16:01:40.373174,61.68,62.19,61.01,62.04,71206436
2024-12-20 16:01:40.373174,62.93,63.27,61.95,62.35,17185986
2024-12-23 16:01:40.373174,62.69,63.68,62.1,63.17,47525059
2024-12-24 16:01:40.373174,64.75,64.82,64.42,64.58,28319635
2024-12-25 16:01:40.373174,64.83,65.26,64.48,64.71,21870666
2024-12-26 16:01:40.373174,64.02,64.66,63.03,64.05,77616188
2024-12-27 16:01:40.373174,64.9,65.52,64.14,65.03,24426260
2024-12-30 16:01:40.373174,63.4,64.48,62.5,62.84,58946201
2024-12-31 16:01:40.373174,61.49,62.63,60.61,61.38,59161581
2025-01-01 16:01:40.373174,59.62,60.15,59.6,60.03,18816005
2025-01-02 16:01:40.373174,59.01,59.39,58.94,59.11,84757408
2025-01-03 16:01:40.373174,57.3,57.42,57.17,57.34,59346623
2025-01-06 16:01:40.373174,58.38,59.05,57.51,58.57,42618215
2025-01-07 16:01:40.373174,58.16,58.35,57.74,58.15,12282962
2025-01-08 16:01:40.373174,56.22,56.77,55.35,55.99,39397109
2025-01-09 16:01:40.373174,54.58,55.04,54.09,54.54,82419582
2025-01-10 16:01:40.373174,55.11,55.67,54.71,54.93,91756967
2025-01-13 16:01:40.373174,53.15,53.94,52.33,53.0,51554201
2025-01-14 16:01:40.373174,53.34,54.0,52.74,53.13,88412324
2025-01-15 16:01:40.373174,53.51,54.4,52.79,53.11,36268259
2025-01-16 16:01:40.373174,52.75,53.3,52.02,52.95,61434504
2025-01-17 16:01:40.373174,52.5,53.02,51.57,52.95,49474319
2025-01-20 16:01:40.373174,51.87,52.37,51.18,51.69,84366700
2025-01-21 16:01:40.373174,51.63,51.68,51.1,51.11,96873171
2025-01-22 16:01:40.373174,49.73,50.13,49.12,49.7,5736628
2025-01-23 16:01:40.373174,48.61,49.2,48.36,48.87,16000787
2025-01-24 16:01:40.373174,48.29,48.6,47.65,48.18,63776528
2025-01-27 16:01:40.373174,47.17,48.11,47.07,47.55,31334954
2025-01-28 16:01:40.373174,47.21,47.63,46.78,47.18,56333388
2025-01-29 16:01:40.373174,47.03,47.7,46.16,47.48,82986920
2025-01-30 16:01:40.373174,47.21,47.61,46.71,47.35,56389145
2025-01-31 16:01:40.373174,47.48,47.98,46.61,46.95,47441183
2025-02-03 16:01:40.373174,45.76,46.12,45.11,46.05,44818928
2025-02-04 16:01:40.373174,45.28,45.42,45.13,45.18,14018327
2025-02-05 16:01:40.373174,45.65,45.79,45.26,45.5,35973172
2025-02-06 16:01:40.373174,44.94,45.36,44.45,45.16,3305380
2025-02-07 16:01:40.373174,45.38,45.78,44.99,45.01,6167095
2025-02-10 16:01:40.373174,46.34,47.13,46.11,46.47,38040683
2025-02-11 16:01:40.373174,45.31,46.03,44.86,45.3,88894620
2025-02-12 16:01:40.373174,44.65,45.02,44.38,44.66,49446119
