date,open,high,low,close,volume
2024-10-24 16:01:40.282404,322.57,332.49,321.09,325.48,28667200
2024-10-25 16:01:40.282404,325.72,326.79,319.68,326.29,90389807
2024-10-28 16:01:40.282404,323.07,326.21,321.51,323.05,3851491
2024-10-29 16:01:40.282404,313.84,316.52,308.66,312.82,4432603
2024-10-30 16:01:40.282404,307.35,311.62,305.78,306.45,63323208
2024-10-31 16:01:40.282404,300.31,304.21,299.53,301.48,88240690
2024-11-01 16:01:40.282404,310.62,314.2,305.59,308.41,6567539
2024-11-04 16:01:40.282404,306.42,307.74,303.6,305.48,47793493
2024-11-05 16:01:40.282404,301.39,305.49,301.29,301.52,97154987
2024-11-06 16:01:40.282404,292.17,295.81,289.72,290.8,17785284
2024-11-07 16:01:40.282404,292.36,294.57,288.55,292.48,72798093
2024-11-08 16:01:40.282404,301.16,305.14,297.37,298.61,90336190
2024-11-11 16:01:40.282404,288.53,290.5,282.81,286.62,48028646
2024-11-12 16:01:40.282404,282.97,285.79,280.73,283.87,67795731
2024-11-13 16:01:40.282404,286.48,286.69,282.36,285.19,76420630
2024-11-14 16:01:40.282404,294.32,295.78,290.36,295.63,78790253
2024-11-15 16:01:40.282404,291.46,292.03,286.66,291.37,65719121
2024-11-18 16:01:40.282404,300.09,300.73,292.12,298.93,35791686
2024-11-19 16:01:40.282404,294.16,295.35,291.35,293.97,14612740
2024-11-20 16:01:40.282404,302.12,303.28,301.95,301.97,58843251
2024-11-21 16:01:40.282404,299.06,304.98,295.02,297.19,99334273
2024-11-22 16:01:40.282404,299.43,305.61,295.49,297.3,34013504
2024-11-25 16:01:40.282404,302.52,305.92,296.5,301.38,3848784
2024-11-26 16:01:40.282404,284.5,286.87,282.0,286.26,20391336
2024-11-27 16:01:40.282404,268.88,274.29,267.07,270.35,39127052
2024-11-28 16:01:40.282404,275.05,277.73,273.68,275.64,83306376
2024-11-29 16:01:40.282404,283.12,284.69,282.33,282.47,41353786
2024-12-02 16:01:40.282404,291.86,295.83,288.36,291.13,13241016
2024-12-03 16:01:40.282404,293.93,299.75,293.9,296.06,42548491
2024-12-04 16:01:40.282404,297.92,303.26,297.44,299.41,22087790
2024-12-05 16:01:40.282404,297.68,298.77,295.32,298.09,59541720
2024-12-06 16:01:40.282404,297.05,298.22,297.0,297.07,58745849
2024-12-09 16:01:40.282404,299.32,299.72,297.21,298.79,86455435
2024-12-10 16:01:40.282404,287.1,291.54,283.41,286.11,95430381
2024-12-11 16:01:40.282404,288.53,290.96,282.8,287.14,53360867
2024-12-12 16:01:40.282404,287.41,288.32,285.56,288.26,26288231
2024-12-13 16:01:40.282404,288.74,296.5,286.74,289.1,11137567
2024-12-16 16:01:40.282404,276.14,280.36,273.21,276.88,33079463
2024-12-17 16:01:40.282404,279.56,281.43,274.81,279.29,71465279
2024-12-18 16:01:40.282404,272.72,273.96,268.34,273.61,68181095
2024-12-19 16:01:40.282404,275.52,279.04,274.59,276.0,90769473
2024-12-20 16:01:40.282404,288.52,294.41,282.4,286.12,83446064
2024-12-23 16:01:40.282404,287.53,295.53,283.94,286.53,98889547
2024-12-24 16:01:40.282404,283.2,286.35,278.9,282.4,97634803
2024-12-25 16:01:40.282404,273.38,274.22,273.09,273.47,24970476
2024-12-26 16:01:40.282404,277.01,277.46,271.2,275.54,44533928
2024-12-27 16:01:40.282404,276.63,278.34,276.2,276.28,39555282
2024-12-30 16:01:40.282404,275.14,277.39,272.44,274.39,72320174
2024-12-31 16:01:40.282404,273.86,274.36,269.37,271.87,83157842
2025-01-01 16:01:40.282404,270.46,273.44,267.66,270.91,72909081
2025-01-02 16:01:40.282404,266.14,268.6,265.48,267.72,66141076
2025-01-03 16:01:40.282404,263.71,266.69,260.89,262.67,96915349
2025-01-06 16:01:40.282404,258.47,262.37,253.47,259.07,50957668
2025-01-07 16:01:40.282404,264.16,268.25,260.12,263.57,57584294
2025-01-08 16:01:40.282404,256.54,261.39,255.22,256.17,59453387
2025-01-09 16:01:40.282404,260.51,261.59,256.84,258.89,85496339
2025-01-10 16:01:40.282404,259.41,261.24,256.97,260.13,39502131
2025-01-13 16:01:40.282404,259.74,265.58,258.21,259.09,36288568
2025-01-14 16:01:40.282404,258.86,260.91,254.0,258.36,1154118
2025-01-15 16:01:40.282404,259.73,260.29,256.58,258.36,65907966
2025-01-16 16:01:40.282404,252.87,262.44,252.2,254.43,2184482
2025-01-17 16:01:40.282404,248.7,251.26,244.5,247.55,54284235
2025-01-20 16:01:40.282404,253.72,253.92,247.73,251.48,32548319
2025-01-21 16:01:40.282404,245.73,247.22,244.42,245.84,93363964
2025-01-22 16:01:40.282404,249.5,252.0,246.85,248.9,50196440
2025-01-23 16:01:40.282404,251.78,258.04,249.47,252.69,23102215
2025-01-24 16:01:40.282404,246.29,247.27,243.84,246.47,4277134
2025-01-27 16:01:40.282404,253.09,253.14,249.52,251.06,70036840
2025-01-28 16:01:40.282404,241.94,245.89,236.54,239.96,79669263
2025-01-29 16:01:40.282404,246.44,247.08,241.15,245.57,71668678
2025-01-30 16:01:40.282404,242.64,243.27,239.86,242.97,80714158
2025-01-31 16:01:40.282404,247.11,249.07,246.04,247.27,89927974
2025-02-03 16:01:40.282404,247.76,251.41,246.42,249.3,60493095
2025-02-04 16:01:40.282404,250.95,257.38,249.33,252.6,82180335
2025-02-05 16:01:40.282404,246.54,249.58,243.71,246.06,45695128
2025-02-06 16:01:40.282404,259.45,262.43,259.38,259.68,87521277
2025-02-07 16:01:40.282404,266.49,269.24,260.78,264.75,60466308
2025-02-10 16:01:40.282404,267.62,271.07,267.02,271.0,71014557
2025-02-11 16:01:40.282404,277.95,280.94,276.66,277.09,68359553
2025-02-12 16:01:40.282404,281.13,281.14,277.72,279.43,37795064
2025-02-13 16:01:40.282404,281.79,286.11,273.19,281.22,82614059
2025-02-14 16:01:40.282404,284.75,287.6,283.11,286.54,65184563
2025-02-17 16:01:40.282404,283.9,286.72,281.12,285.4,51009833
2025-02-18 16:01:40.282404,279.78,285.18,279.44,280.78,67068897
2025-02-19 16:01:40.282404,285.93,287.34,283.69,286.91,59454861
2025-02-20 16:01:40.282404,283.87,286.01,280.1,284.52,19513353
2025-02-21 16:01:40.282404,280.77,285.5,279.75,281.86,58689894
2025-02-24 16:01:40.282404,267.05,267.94,265.6,267.31,51355961
2025-02-25 16:01:40.282404,271.02,273.04,269.11,271.02,69043604
2025-02-26 16:01:40.282404,271.28,271.32,268.16,270.51,58673143
2025-02-27 16:01:40.282404,273.13,274.89,268.94,273.69,94277046
2025-02-28 16:01:40.282404,271.74,274.2,269.58,274.0,10213422
2025-03-03 16:01:40.282404,280.21,280.84,277.73,279.62,2127844
2025-03-04 16:01:40.282404,279.58,283.33,278.29,281.36,19209463
2025-03-05 16:01:40.282404,286.63,287.86,285.63,286.88,3179110
2025-03-06 16:01:40.282404,290.2,294.22,286.5,291.31,62005310
