date,open,high,low,close,volume
2024-10-24 16:01:40.264009,250.25,251.71,247.88,248.41,51453316
2024-10-25 16:01:40.264009,251.03,254.0,247.87,252.24,12372300
2024-10-28 16:01:40.264009,254.43,259.46,253.29,255.91,25352737
2024-10-29 16:01:40.264009,257.8,259.32,254.83,255.6,68497236
2024-10-30 16:01:40.264009,257.85,258.69,256.91,257.67,31815604
2024-10-31 16:01:40.264009,255.38,255.76,251.92,254.44,60609655
2024-11-01 16:01:40.264009,245.39,249.72,243.43,246.67,28238723
2024-11-04 16:01:40.264009,247.28,251.64,246.93,248.02,4496542
2024-11-05 16:01:40.264009,258.73,265.36,254.98,256.72,89569544
2024-11-06 16:01:40.264009,252.14,255.77,251.81,254.64,46552089
2024-11-07 16:01:40.264009,258.0,262.23,256.2,257.66,62601100
2024-11-08 16:01:40.264009,254.34,256.42,247.49,252.74,67737464
2024-11-11 16:01:40.264009,255.23,258.19,252.94,257.51,1319468
2024-11-12 16:01:40.264009,255.99,256.96,253.48,255.96,88366579
2024-11-13 16:01:40.264009,260.91,267.91,257.73,263.9,92421550
2024-11-14 16:01:40.264009,259.83,260.2,257.74,260.07,81170829
2024-11-15 16:01:40.264009,270.38,271.29,269.72,269.99,88767724
2024-11-18 16:01:40.264009,276.7,279.19,272.37,276.37,7666020
2024-11-19 16:01:40.264009,274.07,277.68,271.17,272.64,73967647
2024-11-20 16:01:40.264009,269.09,270.38,268.61,268.86,2035662
2024-11-21 16:01:40.264009,265.96,268.85,265.63,265.69,54951673
2024-11-22 16:01:40.264009,274.03,277.33,268.25,273.46,74986586
2024-11-25 16:01:40.264009,264.46,268.07,263.92,264.91,16570000
2024-11-26 16:01:40.264009,267.33,271.78,263.18,267.27,89009441
2024-11-27 16:01:40.264009,256.32,260.92,255.11,257.95,76967578
2024-11-28 16:01:40.264009,254.4,255.19,248.98,249.91,56249370
2024-11-29 16:01:40.264009,241.78,247.63,237.77,241.24,16184007
2024-12-02 16:01:40.264009,237.15,241.41,235.31,238.0,99998831
2024-12-03 16:01:40.264009,234.43,234.62,229.95,232.66,73025625
2024-12-04 16:01:40.264009,230.33,232.12,227.34,228.02,28657445
2024-12-05 16:01:40.264009,223.39,225.21,218.52,224.01,9891656
2024-12-06 16:01:40.264009,222.72,224.87,218.13,223.43,78514187
2024-12-09 16:01:40.264009,221.61,223.98,218.94,219.58,71239118
2024-12-10 16:01:40.264009,214.31,216.3,211.49,215.48,53738187
2024-12-11 16:01:40.264009,227.41,229.31,226.23,226.82,54964632
2024-12-12 16:01:40.264009,224.12,228.72,220.88,224.42,21092448
2024-12-13 16:01:40.264009,215.66,216.19,214.52,214.61,21506729
2024-12-16 16:01:40.264009,219.8,224.29,217.56,219.01,73608235
2024-12-17 16:01:40.264009,217.36,218.66,216.36,217.12,99804099
2024-12-18 16:01:40.264009,213.44,214.95,212.8,213.06,63897668
2024-12-19 16:01:40.264009,207.64,210.68,207.06,208.63,88578548
2024-12-20 16:01:40.264009,211.32,212.5,210.35,211.28,84623149
2024-12-23 16:01:40.264009,212.67,217.94,212.5,212.69,47529836
2024-12-24 16:01:40.264009,209.42,210.64,208.85,210.05,58549635
2024-12-25 16:01:40.264009,210.61,215.41,209.35,211.26,70170706
2024-12-26 16:01:40.264009,211.49,213.16,209.5,212.33,65942571
2024-12-27 16:01:40.264009,214.89,217.23,211.45,213.9,44314700
2024-12-30 16:01:40.264009,209.61,211.04,207.38,209.51,24829634
2024-12-31 16:01:40.264009,212.1,216.93,210.23,213.19,19059012
2025-01-01 16:01:40.264009,210.03,212.14,204.62,209.13,6095694
2025-01-02 16:01:40.264009,210.6,210.76,207.02,209.41,72279834
2025-01-03 16:01:40.264009,207.46,208.84,206.06,207.78,25305619
2025-01-06 16:01:40.264009,207.36,210.01,205.68,208.07,72730686
2025-01-07 16:01:40.264009,215.42,216.59,213.75,213.97,13096296
2025-01-08 16:01:40.264009,216.56,217.12,214.59,214.62,63469921
2025-01-09 16:01:40.264009,220.58,226.48,214.45,219.27,39168336
2025-01-10 16:01:40.264009,220.22,220.75,217.2,220.29,89268038
2025-01-13 16:01:40.264009,228.85,230.27,227.24,229.69,82795115
2025-01-14 16:01:40.264009,229.93,233.17,229.24,232.25,88385636
2025-01-15 16:01:40.264009,226.52,231.34,223.22,225.15,97702379
2025-01-16 16:01:40.264009,218.97,221.92,216.39,220.62,16805815
2025-01-17 16:01:40.264009,216.26,218.24,213.8,217.2,46160228
2025-01-20 16:01:40.264009,215.35,219.46,215.34,215.83,48457249
2025-01-21 16:01:40.264009,213.4,219.0,211.81,212.79,66761794
2025-01-22 16:01:40.264009,203.41,208.2,200.11,206.25,95240766
2025-01-23 16:01:40.264009,206.12,206.14,203.3,206.03,18990245
2025-01-24 16:01:40.264009,198.26,201.32,194.49,196.57,15258529
2025-01-27 16:01:40.264009,203.61,204.9,202.0,204.27,97682338
2025-01-28 16:01:40.264009,204.66,205.76,202.55,203.93,15329662
2025-01-29 16:01:40.264009,210.91,215.67,210.46,211.42,75586707
2025-01-30 16:01:40.264009,207.35,212.15,206.06,207.06,13362737
2025-01-31 16:01:40.264009,206.45,206.68,206.38,206.6,47866320
2025-02-03 16:01:40.264009,210.07,212.45,207.21,211.14,96883870
2025-02-04 16:01:40.264009,220.81,222.59,219.23,220.27,98746934
2025-02-05 16:01:40.264009,223.4,228.57,221.5,223.13,76357904
2025-02-06 16:01:40.264009,217.14,217.51,215.85,217.08,64113417
2025-02-07 16:01:40.264009,218.66,221.03,213.89,217.03,77279254
2025-02-10 16:01:40.264009,211.58,212.55,209.68,211.67,10218077
2025-02-11 16:01:40.264009,216.61,219.58,215.0,216.22,21390692
2025-02-12 16:01:40.264009,217.88,218.76,213.27,218.66,92104939
2025-02-13 16:01:40.264009,224.54,224.69,220.25,223.76,15197373
2025-02-14 16:01:40.264009,225.22,227.02,222.37,226.57,81782145
2025-02-17 16:01:40.264009,228.48,231.33,227.01,228.35,36809192
2025-02-18 16:01:40.264009,221.44,223.27,221.2,221.95,33870203
2025-02-19 16:01:40.264009,220.96,224.88,219.98,220.49,10446398
2025-02-20 16:01:40.264009,223.14,224.37,222.93,224.02,53161477
2025-02-21 16:01:40.264009,220.52,222.62,218.25,220.01,9878182
2025-02-24 16:01:40.264009,214.52,215.99,212.44,214.51,10387148
2025-02-25 16:01:40.264009,219.98,220.64,215.72,218.51,46867752
2025-02-26 16:01:40.264009,216.83,220.11,214.93,218.75,36236151
2025-02-27 16:01:40.264009,223.15,226.9,221.06,224.21,76630871
2025-02-28 16:01:40.264009,222.3,223.8,221.3,222.94,43383618
2025-03-03 16:01:40.264009,224.22,229.19,223.77,223.93,24584284
2025-03-04 16:01:40.264009,223.39,224.05,222.38,222.93,84525719
2025-03-05 16:01:40.264009,224.89,227.18,223.14,224.25,23113222
2025-03-06 16:01:40.264009,234.54,234.59,232.41,234.29,33464437
2025-03-07 16:01:40.264009,240.72,243.62,240.23,240.78,18331859
2025-03-10 16:01:40.264009,245.99,246.89,245.66,246.64,12276878
2025-03-11 16:01:40.264009,242.25,242.98,239.31,241.33,41817352
2025-03-12 16:01:40.264009,238.69,246.18,237.43,239.62,59339128
2025-03-13 16:01:40.264009,240.65,245.95,238.98,240.17,98212542
2025-03-14 16:01:40.264009,238.23,239.41,236.18,238.02,40623479
2025-03-17 16:01:40.264009,240.29,243.45,238.97,242.18,85258879
2025-03-18 16:01:40.264009,246.32,248.74,245.25,245.82,53450498
2025-03-19 16:01:40.264009,241.62,244.21,237.21,238.48,5655374
2025-03-20 16:01:40.264009,240.11,240.23,237.26,237.71,8315658
2025-03-21 16:01:40.264009,231.75,232.25,229.15,230.45,86088855
2025-03-24 16:01:40.264009,226.48,227.39,221.95,225.78,98217221
2025-03-25 16:01:40.264009,227.65,231.03,226.64,228.94,2814420
