date,open,high,low,close,volume
2024-10-24 16:01:40.309994,102.13,104.68,101.83,102.31,46881639
2024-10-25 16:01:40.309994,100.72,101.33,100.53,101.31,55165730
2024-10-28 16:01:40.309994,100.78,101.6,98.72,100.18,26667701
2024-10-29 16:01:40.309994,103.17,104.22,102.43,102.64,91927865
2024-10-30 16:01:40.309994,105.15,106.21,104.68,104.83,94254715
2024-10-31 16:01:40.309994,107.46,108.04,106.11,106.92,72136933
2024-11-01 16:01:40.309994,107.01,107.61,106.36,107.24,22252448
2024-11-04 16:01:40.309994,110.41,111.06,109.46,110.65,44803619
2024-11-05 16:01:40.309994,108.97,110.0,107.42,108.75,36478615
2024-11-06 16:01:40.309994,108.51,109.54,106.67,108.09,23237737
2024-11-07 16:01:40.309994,112.57,113.92,110.5,112.37,49358160
2024-11-08 16:01:40.309994,112.81,113.41,111.48,112.64,3267189
2024-11-11 16:01:40.309994,116.12,117.51,114.47,115.91,87871921
2024-11-12 16:01:40.309994,115.35,115.64,114.29,114.79,71663434
2024-11-13 16:01:40.309994,115.76,115.93,115.11,115.13,25042721
2024-11-14 16:01:40.309994,117.74,118.55,117.2,117.87,45992401
2024-11-15 16:01:40.309994,121.79,123.36,120.98,121.41,31592468
2024-11-18 16:01:40.309994,119.93,123.27,118.96,121.21,95025362
2024-11-19 16:01:40.309994,116.64,118.25,115.39,117.61,51320866
2024-11-20 16:01:40.309994,115.1,117.29,114.96,115.3,15456402
2024-11-21 16:01:40.309994,113.98,114.58,113.98,114.35,21759091
2024-11-22 16:01:40.309994,116.59,117.25,114.85,115.57,76018534
2024-11-25 16:01:40.309994,113.5,114.61,112.3,113.67,14966907
2024-11-26 16:01:40.309994,115.07,115.55,114.81,114.86,86576258
2024-11-27 16:01:40.309994,115.75,117.32,115.37,115.63,78032636
2024-11-28 16:01:40.309994,113.68,115.31,113.36,114.48,29380071
2024-11-29 16:01:40.309994,110.01,112.4,108.57,109.85,8197593
2024-12-02 16:01:40.309994,111.12,111.13,110.69,111.1,10371837
2024-12-03 16:01:40.309994,107.9,107.96,106.75,107.06,72439655
2024-12-04 16:01:40.309994,108.8,109.46,106.64,109.1,99151746
2024-12-05 16:01:40.309994,114.8,116.48,112.97,114.45,58872454
2024-12-06 16:01:40.309994,114.86,116.21,111.88,114.53,7437499
2024-12-09 16:01:40.309994,112.79,114.67,110.62,113.27,22495298
2024-12-10 16:01:40.309994,115.78,118.9,114.29,117.15,72195476
2024-12-11 16:01:40.309994,116.5,116.8,115.89,116.48,54056754
2024-12-12 16:01:40.309994,117.92,119.43,116.04,117.19,74225700
2024-12-13 16:01:40.309994,119.14,121.26,116.9,118.95,93998187
2024-12-16 16:01:40.309994,117.43,118.46,114.51,116.89,24486537
2024-12-17 16:01:40.309994,120.52,121.13,119.82,120.9,93041066
2024-12-18 16:01:40.309994,124.47,124.78,122.79,123.99,5216286
2024-12-19 16:01:40.309994,129.14,131.81,126.6,130.31,94525600
2024-12-20 16:01:40.309994,132.4,133.43,129.88,132.02,98777427
2024-12-23 16:01:40.309994,129.99,131.31,129.06,131.08,88889867
2024-12-24 16:01:40.309994,128.01,130.79,127.04,127.63,80841693
2024-12-25 16:01:40.309994,127.67,128.44,124.08,128.03,73377953
2024-12-26 16:01:40.309994,128.89,130.06,128.2,128.35,18949768
