date,open,high,low,close,volume
2024-10-24 16:01:40.405376,261.84,264.51,258.11,261.91,36971811
2024-10-25 16:01:40.405376,265.1,267.24,261.73,264.02,8997029
2024-10-28 16:01:40.405376,270.82,272.62,268.52,269.48,94361022
2024-10-29 16:01:40.405376,266.97,270.24,262.31,267.46,85468982
2024-10-30 16:01:40.405376,258.22,259.83,255.86,259.41,41665853
2024-10-31 16:01:40.405376,261.97,263.48,258.44,260.69,27792343
2024-11-01 16:01:40.405376,258.39,260.93,254.49,259.31,54515105
2024-11-04 16:01:40.405376,255.49,257.35,250.74,256.65,8670881
2024-11-05 16:01:40.405376,257.74,261.17,255.97,259.26,69939707
2024-11-06 16:01:40.405376,260.48,263.43,256.69,262.03,71811577
2024-11-07 16:01:40.405376,272.43,277.88,266.69,269.08,46365575
2024-11-08 16:01:40.405376,274.3,274.42,267.11,274.2,54406864
2024-11-11 16:01:40.405376,278.34,280.14,277.25,278.92,17267695
2024-11-12 16:01:40.405376,274.72,279.14,272.26,276.95,4121958
2024-11-13 16:01:40.405376,270.17,274.47,268.02,270.86,61132314
2024-11-14 16:01:40.405376,269.99,270.82,266.22,267.42,24053406
2024-11-15 16:01:40.405376,258.64,262.64,256.76,259.49,4105365
2024-11-18 16:01:40.405376,259.51,260.55,255.89,259.38,96459895
2024-11-19 16:01:40.405376,249.01,252.11,248.49,249.52,18998082
2024-11-20 16:01:40.405376,258.28,259.58,255.82,256.65,67006403
2024-11-21 16:01:40.405376,259.08,262.48,256.68,259.37,98571095
2024-11-22 16:01:40.405376,263.63,265.73,261.29,262.12,49120401
2024-11-25 16:01:40.405376,273.76,277.37,269.5,275.1,71897315
2024-11-26 16:01:40.405376,273.25,277.36,271.79,272.93,41182114
2024-11-27 16:01:40.405376,262.29,266.19,257.47,264.98,34557779
2024-11-28 16:01:40.405376,269.83,270.99,269.08,269.71,89027977
2024-11-29 16:01:40.405376,268.78,269.52,265.97,268.31,79397250
2024-12-02 16:01:40.405376,260.51,263.87,259.23,260.78,78218431
2024-12-03 16:01:40.405376,271.25,272.88,268.22,269.73,47716106
2024-12-04 16:01:40.405376,275.66,277.12,272.89,276.21,75953964
2024-12-05 16:01:40.405376,285.54,286.08,280.8,284.79,9768307
2024-12-06 16:01:40.405376,282.69,284.39,280.55,281.79,89478702
2024-12-09 16:01:40.405376,277.52,279.08,276.75,279.01,34142842
2024-12-10 16:01:40.405376,287.78,288.56,282.63,285.77,80800284
2024-12-11 16:01:40.405376,282.98,284.27,281.43,282.33,19141648
2024-12-12 16:01:40.405376,280.56,284.61,279.47,280.6,47508047
2024-12-13 16:01:40.405376,284.82,288.23,279.76,283.93,14559308
2024-12-16 16:01:40.405376,292.93,298.11,289.9,294.63,57557495
2024-12-17 16:01:40.405376,278.71,283.38,277.4,279.67,92072010
2024-12-18 16:01:40.405376,278.25,279.92,277.52,277.55,1513636
2024-12-19 16:01:40.405376,270.11,273.5,265.27,271.67,88080268
2024-12-20 16:01:40.405376,277.39,283.17,271.04,277.4,90037140
2024-12-23 16:01:40.405376,273.03,273.06,265.37,269.66,76964740
2024-12-24 16:01:40.405376,273.84,275.41,269.44,272.51,68712414
2024-12-25 16:01:40.405376,260.46,264.69,259.74,260.45,63059059
2024-12-26 16:01:40.405376,263.45,265.97,260.56,265.13,92118413
2024-12-27 16:01:40.405376,271.4,271.73,270.06,270.44,29287750
2024-12-30 16:01:40.405376,271.11,272.65,269.2,270.94,78646797
2024-12-31 16:01:40.405376,261.82,265.04,257.91,260.84,3976333
2025-01-01 16:01:40.405376,262.02,262.18,260.77,261.86,20192604
2025-01-02 16:01:40.405376,263.32,263.41,262.72,262.88,66050866
2025-01-03 16:01:40.405376,263.41,265.67,259.81,263.48,88120336
2025-01-06 16:01:40.405376,269.42,271.82,266.19,267.24,39554151
2025-01-07 16:01:40.405376,258.03,259.53,257.26,257.8,67601145
2025-01-08 16:01:40.405376,263.65,263.9,258.2,263.3,8070529
2025-01-09 16:01:40.405376,269.72,271.88,266.74,270.11,40799885
2025-01-10 16:01:40.405376,255.52,261.16,251.69,257.33,79165231
2025-01-13 16:01:40.405376,249.95,250.03,243.05,247.97,99305930
2025-01-14 16:01:40.405376,247.48,248.3,243.09,247.96,73952793
2025-01-15 16:01:40.405376,241.51,242.1,236.27,240.81,57625761
2025-01-16 16:01:40.405376,244.93,247.43,243.21,243.47,13904464
2025-01-17 16:01:40.405376,246.56,247.05,243.3,246.73,64316483
2025-01-20 16:01:40.405376,252.36,254.26,249.4,250.46,52612587
2025-01-21 16:01:40.405376,239.74,241.14,237.34,240.5,37614061
2025-01-22 16:01:40.405376,234.87,239.21,233.43,237.19,96768517
2025-01-23 16:01:40.405376,236.01,241.26,234.91,236.91,98180070
2025-01-24 16:01:40.405376,230.42,230.8,228.05,230.03,23920133
2025-01-27 16:01:40.405376,226.56,228.56,224.47,226.46,50606668
2025-01-28 16:01:40.405376,228.11,228.93,225.62,227.53,45527364
2025-01-29 16:01:40.405376,226.25,229.07,224.79,226.79,39290640
2025-01-30 16:01:40.405376,227.31,231.52,225.06,230.06,8882573
2025-01-31 16:01:40.405376,221.07,222.5,216.43,220.82,26004758
2025-02-03 16:01:40.405376,221.98,222.35,219.53,221.58,11651556
2025-02-04 16:01:40.405376,221.02,221.91,218.71,220.64,94420192
2025-02-05 16:01:40.405376,219.84,220.79,217.64,220.19,2839009
2025-02-06 16:01:40.405376,219.03,221.09,215.55,218.86,11285024
2025-02-07 16:01:40.405376,215.79,215.95,212.75,215.73,71738815
2025-02-10 16:01:40.405376,214.37,214.96,213.98,214.31,88373510
2025-02-11 16:01:40.405376,213.25,217.55,211.3,212.5,98862928
2025-02-12 16:01:40.405376,206.56,208.44,205.1,208.15,41370543
2025-02-13 16:01:40.405376,208.25,209.38,208.07,208.52,93529386
2025-02-14 16:01:40.405376,210.66,213.49,210.05,210.14,97568550
