date,open,high,low,close,volume
2024-10-24 16:01:40.259285,281.28,284.97,277.19,283.04,21025453
2024-10-25 16:01:40.259285,282.85,284.04,276.64,282.87,79420344
2024-10-28 16:01:40.259285,290.43,291.88,285.23,289.99,11948190
2024-10-29 16:01:40.259285,296.25,300.71,295.44,299.4,37976576
2024-10-30 16:01:40.259285,303.61,305.1,301.39,302.14,90001724
2024-10-31 16:01:40.259285,305.59,307.58,305.09,306.06,55214380
2024-11-01 16:01:40.259285,293.94,303.49,293.62,298.39,89965493
2024-11-04 16:01:40.259285,296.03,299.69,290.01,296.56,48939199
2024-11-05 16:01:40.259285,297.21,297.57,294.74,295.63,2146650
2024-11-06 16:01:40.259285,290.91,294.93,289.33,292.34,90651900
2024-11-07 16:01:40.259285,301.64,308.07,297.22,304.05,21206632
2024-11-08 16:01:40.259285,303.2,306.34,302.26,305.64,18378246
2024-11-11 16:01:40.259285,303.9,305.08,298.27,304.51,23510651
2024-11-12 16:01:40.259285,296.9,298.33,295.06,295.73,23245866
2024-11-13 16:01:40.259285,300.88,305.79,300.24,300.38,92578846
2024-11-14 16:01:40.259285,300.74,305.84,296.99,303.83,40108252
2024-11-15 16:01:40.259285,298.21,304.92,297.97,299.22,74061226
2024-11-18 16:01:40.259285,296.88,305.35,291.35,295.9,86403124
2024-11-19 16:01:40.259285,290.53,296.73,288.61,292.15,37154562
2024-11-20 16:01:40.259285,293.24,294.78,289.55,293.9,44207978
2024-11-21 16:01:40.259285,289.01,297.26,286.12,291.32,56051250
2024-11-22 16:01:40.259285,284.28,287.03,282.12,284.45,8379174
2024-11-25 16:01:40.259285,296.98,301.9,292.83,296.64,9129997
2024-11-26 16:01:40.259285,300.7,301.34,295.57,298.13,68942611
2024-11-27 16:01:40.259285,290.02,294.69,288.83,289.91,27979853
2024-11-28 16:01:40.259285,282.37,285.33,281.89,281.97,99071834
2024-11-29 16:01:40.259285,286.88,289.46,281.9,286.64,2938638
2024-12-02 16:01:40.259285,279.44,281.5,278.85,280.12,37121881
2024-12-03 16:01:40.259285,276.22,276.98,273.2,276.09,30639950
2024-12-04 16:01:40.259285,270.83,271.62,267.71,268.49,45782942
2024-12-05 16:01:40.259285,263.84,265.24,261.07,264.34,32618954
2024-12-06 16:01:40.259285,267.09,273.27,263.3,268.68,35391437
2024-12-09 16:01:40.259285,269.3,271.43,264.52,268.61,15682883
2024-12-10 16:01:40.259285,263.31,267.44,260.1,264.92,61907234
2024-12-11 16:01:40.259285,256.81,257.29,254.98,255.68,67965283
2024-12-12 16:01:40.259285,247.45,249.6,246.41,249.08,24961905
2024-12-13 16:01:40.259285,248.49,249.21,244.71,246.37,79580767
2024-12-16 16:01:40.259285,246.85,246.93,243.06,246.52,12620685
2024-12-17 16:01:40.259285,248.48,252.51,246.33,249.12,99548467
2024-12-18 16:01:40.259285,243.31,243.55,240.36,242.64,96033274
2024-12-19 16:01:40.259285,245.37,248.06,241.72,244.77,14900738
2024-12-20 16:01:40.259285,246.88,247.34,243.91,246.33,18467684
2024-12-23 16:01:40.259285,247.62,247.96,247.5,247.63,4196848
2024-12-24 16:01:40.259285,236.64,242.4,236.11,236.96,11833315
2024-12-25 16:01:40.259285,239.19,241.39,235.99,237.55,78518769
2024-12-26 16:01:40.259285,235.39,237.36,234.98,235.7,38267187
2024-12-27 16:01:40.259285,234.13,235.13,232.39,234.63,57985076
2024-12-30 16:01:40.259285,244.43,247.66,242.57,243.91,17849781
2024-12-31 16:01:40.259285,235.52,238.74,231.77,235.17,32162987
2025-01-01 16:01:40.259285,244.34,248.05,243.54,245.68,64379709
2025-01-02 16:01:40.259285,234.26,237.03,230.66,232.42,83011262
2025-01-03 16:01:40.259285,229.32,232.37,228.15,230.86,9444131
2025-01-06 16:01:40.259285,232.08,236.42,230.89,233.67,11239281
2025-01-07 16:01:40.259285,230.03,230.46,224.72,228.0,35477264
2025-01-08 16:01:40.259285,229.36,229.84,224.21,229.44,42264380
2025-01-09 16:01:40.259285,226.0,228.82,225.48,225.74,38986045
2025-01-10 16:01:40.259285,226.31,228.92,226.01,226.96,14731470
2025-01-13 16:01:40.259285,225.86,226.87,224.38,226.2,85511034
2025-01-14 16:01:40.259285,226.64,227.82,223.68,225.4,18506906
2025-01-15 16:01:40.259285,233.67,234.25,231.28,232.97,11723969
2025-01-16 16:01:40.259285,238.91,239.05,234.22,238.28,1670296
2025-01-17 16:01:40.259285,233.78,238.97,232.11,235.18,51243911
2025-01-20 16:01:40.259285,238.34,243.23,237.09,238.58,72974846
2025-01-21 16:01:40.259285,240.33,240.96,238.47,239.51,35104585
2025-01-22 16:01:40.259285,232.95,235.44,232.41,235.24,80599289
2025-01-23 16:01:40.259285,232.41,234.17,229.4,233.44,86150065
2025-01-24 16:01:40.259285,239.02,243.35,236.12,238.11,46401575
2025-01-27 16:01:40.259285,232.07,233.69,230.95,233.36,80312802
2025-01-28 16:01:40.259285,230.72,234.76,227.16,231.45,9014073
2025-01-29 16:01:40.259285,237.27,238.34,232.77,236.04,48856719
2025-01-30 16:01:40.259285,241.87,242.94,237.84,241.27,3313936
2025-01-31 16:01:40.259285,243.1,244.27,241.36,242.2,57079411
2025-02-03 16:01:40.259285,238.92,239.34,236.54,238.36,31718528
2025-02-04 16:01:40.259285,241.65,244.51,238.76,241.06,87585539
2025-02-05 16:01:40.259285,232.19,235.61,228.19,232.1,31942395
2025-02-06 16:01:40.259285,225.2,229.3,224.53,226.65,92184788
2025-02-07 16:01:40.259285,233.02,234.73,231.62,233.47,55718538
2025-02-10 16:01:40.259285,239.8,241.69,235.89,240.09,40977502
2025-02-11 16:01:40.259285,234.3,236.63,233.68,236.12,95483798
2025-02-12 16:01:40.259285,228.69,229.63,228.59,229.33,14590374
