date,open,high,low,close,volume
2024-10-24 16:01:40.442192,44.09,44.2,43.87,43.89,6887421
2024-10-25 16:01:40.442192,45.17,45.48,44.07,44.91,53841837
2024-10-28 16:01:40.442192,44.21,44.78,44.11,44.55,32034125
2024-10-29 16:01:40.442192,43.58,43.96,43.24,43.58,41537123
2024-10-30 16:01:40.442192,41.21,41.52,40.32,41.37,19276484
2024-10-31 16:01:40.442192,42.21,42.43,41.54,42.36,59921093
2024-11-01 16:01:40.442192,42.64,42.82,42.37,42.49,74930257
2024-11-04 16:01:40.442192,41.57,41.66,41.33,41.45,71264507
2024-11-05 16:01:40.442192,41.26,41.84,40.13,40.99,10553937
2024-11-06 16:01:40.442192,40.26,40.68,39.98,40.32,54386624
2024-11-07 16:01:40.442192,39.31,39.78,39.22,39.47,47458120
2024-11-08 16:01:40.442192,40.71,40.86,40.14,40.63,68037795
2024-11-11 16:01:40.442192,40.44,41.04,40.17,40.3,34737966
2024-11-12 16:01:40.442192,38.84,39.08,38.13,38.91,98976624
2024-11-13 16:01:40.442192,38.73,39.25,38.71,38.88,16143694
2024-11-14 16:01:40.442192,39.36,39.75,39.12,39.38,50099236
2024-11-15 16:01:40.442192,38.57,39.03,38.49,38.49,51368358
2024-11-18 16:01:40.442192,39.23,39.51,38.92,39.38,6215019
2024-11-19 16:01:40.442192,40.02,40.38,39.8,40.09,68875904
2024-11-20 16:01:40.442192,39.54,39.72,39.43,39.53,76870521
2024-11-21 16:01:40.442192,37.88,38.36,37.32,38.14,77408467
2024-11-22 16:01:40.442192,38.68,38.91,38.51,38.8,73296925
2024-11-25 16:01:40.442192,39.76,40.41,39.4,39.81,62297941
2024-11-26 16:01:40.442192,39.25,39.48,38.37,38.98,87228558
2024-11-27 16:01:40.442192,38.43,38.94,37.49,38.53,36416332
2024-11-28 16:01:40.442192,38.48,39.08,38.14,38.93,85850861
2024-11-29 16:01:40.442192,39.86,41.13,39.81,39.97,41905621
2024-12-02 16:01:40.442192,41.73,42.05,40.9,41.51,43077502
2024-12-03 16:01:40.442192,40.52,40.97,40.29,40.71,5307321
2024-12-04 16:01:40.442192,41.37,42.21,40.55,41.32,32626007
2024-12-05 16:01:40.442192,42.1,42.61,41.1,41.68,25246783
2024-12-06 16:01:40.442192,42.56,42.68,41.58,42.38,25427138
2024-12-09 16:01:40.442192,40.88,41.19,40.8,40.97,16461527
2024-12-10 16:01:40.442192,40.94,41.81,40.67,41.24,35277411
2024-12-11 16:01:40.442192,39.19,39.64,38.78,39.53,52183895
2024-12-12 16:01:40.442192,40.84,40.88,40.14,40.64,90617744
2024-12-13 16:01:40.442192,40.77,41.05,40.32,40.85,6173362
2024-12-16 16:01:40.442192,40.82,41.2,40.56,40.84,48452985
2024-12-17 16:01:40.442192,40.58,41.42,40.18,40.59,66043362
2024-12-18 16:01:40.442192,41.56,42.21,41.5,41.92,32374591
2024-12-19 16:01:40.442192,41.2,41.4,40.13,40.76,82972456
2024-12-20 16:01:40.442192,40.4,40.92,40.15,40.78,59485727
2024-12-23 16:01:40.442192,41.37,42.14,41.13,42.09,98639510
2024-12-24 16:01:40.442192,41.93,42.41,41.41,41.82,19674362
2024-12-25 16:01:40.442192,43.83,43.87,43.71,43.79,58214815
2024-12-26 16:01:40.442192,45.15,46.35,45.05,45.34,15547646
2024-12-27 16:01:40.442192,46.48,46.86,46.45,46.51,35065184
2024-12-30 16:01:40.442192,46.6,47.19,46.32,46.58,77496634
2024-12-31 16:01:40.442192,48.52,48.8,48.14,48.49,86861370
2025-01-01 16:01:40.442192,50.95,51.47,50.09,50.46,30327178
2025-01-02 16:01:40.442192,49.43,49.8,48.78,49.43,21406318
2025-01-03 16:01:40.442192,50.29,50.49,49.36,50.43,38046939
2025-01-06 16:01:40.442192,50.58,51.19,50.45,50.46,40343662
2025-01-07 16:01:40.442192,50.83,51.24,50.25,50.78,97167472
2025-01-08 16:01:40.442192,50.48,50.66,49.62,50.18,78226272
2025-01-09 16:01:40.442192,51.99,52.44,51.16,51.53,78039929
2025-01-10 16:01:40.442192,53.53,54.09,53.5,53.79,63650544
2025-01-13 16:01:40.442192,53.36,54.14,52.85,53.21,87939341
2025-01-14 16:01:40.442192,52.39,52.66,51.75,52.45,41679940
2025-01-15 16:01:40.442192,53.26,54.24,52.23,52.94,80534520
2025-01-16 16:01:40.442192,53.47,53.85,52.46,53.36,42061479
2025-01-17 16:01:40.442192,52.52,52.7,52.15,52.61,72196155
2025-01-20 16:01:40.442192,53.73,54.38,53.25,53.61,86071057
2025-01-21 16:01:40.442192,54.01,55.28,53.82,54.38,45573366
2025-01-22 16:01:40.442192,55.69,56.1,55.09,55.13,71863362
2025-01-23 16:01:40.442192,56.89,57.14,55.88,57.03,16450493
2025-01-24 16:01:40.442192,57.46,58.04,57.35,57.83,93206375
2025-01-27 16:01:40.442192,57.35,58.26,56.24,57.68,81546179
2025-01-28 16:01:40.442192,57.67,58.16,57.46,57.59,78697564
2025-01-29 16:01:40.442192,55.46,55.48,55.36,55.44,42229876
2025-01-30 16:01:40.442192,54.42,55.4,54.2,54.51,3034929
2025-01-31 16:01:40.442192,56.11,56.35,55.97,56.1,56957928
2025-02-03 16:01:40.442192,57.93,58.81,56.82,57.62,69480294
2025-02-04 16:01:40.442192,58.5,58.78,57.83,58.22,93506342
2025-02-05 16:01:40.442192,58.57,58.95,58.26,58.38,20573635
2025-02-06 16:01:40.442192,56.7,57.51,56.27,56.99,97576023
2025-02-07 16:01:40.442192,54.56,55.68,54.01,55.19,14647475
2025-02-10 16:01:40.442192,55.43,55.48,54.8,55.35,27849930
2025-02-11 16:01:40.442192,55.88,56.12,55.06,55.83,69530691
2025-02-12 16:01:40.442192,54.77,54.78,54.4,54.6,5203705
2025-02-13 16:01:40.442192,54.74,55.41,53.89,54.49,46502844
2025-02-14 16:01:40.442192,56.2,57.25,55.78,56.05,31879010
2025-02-17 16:01:40.442192,56.69,56.79,55.91,56.54,62790687
2025-02-18 16:01:40.442192,56.86,57.72,55.52,56.68,35086592
2025-02-19 16:01:40.442192,56.04,56.24,55.7,55.79,66923491
2025-02-20 16:01:40.442192,58.34,58.76,57.94,58.15,27822101
2025-02-21 16:01:40.442192,60.34,61.48,59.41,60.3,67315278
2025-02-24 16:01:40.442192,60.15,60.43,59.89,60.34,85947112
2025-02-25 16:01:40.442192,58.04,58.36,57.95,58.21,46557616
2025-02-26 16:01:40.442192,60.0,60.11,58.68,59.46,74101362
2025-02-27 16:01:40.442192,60.74,61.28,60.5,60.57,20305482
2025-02-28 16:01:40.442192,59.57,59.77,59.16,59.31,61614737
2025-03-03 16:01:40.442192,56.75,57.58,56.38,56.87,89607239
2025-03-04 16:01:40.442192,55.63,56.88,55.27,56.23,37321983
2025-03-05 16:01:40.442192,55.8,55.96,54.4,55.58,37581881
2025-03-06 16:01:40.442192,56.65,57.07,56.23,56.75,98026958
2025-03-07 16:01:40.442192,57.73,58.74,57.3,57.54,16038257
2025-03-10 16:01:40.442192,58.91,59.33,57.66,58.96,16931294
2025-03-11 16:01:40.442192,58.75,59.11,58.65,58.71,18573561
2025-03-12 16:01:40.442192,59.06,59.33,58.62,58.78,3259962
2025-03-13 16:01:40.442192,58.52,58.64,57.34,58.64,92004367
2025-03-14 16:01:40.442192,59.31,60.03,58.92,59.36,60711873
2025-03-17 16:01:40.442192,58.9,59.77,58.57,59.33,58850190
2025-03-18 16:01:40.442192,61.3,61.35,59.83,61.04,30844085
2025-03-19 16:01:40.442192,62.17,62.99,61.91,62.76,38969431
2025-03-20 16:01:40.442192,61.13,62.46,60.86,61.41,75307008
2025-03-21 16:01:40.442192,62.02,62.25,60.78,62.14,81759176
2025-03-24 16:01:40.442192,61.14,62.48,60.98,62.03,81278926
2025-03-25 16:01:40.442192,60.53,61.36,60.37,60.95,13556489
2025-03-26 16:01:40.442192,60.19,60.83,59.26,59.83,18620402
2025-03-27 16:01:40.442192,59.32,60.22,58.4,59.33,50879639
2025-03-28 16:01:40.442192,60.9,61.87,60.46,61.06,64079405
2025-03-31 16:01:40.442192,60.3,60.78,59.52,60.77,58372295
2025-04-01 16:01:40.442192,63.53,63.66,62.29,63.43,56198260
2025-04-02 16:01:40.442192,65.06,65.7,63.6,64.68,23820744
2025-04-03 16:01:40.442192,64.85,65.66,63.59,65.17,86496387
2025-04-04 16:01:40.442192,64.24,64.69,63.96,64.66,93276666
2025-04-07 16:01:40.442192,62.55,63.66,61.82,63.24,3163354
2025-04-08 16:01:40.442192,65.43,66.8,64.98,65.01,85566949
2025-04-09 16:01:40.442192,64.87,65.23,64.21,64.62,77266874
2025-04-10 16:01:40.442192,64.02,64.16,63.0,63.35,27355223
2025-04-11 16:01:40.442192,62.33,62.72,62.03,62.18,4122982
2025-04-14 16:01:40.442192,61.87,62.02,61.81,61.95,21906389
2025-04-15 16:01:40.442192,61.21,61.28,60.82,61.13,59731398
2025-04-16 16:01:40.442192,59.83,60.21,59.66,59.7,20125807
2025-04-17 16:01:40.442192,58.41,58.74,58.04,58.73,77948242
2025-04-18 16:01:40.442192,58.46,58.93,58.18,58.77,94951454
2025-04-21 16:01:40.442192,56.95,57.91,56.72,57.23,11582645
2025-04-22 16:01:40.442192,56.8,56.9,55.83,56.8,84371568
2025-04-23 16:01:40.442192,55.4,55.97,55.11,55.73,97911941
