date,open,high,low,close,volume
2024-10-24 16:01:40.528311,91.22,92.97,90.69,91.99,61432449
2024-10-25 16:01:40.528311,95.28,96.39,93.15,94.99,58408262
2024-10-28 16:01:40.528311,94.87,95.64,94.67,95.59,32280208
2024-10-29 16:01:40.528311,97.3,98.03,97.1,97.67,25252387
2024-10-30 16:01:40.528311,99.02,99.37,96.69,98.48,92154982
2024-10-31 16:01:40.528311,101.13,101.54,99.73,100.93,69322035
2024-11-01 16:01:40.528311,103.72,104.74,102.24,102.47,81724838
2024-11-04 16:01:40.528311,103.34,105.01,102.35,104.14,86005904
2024-11-05 16:01:40.528311,102.28,104.98,101.71,102.85,86593162
2024-11-06 16:01:40.528311,104.37,105.36,102.72,103.48,69572746
2024-11-07 16:01:40.528311,104.96,105.11,104.04,104.77,22655516
2024-11-08 16:01:40.528311,105.02,105.9,104.53,105.58,70665256
2024-11-11 16:01:40.528311,104.36,105.68,104.28,104.34,92805781
2024-11-12 16:01:40.528311,104.7,104.89,104.66,104.77,23631139
2024-11-13 16:01:40.528311,106.97,107.48,106.32,106.46,26698013
2024-11-14 16:01:40.528311,108.8,109.71,107.85,108.6,55644856
2024-11-15 16:01:40.528311,107.83,110.84,106.82,108.4,38121490
2024-11-18 16:01:40.528311,108.53,109.22,107.79,108.33,57910551
2024-11-19 16:01:40.528311,109.51,111.8,109.07,110.12,73878135
2024-11-20 16:01:40.528311,107.92,109.87,106.36,108.47,98454913
2024-11-21 16:01:40.528311,107.83,108.21,107.29,107.89,86281273
2024-11-22 16:01:40.528311,104.38,105.62,103.52,104.73,22079938
2024-11-25 16:01:40.528311,104.0,105.34,103.74,104.7,48149400
2024-11-26 16:01:40.528311,106.54,107.35,104.68,106.02,55654433
2024-11-27 16:01:40.528311,101.77,103.01,100.19,102.49,7023662
2024-11-28 16:01:40.528311,101.08,102.31,100.29,100.53,64151772
2024-11-29 16:01:40.528311,99.23,100.42,98.64,99.09,69051731
2024-12-02 16:01:40.528311,99.74,101.13,98.74,100.38,30746967
2024-12-03 16:01:40.528311,101.15,102.02,100.35,100.97,43823148
2024-12-04 16:01:40.528311,102.4,103.74,100.28,102.11,71855421
2024-12-05 16:01:40.528311,106.0,106.81,105.01,105.99,95254267
2024-12-06 16:01:40.528311,107.94,108.24,106.55,107.72,65117845
2024-12-09 16:01:40.528311,102.86,105.28,99.99,103.61,43237682
2024-12-10 16:01:40.528311,101.92,102.93,101.72,101.91,76605325
2024-12-11 16:01:40.528311,98.94,100.28,97.48,99.76,48262048
2024-12-12 16:01:40.528311,98.51,99.42,98.36,98.98,47845617
2024-12-13 16:01:40.528311,97.73,98.88,97.29,98.32,53248032
2024-12-16 16:01:40.528311,98.42,99.88,98.08,98.46,52180556
2024-12-17 16:01:40.528311,99.19,99.94,98.95,98.97,47477603
2024-12-18 16:01:40.528311,101.29,102.33,101.02,101.1,18964876
2024-12-19 16:01:40.528311,100.06,100.31,99.38,99.67,39987068
2024-12-20 16:01:40.528311,101.09,102.6,99.41,101.08,12868905
2024-12-23 16:01:40.528311,98.24,99.71,97.39,98.41,86725395
2024-12-24 16:01:40.528311,99.72,100.95,99.4,99.49,14923198
2024-12-25 16:01:40.528311,96.41,97.29,95.55,96.94,1478254
2024-12-26 16:01:40.528311,93.16,93.65,92.58,93.36,76238537
2024-12-27 16:01:40.528311,92.33,92.6,90.56,92.06,80818198
2024-12-30 16:01:40.528311,92.54,93.32,91.33,91.56,5557408
2024-12-31 16:01:40.528311,94.81,95.01,93.03,94.2,3355222
2025-01-01 16:01:40.528311,96.46,96.84,96.23,96.52,85920899
2025-01-02 16:01:40.528311,97.71,97.78,95.46,96.8,81549438
2025-01-03 16:01:40.528311,94.78,95.01,93.9,94.83,34886518
2025-01-06 16:01:40.528311,94.36,94.64,92.69,93.79,58326267
2025-01-07 16:01:40.528311,97.06,97.7,95.8,96.72,46142310
2025-01-08 16:01:40.528311,95.38,95.78,94.75,95.65,96326242
2025-01-09 16:01:40.528311,97.35,99.46,96.8,97.46,29714343
2025-01-10 16:01:40.528311,101.27,102.03,99.62,101.06,21054293
2025-01-13 16:01:40.528311,98.7,99.4,98.65,99.23,39413162
2025-01-14 16:01:40.528311,99.7,101.29,98.6,99.83,29724497
2025-01-15 16:01:40.528311,101.42,101.99,100.45,101.54,27075863
2025-01-16 16:01:40.528311,102.99,104.03,102.05,103.34,10837814
2025-01-17 16:01:40.528311,104.61,106.36,103.75,104.59,33721927
2025-01-20 16:01:40.528311,106.18,106.28,105.64,105.64,15911043
2025-01-21 16:01:40.528311,107.49,109.31,106.86,107.98,6620178
2025-01-22 16:01:40.528311,107.72,108.59,107.59,107.96,72505375
2025-01-23 16:01:40.528311,107.97,109.01,107.4,107.55,69441945
2025-01-24 16:01:40.528311,110.02,110.45,109.35,109.47,94294725
2025-01-27 16:01:40.528311,115.31,116.68,109.99,114.17,38143610
2025-01-28 16:01:40.528311,117.01,117.52,114.46,115.24,83156499
2025-01-29 16:01:40.528311,112.67,113.88,111.82,112.9,27241869
2025-01-30 16:01:40.528311,114.92,117.6,113.48,115.72,57535918
2025-01-31 16:01:40.528311,116.97,117.64,116.46,117.4,37377349
2025-02-03 16:01:40.528311,114.81,116.44,113.7,114.92,59634272
2025-02-04 16:01:40.528311,114.2,114.29,112.55,114.07,61558068
2025-02-05 16:01:40.528311,114.66,115.02,113.68,114.44,39000952
2025-02-06 16:01:40.528311,116.33,117.0,114.08,115.88,31929920
2025-02-07 16:01:40.528311,117.13,118.67,117.0,117.63,46918083
2025-02-10 16:01:40.528311,117.69,119.41,116.91,117.08,62727674
2025-02-11 16:01:40.528311,113.08,115.96,113.02,113.51,53663397
2025-02-12 16:01:40.528311,116.36,116.89,115.48,116.49,94377708
2025-02-13 16:01:40.528311,116.59,119.97,115.48,115.79,24260365
2025-02-14 16:01:40.528311,115.51,116.48,114.11,114.33,96984222
2025-02-17 16:01:40.528311,110.03,111.79,108.39,110.32,80264946
2025-02-18 16:01:40.528311,108.75,109.14,107.45,108.38,99321005
2025-02-19 16:01:40.528311,106.63,107.31,105.97,106.81,27157402
2025-02-20 16:01:40.528311,102.89,103.63,100.82,102.22,69755691
2025-02-21 16:01:40.528311,97.39,99.17,96.13,97.85,1053443
2025-02-24 16:01:40.528311,97.49,99.19,96.38,98.27,1641761
2025-02-25 16:01:40.528311,98.98,99.03,98.15,98.63,58736342
2025-02-26 16:01:40.528311,94.93,95.87,93.18,94.22,19102721
2025-02-27 16:01:40.528311,92.31,92.44,90.97,91.47,4287741
2025-02-28 16:01:40.528311,94.49,95.93,94.37,94.38,16279816
2025-03-03 16:01:40.528311,93.36,94.41,91.49,93.83,13367993
2025-03-04 16:01:40.528311,93.32,93.81,92.58,92.61,37138914
2025-03-05 16:01:40.528311,93.38,93.46,90.62,92.77,98559345
2025-03-06 16:01:40.528311,89.68,91.32,89.16,89.93,59674404
2025-03-07 16:01:40.528311,85.86,87.0,84.97,86.67,26465491
2025-03-10 16:01:40.528311,90.55,90.78,89.49,90.26,34057841
2025-03-11 16:01:40.528311,88.8,88.91,87.98,88.47,99717214
2025-03-12 16:01:40.528311,92.19,93.52,91.45,91.83,40848088
2025-03-13 16:01:40.528311,89.38,90.02,89.06,89.14,39348473
2025-03-14 16:01:40.528311,90.46,91.24,89.62,90.13,26733703
2025-03-17 16:01:40.528311,89.95,90.3,87.76,89.46,84333620
2025-03-18 16:01:40.528311,90.49,91.21,89.82,90.23,14099203
2025-03-19 16:01:40.528311,87.09,87.22,86.03,87.21,67630853
2025-03-20 16:01:40.528311,87.31,87.63,85.79,86.38,7759687
2025-03-21 16:01:40.528311,90.13,91.09,89.4,90.26,46970010
2025-03-24 16:01:40.528311,88.99,90.17,88.39,88.78,92335552
2025-03-25 16:01:40.528311,87.76,88.39,87.02,87.85,83024923
2025-03-26 16:01:40.528311,84.95,86.45,83.29,84.85,32296929
2025-03-27 16:01:40.528311,82.43,83.01,81.99,82.36,57468412
2025-03-28 16:01:40.528311,83.49,85.51,83.02,84.16,32474572
2025-03-31 16:01:40.528311,86.55,88.55,86.45,86.94,22898305
2025-04-01 16:01:40.528311,85.85,86.42,85.6,86.18,65085612
2025-04-02 16:01:40.528311,85.23,85.67,84.01,84.92,3211965
2025-04-03 16:01:40.528311,85.78,87.16,85.22,86.21,44604357
2025-04-04 16:01:40.528311,83.7,86.36,83.33,84.45,1989314
2025-04-07 16:01:40.528311,84.54,85.03,83.31,84.44,7517936
2025-04-08 16:01:40.528311,87.46,88.28,86.92,87.79,11662158
2025-04-09 16:01:40.528311,87.9,87.96,87.37,87.89,90891604
2025-04-10 16:01:40.528311,86.6,87.44,85.76,86.14,4970737
2025-04-11 16:01:40.528311,86.52,87.9,86.24,86.35,57249238
2025-04-14 16:01:40.528311,89.89,90.84,88.23,89.2,34452188
2025-04-15 16:01:40.528311,89.65,91.65,87.74,89.92,78817949
2025-04-16 16:01:40.528311,88.58,89.09,87.52,88.34,19502004
2025-04-17 16:01:40.528311,88.58,89.67,87.65,89.11,52062956
2025-04-18 16:01:40.528311,88.07,88.59,87.37,87.9,17695372
2025-04-21 16:01:40.528311,85.33,85.64,84.32,85.4,24730834
2025-04-22 16:01:40.528311,85.6,87.06,84.12,85.58,35858625
2025-04-23 16:01:40.528311,85.53,87.1,84.69,85.31,53562785
2025-04-24 16:01:40.528311,83.33,83.8,82.46,83.19,81614346
2025-04-25 16:01:40.528311,80.79,81.54,80.5,81.05,81432771
2025-04-28 16:01:40.528311,82.45,82.51,81.78,82.36,69543598
2025-04-29 16:01:40.528311,81.15,81.87,79.61,80.84,91925653
2025-04-30 16:01:40.528311,83.07,83.52,81.49,82.13,8709241
2025-05-01 16:01:40.528311,83.69,85.28,81.66,82.54,23439829
2025-05-02 16:01:40.528311,76.79,78.39,76.77,77.08,32519839
2025-05-05 16:01:40.528311,78.4,78.85,78.39,78.47,94316115
2025-05-06 16:01:40.528311,80.42,80.53,79.63,80.17,5338614
2025-05-07 16:01:40.528311,83.7,85.98,83.25,83.3,23000779
2025-05-08 16:01:40.528311,83.07,83.75,82.21,82.91,42109368
2025-05-09 16:01:40.528311,81.71,83.18,81.26,81.77,47605330
2025-05-12 16:01:40.528311,79.25,80.75,78.56,79.1,6904638
2025-05-13 16:01:40.528311,77.74,78.37,76.45,76.99,54961234
2025-05-14 16:01:40.528311,79.38,80.06,79.29,79.62,60354196
2025-05-15 16:01:40.528311,84.96,87.11,84.03,84.81,10328749
2025-05-16 16:01:40.528311,85.39,86.2,84.77,85.81,8741801
2025-05-19 16:01:40.528311,88.79,91.06,87.32,89.0,85783640
2025-05-20 16:01:40.528311,89.94,90.43,89.24,89.83,68453707
2025-05-21 16:01:40.528311,90.79,91.66,89.29,90.53,26640830
2025-05-22 16:01:40.528311,90.28,91.22,89.72,90.98,78537069
2025-05-23 16:01:40.528311,96.64,97.09,96.52,96.56,96459393
2025-05-26 16:01:40.528311,97.05,98.11,96.28,97.64,23480712
2025-05-27 16:01:40.528311,101.41,103.15,97.53,100.5,86045395
2025-05-28 16:01:40.528311,100.98,101.95,100.91,101.02,87072481
2025-05-29 16:01:40.528311,101.64,103.26,100.55,100.94,37636849
2025-05-30 16:01:40.528311,99.71,99.77,97.8,99.49,16727920
2025-06-02 16:01:40.528311,97.95,99.22,97.45,97.8,31670638
2025-06-03 16:01:40.528311,98.48,100.92,96.96,98.28,97490035
2025-06-04 16:01:40.528311,96.29,97.65,94.9,96.14,82466640
2025-06-05 16:01:40.528311,94.28,97.11,93.53,95.0,42346369
2025-06-06 16:01:40.528311,96.76,97.67,95.99,97.5,11598182
2025-06-09 16:01:40.528311,100.0,101.07,99.07,99.49,36927086
2025-06-10 16:01:40.528311,99.0,99.49,98.36,98.95,88222794
2025-06-11 16:01:40.528311,96.85,97.77,95.17,96.8,2656734
2025-06-12 16:01:40.528311,100.3,101.48,100.3,100.95,25969011
2025-06-13 16:01:40.528311,101.12,103.55,99.9,101.81,95424756
2025-06-16 16:01:40.528311,103.01,103.68,102.3,102.31,62463877
