date,open,high,low,close,volume
2024-10-24 16:01:40.382342,263.69,264.93,259.43,263.71,43834194
2024-10-25 16:01:40.382342,265.04,269.76,261.06,263.51,11261490
2024-10-28 16:01:40.382342,260.28,262.9,258.45,261.1,91640026
2024-10-29 16:01:40.382342,267.46,268.76,261.07,268.03,17176713
2024-10-30 16:01:40.382342,261.18,261.75,257.23,260.24,59774114
2024-10-31 16:01:40.382342,265.89,267.87,262.65,266.3,13170917
2024-11-01 16:01:40.382342,263.34,268.37,259.44,264.75,1879533
2024-11-04 16:01:40.382342,256.68,258.01,255.16,256.73,87810744
2024-11-05 16:01:40.382342,257.47,259.15,255.91,258.68,38491625
2024-11-06 16:01:40.382342,267.54,272.02,266.94,267.43,7791727
2024-11-07 16:01:40.382342,264.03,265.32,261.38,264.51,60363463
2024-11-08 16:01:40.382342,269.29,270.18,267.63,269.45,52319865
2024-11-11 16:01:40.382342,272.65,278.48,271.5,273.5,27589770
2024-11-12 16:01:40.382342,273.51,277.06,270.78,272.42,3788042
2024-11-13 16:01:40.382342,278.56,279.39,272.19,278.17,99200653
2024-11-14 16:01:40.382342,281.73,283.22,279.04,281.9,34555655
2024-11-15 16:01:40.382342,271.81,274.32,271.41,272.66,37394228
2024-11-18 16:01:40.382342,265.02,266.9,261.69,265.59,83949874
2024-11-19 16:01:40.382342,264.18,274.03,262.78,264.67,39043215
2024-11-20 16:01:40.382342,270.48,273.7,269.75,270.9,23331859
2024-11-21 16:01:40.382342,270.31,271.21,269.36,269.39,57570366
2024-11-22 16:01:40.382342,280.46,285.88,279.1,281.64,59466150
2024-11-25 16:01:40.382342,287.49,290.55,286.37,287.7,34968762
2024-11-26 16:01:40.382342,284.33,285.2,281.72,284.49,11160076
2024-11-27 16:01:40.382342,275.13,277.33,271.0,273.96,70235891
2024-11-28 16:01:40.382342,274.94,275.26,271.45,273.56,85072559
2024-11-29 16:01:40.382342,275.59,275.73,273.11,274.94,64014173
2024-12-02 16:01:40.382342,278.52,285.8,274.19,277.05,19429597
2024-12-03 16:01:40.382342,280.71,281.32,275.4,279.9,60242785
2024-12-04 16:01:40.382342,276.2,279.98,272.2,276.11,76299641
2024-12-05 16:01:40.382342,285.6,287.77,279.79,283.32,89523240
2024-12-06 16:01:40.382342,276.45,277.29,272.39,277.18,6346926
2024-12-09 16:01:40.382342,285.49,288.34,283.42,284.69,47731055
2024-12-10 16:01:40.382342,277.99,279.36,275.21,278.8,20717647
2024-12-11 16:01:40.382342,278.3,284.46,274.88,279.66,97047075
2024-12-12 16:01:40.382342,285.57,288.23,278.1,283.93,56093425
2024-12-13 16:01:40.382342,287.0,288.9,280.79,286.95,31781464
2024-12-16 16:01:40.382342,283.3,284.02,278.0,281.17,81624791
2024-12-17 16:01:40.382342,276.82,280.21,269.51,275.2,18571434
2024-12-18 16:01:40.382342,266.81,269.35,266.41,266.54,18431634
2024-12-19 16:01:40.382342,259.25,261.46,257.24,259.11,74165268
2024-12-20 16:01:40.382342,254.26,257.92,249.34,251.2,88199733
2024-12-23 16:01:40.382342,258.57,263.68,254.66,258.5,35976988
2024-12-24 16:01:40.382342,266.34,270.28,265.62,269.12,19496733
2024-12-25 16:01:40.382342,273.68,274.87,267.39,271.94,89323095
2024-12-26 16:01:40.382342,276.72,278.41,273.27,275.48,79553381
2024-12-27 16:01:40.382342,280.64,283.31,279.12,279.93,71955011
2024-12-30 16:01:40.382342,278.59,282.75,273.33,278.62,12531458
2024-12-31 16:01:40.382342,275.18,276.42,270.08,275.18,37302642
2025-01-01 16:01:40.382342,274.55,274.99,271.75,274.17,51403642
2025-01-02 16:01:40.382342,264.03,267.05,260.17,263.97,58510042
2025-01-03 16:01:40.382342,265.79,267.03,261.3,264.37,77975545
2025-01-06 16:01:40.382342,278.28,278.91,272.84,276.39,22537827
2025-01-07 16:01:40.382342,274.16,276.49,273.51,275.42,16622703
2025-01-08 16:01:40.382342,273.58,275.02,270.5,273.04,42025866
2025-01-09 16:01:40.382342,274.85,277.76,271.46,276.68,89435849
2025-01-10 16:01:40.382342,275.16,276.26,271.17,273.25,78397856
2025-01-13 16:01:40.382342,266.04,268.42,265.93,266.63,96565941
2025-01-14 16:01:40.382342,261.81,265.1,261.12,261.7,4765461
2025-01-15 16:01:40.382342,271.56,271.6,266.36,270.09,33758901
