date,open,high,low,close,volume
2024-10-24 16:01:40.428238,343.89,347.91,342.68,344.07,13770131
2024-10-25 16:01:40.428238,344.99,346.75,339.79,341.68,54343973
2024-10-28 16:01:40.428238,337.0,340.44,335.36,339.68,45731775
2024-10-29 16:01:40.428238,339.05,339.41,328.88,337.76,92763444
2024-10-30 16:01:40.428238,329.74,334.78,324.85,330.56,88823013
2024-10-31 16:01:40.428238,332.73,334.03,329.71,331.72,17632320
2024-11-01 16:01:40.428238,332.39,332.85,330.72,331.39,5510313
2024-11-04 16:01:40.428238,333.03,337.13,331.66,332.44,14571295
2024-11-05 16:01:40.428238,333.38,333.5,331.04,332.35,94169578
2024-11-06 16:01:40.428238,334.95,339.51,326.8,336.51,31939684
2024-11-07 16:01:40.428238,331.96,334.56,327.3,332.21,97094741
2024-11-08 16:01:40.428238,334.43,339.04,330.03,333.54,98306138
2024-11-11 16:01:40.428238,346.84,347.37,336.23,344.13,97073442
2024-11-12 16:01:40.428238,350.74,352.07,343.59,350.12,52517861
2024-11-13 16:01:40.428238,362.3,364.87,358.84,360.62,46020893
2024-11-14 16:01:40.428238,362.42,369.04,359.69,366.35,19559296
2024-11-15 16:01:40.428238,374.87,376.58,374.11,375.8,53405260
2024-11-18 16:01:40.428238,378.66,380.11,375.53,379.55,87929132
2024-11-19 16:01:40.428238,383.08,388.83,373.23,384.34,10240106
2024-11-20 16:01:40.428238,387.61,388.2,383.99,387.48,48434123
2024-11-21 16:01:40.428238,395.39,395.79,392.86,393.32,42841458
2024-11-22 16:01:40.428238,402.94,406.5,400.89,401.4,22930758
2024-11-25 16:01:40.428238,411.47,414.49,407.3,409.71,28052378
2024-11-26 16:01:40.428238,421.14,423.09,418.85,420.17,38670776
2024-11-27 16:01:40.428238,409.19,416.88,408.31,410.11,55655655
2024-11-28 16:01:40.428238,402.23,403.66,401.35,402.93,95639431
2024-11-29 16:01:40.428238,403.0,406.49,401.65,405.14,9168948
2024-12-02 16:01:40.428238,408.11,414.96,407.27,407.96,29388364
2024-12-03 16:01:40.428238,392.41,400.21,391.56,394.24,50199812
2024-12-04 16:01:40.428238,378.93,381.82,378.05,379.75,61356308
2024-12-05 16:01:40.428238,378.64,381.61,377.75,379.88,85377851
2024-12-06 16:01:40.428238,393.11,394.67,389.38,392.65,23654910
2024-12-09 16:01:40.428238,385.89,387.76,379.67,382.48,56187527
2024-12-10 16:01:40.428238,390.72,392.5,388.84,389.91,71204403
2024-12-11 16:01:40.428238,401.88,405.16,395.19,404.14,21577075
2024-12-12 16:01:40.428238,413.59,417.97,408.4,417.01,60403894
2024-12-13 16:01:40.428238,422.22,431.18,421.95,424.1,94330835
2024-12-16 16:01:40.428238,432.67,436.82,430.96,431.85,74833642
2024-12-17 16:01:40.428238,420.93,423.59,412.61,421.38,18551419
2024-12-18 16:01:40.428238,419.6,420.08,415.55,419.84,99269440
2024-12-19 16:01:40.428238,415.73,423.77,414.31,419.4,75275073
2024-12-20 16:01:40.428238,412.14,413.0,407.56,410.63,50077337
2024-12-23 16:01:40.428238,406.74,409.64,404.28,405.91,45773615
2024-12-24 16:01:40.428238,404.38,407.77,402.1,403.61,89446567
2024-12-25 16:01:40.428238,410.88,412.24,407.33,411.49,67234411
2024-12-26 16:01:40.428238,410.84,417.18,406.12,412.08,94436059
2024-12-27 16:01:40.428238,405.0,410.67,403.63,404.02,44563580
2024-12-30 16:01:40.428238,409.88,412.72,403.75,407.83,68143735
2024-12-31 16:01:40.428238,403.42,404.13,401.2,402.1,17829321
2025-01-01 16:01:40.428238,408.9,413.21,402.93,407.75,42148270
2025-01-02 16:01:40.428238,415.39,416.86,410.42,413.89,10497080
2025-01-03 16:01:40.428238,412.24,416.14,410.87,414.19,60578764
2025-01-06 16:01:40.428238,419.41,421.29,418.41,420.84,32005769
2025-01-07 16:01:40.428238,423.32,431.37,423.14,426.16,2657335
2025-01-08 16:01:40.428238,425.08,430.7,420.43,426.83,72570069
2025-01-09 16:01:40.428238,425.99,428.45,422.86,426.92,3405981
2025-01-10 16:01:40.428238,433.74,436.8,427.66,434.12,22679784
2025-01-13 16:01:40.428238,425.36,425.48,423.73,424.51,74527810
2025-01-14 16:01:40.428238,428.03,433.32,426.84,426.87,81476078
2025-01-15 16:01:40.428238,436.08,441.26,432.74,435.31,9567643
2025-01-16 16:01:40.428238,438.73,442.96,437.91,439.07,78428087
2025-01-17 16:01:40.428238,447.57,449.64,439.88,446.17,21603894
2025-01-20 16:01:40.428238,442.83,451.85,441.95,444.36,91469969
2025-01-21 16:01:40.428238,446.06,453.74,443.53,447.11,95260964
2025-01-22 16:01:40.428238,435.89,435.93,433.85,434.28,13024298
2025-01-23 16:01:40.428238,442.58,442.86,441.99,442.4,82629133
2025-01-24 16:01:40.428238,444.42,449.2,442.34,445.35,58149046
2025-01-27 16:01:40.428238,442.44,443.81,436.06,440.57,76987574
2025-01-28 16:01:40.428238,436.0,440.34,430.84,435.24,42196561
2025-01-29 16:01:40.428238,431.26,434.22,425.73,431.59,74850855
2025-01-30 16:01:40.428238,422.66,425.23,421.32,422.24,96478912
2025-01-31 16:01:40.428238,425.21,428.86,421.5,423.7,30628125
2025-02-03 16:01:40.428238,441.4,444.91,438.07,440.37,12368622
2025-02-04 16:01:40.428238,444.34,445.35,441.49,445.2,56319692
2025-02-05 16:01:40.428238,442.59,448.54,440.9,447.33,65084325
2025-02-06 16:01:40.428238,441.7,446.87,433.99,442.53,28713624
2025-02-07 16:01:40.428238,431.75,435.03,428.49,431.73,70920368
2025-02-10 16:01:40.428238,432.83,443.16,428.92,436.12,46990342
2025-02-11 16:01:40.428238,445.44,447.78,436.79,446.7,6298795
2025-02-12 16:01:40.428238,459.22,461.04,455.53,457.74,8475271
2025-02-13 16:01:40.428238,435.22,436.58,428.72,436.24,17373803
2025-02-14 16:01:40.428238,423.39,426.0,420.52,421.16,69123349
2025-02-17 16:01:40.428238,415.62,416.23,410.58,410.89,93780158
2025-02-18 16:01:40.428238,408.63,410.98,405.89,408.67,41717005
2025-02-19 16:01:40.428238,404.85,407.77,403.39,405.1,17208993
2025-02-20 16:01:40.428238,417.09,417.23,412.64,413.55,48251304
2025-02-21 16:01:40.428238,419.1,428.81,415.49,416.79,89187892
2025-02-24 16:01:40.428238,416.96,421.63,403.43,418.67,40819085
2025-02-25 16:01:40.428238,405.42,407.48,398.12,406.44,92174341
2025-02-26 16:01:40.428238,404.33,409.02,402.98,403.96,36744228
2025-02-27 16:01:40.428238,394.85,399.03,394.55,396.54,92230991
2025-02-28 16:01:40.428238,381.8,386.74,380.27,382.61,94424822
2025-03-03 16:01:40.428238,388.73,390.81,381.36,387.8,21920131
2025-03-04 16:01:40.428238,376.87,378.27,371.56,374.12,27481405
2025-03-05 16:01:40.428238,376.79,378.84,374.78,376.53,14605495
2025-03-06 16:01:40.428238,389.49,393.74,384.29,385.72,46017532
2025-03-07 16:01:40.428238,382.33,387.94,380.71,382.87,92386719
2025-03-10 16:01:40.428238,385.74,390.56,385.03,385.33,67214095
2025-03-11 16:01:40.428238,377.05,380.63,375.15,377.45,99808740
2025-03-12 16:01:40.428238,377.84,386.48,376.16,379.8,93966885
2025-03-13 16:01:40.428238,385.68,390.98,378.53,385.53,43168371
2025-03-14 16:01:40.428238,377.25,381.48,374.93,375.69,40784072
2025-03-17 16:01:40.428238,380.94,381.87,380.04,380.28,89992488
2025-03-18 16:01:40.428238,373.7,373.74,370.55,371.04,80427958
2025-03-19 16:01:40.428238,379.06,382.57,374.44,377.93,39710483
2025-03-20 16:01:40.428238,375.39,379.69,369.11,374.04,10597707
