date,open,high,low,close,volume
2024-10-24 16:01:40.553647,78.25,78.45,78.13,78.39,6096439
2024-10-25 16:01:40.553647,76.53,77.04,75.54,76.9,34846636
2024-10-28 16:01:40.553647,75.63,76.16,75.44,75.85,93904514
2024-10-29 16:01:40.553647,74.96,75.75,74.38,74.96,11986496
2024-10-30 16:01:40.553647,74.08,74.55,73.81,74.06,8338608
2024-10-31 16:01:40.553647,75.99,76.43,75.5,76.33,48660873
2024-11-01 16:01:40.553647,75.78,76.71,75.31,75.53,78624468
2024-11-04 16:01:40.553647,77.99,78.31,77.88,78.17,15179376
2024-11-05 16:01:40.553647,79.75,80.05,78.42,79.57,61876970
2024-11-06 16:01:40.553647,82.49,82.99,79.84,81.4,78496183
2024-11-07 16:01:40.553647,84.56,85.13,83.68,84.06,34751266
2024-11-08 16:01:40.553647,87.29,87.5,86.08,86.52,49116618
2024-11-11 16:01:40.553647,85.27,86.65,83.97,84.95,8933100
2024-11-12 16:01:40.553647,83.25,85.37,82.86,84.06,86468615
2024-11-13 16:01:40.553647,85.39,86.71,85.36,85.94,50041400
2024-11-14 16:01:40.553647,85.7,86.49,84.48,85.38,89702905
2024-11-15 16:01:40.553647,85.7,86.79,84.59,86.02,56681446
2024-11-18 16:01:40.553647,87.09,87.48,85.82,86.4,91181314
2024-11-19 16:01:40.553647,87.02,88.11,86.79,86.95,69007750
2024-11-20 16:01:40.553647,84.96,85.57,83.76,84.97,73309110
2024-11-21 16:01:40.553647,87.16,87.54,85.6,86.98,4473396
2024-11-22 16:01:40.553647,83.67,85.32,83.26,84.3,62663637
2024-11-25 16:01:40.553647,82.28,83.08,81.97,82.63,8035253
2024-11-26 16:01:40.553647,83.59,83.85,82.92,83.69,10976843
2024-11-27 16:01:40.553647,84.24,85.5,83.94,84.63,56314925
2024-11-28 16:01:40.553647,87.5,88.58,85.53,86.78,31571689
2024-11-29 16:01:40.553647,87.3,87.73,86.0,87.39,22755235
2024-12-02 16:01:40.553647,84.71,85.76,83.55,84.89,75535721
2024-12-03 16:01:40.553647,85.79,87.14,84.55,86.2,60885448
2024-12-04 16:01:40.553647,86.09,86.96,85.89,86.39,42514713
2024-12-05 16:01:40.553647,86.66,87.71,85.82,86.92,87028833
2024-12-06 16:01:40.553647,84.34,85.0,83.98,84.68,59356961
2024-12-09 16:01:40.553647,90.51,90.75,89.73,89.95,55887564
2024-12-10 16:01:40.553647,85.63,87.07,85.37,86.16,44833499
2024-12-11 16:01:40.553647,86.93,88.13,86.02,86.97,15702725
2024-12-12 16:01:40.553647,87.07,87.88,85.91,87.31,76785043
2024-12-13 16:01:40.553647,86.2,86.75,85.6,86.16,48185367
2024-12-16 16:01:40.553647,87.86,87.89,87.2,87.43,4873432
2024-12-17 16:01:40.553647,87.42,89.23,86.01,87.5,54850958
2024-12-18 16:01:40.553647,87.43,87.54,85.83,87.02,39926215
