date,open,high,low,close,volume
2024-10-24 16:01:40.546797,101.09,102.97,100.98,101.61,58181930
2024-10-25 16:01:40.546797,98.36,98.91,97.34,98.82,7853370
2024-10-28 16:01:40.546797,102.14,102.82,100.02,101.71,64725077
2024-10-29 16:01:40.546797,102.23,102.47,101.57,102.12,21278820
2024-10-30 16:01:40.546797,101.37,102.18,101.22,101.29,91192279
2024-10-31 16:01:40.546797,103.17,103.71,102.7,102.8,97047422
2024-11-01 16:01:40.546797,102.56,103.59,102.15,103.02,83562188
2024-11-04 16:01:40.546797,101.17,101.91,100.66,101.17,18612606
2024-11-05 16:01:40.546797,104.02,105.81,102.53,103.1,11111755
2024-11-06 16:01:40.546797,105.21,106.37,104.5,104.72,71114993
2024-11-07 16:01:40.546797,104.46,106.63,104.15,104.8,39728645
2024-11-08 16:01:40.546797,105.14,106.33,104.8,106.14,71799039
2024-11-11 16:01:40.546797,110.37,112.65,109.77,110.64,46211604
2024-11-12 16:01:40.546797,111.93,113.29,109.12,111.05,77142435
2024-11-13 16:01:40.546797,109.48,110.39,109.07,109.86,1898837
2024-11-14 16:01:40.546797,107.77,108.4,106.15,107.05,95203757
2024-11-15 16:01:40.546797,114.88,115.29,113.79,114.23,57354165
2024-11-18 16:01:40.546797,118.71,119.32,117.82,118.52,33631082
2024-11-19 16:01:40.546797,121.68,123.62,119.25,120.64,7619708
2024-11-20 16:01:40.546797,123.41,125.72,120.68,123.99,92853356
2024-11-21 16:01:40.546797,126.28,127.33,126.26,127.2,78108455
2024-11-22 16:01:40.546797,126.58,128.1,123.23,125.39,42436337
2024-11-25 16:01:40.546797,126.17,130.95,125.15,127.18,60367766
2024-11-26 16:01:40.546797,129.53,131.48,127.45,128.57,3074036
2024-11-27 16:01:40.546797,126.19,126.99,125.93,126.92,68272767
2024-11-28 16:01:40.546797,132.72,134.73,131.37,132.16,65616806
2024-11-29 16:01:40.546797,129.36,130.43,128.33,130.39,74142128
2024-12-02 16:01:40.546797,128.95,129.81,127.26,129.53,30449170
2024-12-03 16:01:40.546797,134.32,134.57,131.89,133.6,70435863
2024-12-04 16:01:40.546797,130.97,133.71,130.38,130.89,5048983
2024-12-05 16:01:40.546797,128.08,129.41,127.6,128.68,82574279
2024-12-06 16:01:40.546797,126.52,126.94,123.75,126.3,97834302
2024-12-09 16:01:40.546797,123.8,124.95,122.76,123.76,66931672
2024-12-10 16:01:40.546797,117.63,119.37,115.69,117.46,99603570
2024-12-11 16:01:40.546797,116.19,116.26,114.79,115.84,22191861
2024-12-12 16:01:40.546797,115.14,116.53,114.76,115.76,6586494
2024-12-13 16:01:40.546797,118.49,118.53,116.93,118.29,13372676
2024-12-16 16:01:40.546797,118.92,119.69,118.04,118.12,35537086
2024-12-17 16:01:40.546797,121.99,122.15,118.74,120.89,46933623
2024-12-18 16:01:40.546797,119.25,119.3,116.37,118.63,68475769
2024-12-19 16:01:40.546797,117.59,119.7,115.08,117.24,37896470
2024-12-20 16:01:40.546797,120.11,122.84,118.55,121.13,4273152
2024-12-23 16:01:40.546797,116.81,117.96,115.52,116.28,3862955
2024-12-24 16:01:40.546797,115.43,116.13,114.35,115.77,56882734
2024-12-25 16:01:40.546797,118.87,120.71,117.19,118.28,89323480
2024-12-26 16:01:40.546797,115.85,118.42,115.42,116.54,70873491
2024-12-27 16:01:40.546797,120.97,123.79,120.39,121.02,56396179
2024-12-30 16:01:40.546797,123.2,124.22,122.97,123.01,15923657
2024-12-31 16:01:40.546797,126.14,126.92,125.53,126.01,42419534
2025-01-01 16:01:40.546797,126.02,126.75,124.28,125.87,26052497
2025-01-02 16:01:40.546797,127.55,127.97,125.49,126.52,5709733
2025-01-03 16:01:40.546797,120.94,123.03,120.22,120.82,60823956
2025-01-06 16:01:40.546797,125.5,128.8,124.23,125.07,62373470
2025-01-07 16:01:40.546797,126.6,128.91,126.35,126.66,44123014
2025-01-08 16:01:40.546797,124.25,124.82,122.64,123.25,88160560
2025-01-09 16:01:40.546797,122.9,124.28,122.34,122.93,31446948
2025-01-10 16:01:40.546797,122.44,123.06,121.7,122.14,42088387
