date,open,high,low,close,volume
2024-10-24 16:01:40.490965,70.67,72.17,70.43,71.34,48669713
2024-10-25 16:01:40.490965,71.5,71.71,71.19,71.69,66383378
2024-10-28 16:01:40.490965,73.84,74.47,72.98,74.05,59982324
2024-10-29 16:01:40.490965,75.62,76.06,74.87,75.39,2336246
2024-10-30 16:01:40.490965,76.04,76.92,75.33,76.45,16839136
2024-10-31 16:01:40.490965,76.56,77.14,76.17,76.56,61822065
2024-11-01 16:01:40.490965,74.31,74.54,74.14,74.38,57568007
2024-11-04 16:01:40.490965,74.33,75.73,73.22,74.01,11814004
2024-11-05 16:01:40.490965,73.59,73.97,72.62,73.57,46124762
2024-11-06 16:01:40.490965,74.01,74.19,73.84,73.98,52675125
2024-11-07 16:01:40.490965,73.41,73.59,73.29,73.4,52674642
2024-11-08 16:01:40.490965,73.74,73.85,72.59,73.39,23777842
2024-11-11 16:01:40.490965,74.02,74.14,72.02,74.0,44135764
2024-11-12 16:01:40.490965,72.54,73.16,71.1,72.0,66717415
2024-11-13 16:01:40.490965,73.04,73.16,72.96,73.07,70986141
2024-11-14 16:01:40.490965,71.53,72.03,71.25,71.51,95694727
2024-11-15 16:01:40.490965,71.11,71.44,69.27,71.02,66436649
2024-11-18 16:01:40.490965,69.15,69.48,68.19,68.84,43025853
2024-11-19 16:01:40.490965,67.45,67.88,66.36,67.47,53845112
2024-11-20 16:01:40.490965,65.65,65.8,64.98,65.77,80516328
2024-11-21 16:01:40.490965,66.5,67.15,66.06,66.73,48304659
2024-11-22 16:01:40.490965,67.0,67.22,66.44,66.81,16929862
2024-11-25 16:01:40.490965,66.56,67.17,65.19,66.8,96052241
2024-11-26 16:01:40.490965,72.02,72.25,71.31,71.86,61110326
2024-11-27 16:01:40.490965,72.23,72.58,71.92,72.43,11697310
2024-11-28 16:01:40.490965,70.62,71.53,69.96,70.93,79345974
2024-11-29 16:01:40.490965,69.48,69.71,68.33,69.25,2773624
2024-12-02 16:01:40.490965,67.4,67.81,66.83,67.49,50419862
2024-12-03 16:01:40.490965,67.73,69.72,66.67,68.48,60049929
2024-12-04 16:01:40.490965,68.25,68.54,68.02,68.12,74463105
2024-12-05 16:01:40.490965,67.48,68.77,66.91,67.7,99485604
2024-12-06 16:01:40.490965,67.76,68.56,66.63,67.63,78424713
2024-12-09 16:01:40.490965,68.29,68.93,66.91,67.82,10686610
2024-12-10 16:01:40.490965,69.29,70.2,67.63,69.74,97848911
2024-12-11 16:01:40.490965,70.55,71.53,70.33,70.69,3706378
2024-12-12 16:01:40.490965,71.85,73.83,71.59,72.31,45929407
2024-12-13 16:01:40.490965,73.15,73.15,71.78,72.67,15029756
2024-12-16 16:01:40.490965,74.29,75.53,73.38,73.77,45391727
2024-12-17 16:01:40.490965,72.53,73.58,72.45,72.85,1432273
2024-12-18 16:01:40.490965,70.24,71.63,69.81,70.47,15629108
2024-12-19 16:01:40.490965,72.1,73.73,70.75,72.65,98367622
2024-12-20 16:01:40.490965,73.6,73.63,73.0,73.22,8123788
2024-12-23 16:01:40.490965,74.7,76.25,73.67,74.24,99739103
2024-12-24 16:01:40.490965,72.28,73.32,71.63,72.48,21359539
2024-12-25 16:01:40.490965,70.71,71.23,70.15,70.75,53186164
2024-12-26 16:01:40.490965,71.06,71.99,70.84,70.85,62721763
2024-12-27 16:01:40.490965,70.09,71.47,69.94,70.79,21445192
2024-12-30 16:01:40.490965,71.73,71.84,70.62,71.47,73192791
2024-12-31 16:01:40.490965,70.3,71.03,68.31,69.73,73900455
2025-01-01 16:01:40.490965,72.31,72.85,71.8,72.36,77162085
2025-01-02 16:01:40.490965,69.86,70.46,68.53,69.92,52985195
2025-01-03 16:01:40.490965,69.46,69.52,68.17,69.45,98935319
2025-01-06 16:01:40.490965,69.72,70.1,69.15,69.96,68362687
2025-01-07 16:01:40.490965,70.05,70.98,69.01,69.54,36035606
2025-01-08 16:01:40.490965,68.0,68.69,67.96,68.33,80361976
2025-01-09 16:01:40.490965,68.13,68.83,67.21,67.43,80982916
2025-01-10 16:01:40.490965,65.93,66.4,64.5,66.18,50223027
2025-01-13 16:01:40.490965,67.17,67.84,66.46,67.05,55813606
2025-01-14 16:01:40.490965,67.33,67.61,66.67,67.28,99547920
2025-01-15 16:01:40.490965,66.33,67.84,65.84,66.77,52049474
2025-01-16 16:01:40.490965,67.81,67.82,67.28,67.79,52186073
2025-01-17 16:01:40.490965,69.36,70.28,67.99,69.43,12593730
2025-01-20 16:01:40.490965,69.34,70.37,68.31,68.57,51520791
2025-01-21 16:01:40.490965,66.33,67.39,65.25,66.13,2744429
2025-01-22 16:01:40.490965,64.79,64.85,63.34,64.41,97292251
2025-01-23 16:01:40.490965,63.29,64.09,62.85,63.89,12381351
2025-01-24 16:01:40.490965,66.77,67.11,65.87,66.36,25389206
2025-01-27 16:01:40.490965,65.06,66.41,63.37,65.48,87785077
2025-01-28 16:01:40.490965,65.05,65.36,63.91,65.34,42325534
2025-01-29 16:01:40.490965,65.35,66.71,64.62,65.22,92538201
2025-01-30 16:01:40.490965,65.94,66.58,64.72,65.7,82702093
2025-01-31 16:01:40.490965,64.06,65.14,63.69,63.81,45790420
2025-02-03 16:01:40.490965,64.26,65.44,63.91,64.44,2078327
2025-02-04 16:01:40.490965,66.15,66.57,64.93,65.49,90167820
2025-02-05 16:01:40.490965,66.98,67.63,66.04,67.37,47063493
2025-02-06 16:01:40.490965,68.23,68.62,68.04,68.57,82521729
2025-02-07 16:01:40.490965,68.76,69.86,68.08,68.48,51504964
2025-02-10 16:01:40.490965,65.38,65.6,65.28,65.52,22426853
2025-02-11 16:01:40.490965,64.47,64.83,64.11,64.21,55859385
2025-02-12 16:01:40.490965,63.63,64.63,63.46,64.02,96727433
2025-02-13 16:01:40.490965,64.49,65.37,64.4,64.45,94686168
2025-02-14 16:01:40.490965,64.23,64.24,62.9,63.93,15225798
2025-02-17 16:01:40.490965,64.03,65.57,63.35,64.14,74237603
2025-02-18 16:01:40.490965,65.68,66.15,65.25,65.57,23358747
2025-02-19 16:01:40.490965,68.81,69.25,67.57,67.86,60140754
2025-02-20 16:01:40.490965,67.25,68.29,66.6,67.65,61701656
2025-02-21 16:01:40.490965,67.95,68.22,66.01,67.53,30054072
2025-02-24 16:01:40.490965,70.14,70.59,69.62,69.89,91141503
2025-02-25 16:01:40.490965,68.86,70.57,68.24,69.35,90546926
2025-02-26 16:01:40.490965,68.33,68.7,67.33,68.29,19300330
2025-02-27 16:01:40.490965,66.91,67.46,66.28,67.08,81445277
2025-02-28 16:01:40.490965,67.84,68.57,67.63,68.05,55634904
2025-03-03 16:01:40.490965,71.74,72.24,71.44,71.57,93491318
2025-03-04 16:01:40.490965,69.38,71.1,68.54,69.52,42770038
2025-03-05 16:01:40.490965,69.82,69.93,69.64,69.83,43482754
2025-03-06 16:01:40.490965,68.87,69.63,68.45,69.0,21489663
2025-03-07 16:01:40.490965,71.13,71.76,70.34,70.78,85202317
2025-03-10 16:01:40.490965,70.5,71.11,69.66,70.56,97538370
2025-03-11 16:01:40.490965,69.76,71.32,69.49,70.12,94719127
2025-03-12 16:01:40.490965,70.61,71.37,69.98,70.5,12671185
2025-03-13 16:01:40.490965,71.93,72.49,71.13,71.9,46308891
2025-03-14 16:01:40.490965,74.01,74.13,73.44,73.62,81288187
2025-03-17 16:01:40.490965,71.69,72.31,70.48,71.38,40843012
2025-03-18 16:01:40.490965,68.54,69.27,68.31,69.1,78405769
2025-03-19 16:01:40.490965,69.5,70.22,69.06,69.85,50086270
2025-03-20 16:01:40.490965,70.03,71.1,69.81,70.03,54306492
2025-03-21 16:01:40.490965,69.09,69.39,68.56,68.77,83918557
2025-03-24 16:01:40.490965,69.54,70.05,67.64,69.2,10982082
2025-03-25 16:01:40.490965,69.98,70.47,68.79,69.59,31538463
2025-03-26 16:01:40.490965,68.21,69.2,67.66,67.72,1836771
2025-03-27 16:01:40.490965,67.54,67.89,66.56,67.77,31239967
2025-03-28 16:01:40.490965,68.57,68.69,68.08,68.59,30388371
2025-03-31 16:01:40.490965,68.21,69.06,67.41,68.43,93452652
2025-04-01 16:01:40.490965,69.69,69.79,68.97,69.27,26736692
2025-04-02 16:01:40.490965,72.76,73.15,72.13,72.86,88896393
2025-04-03 16:01:40.490965,71.69,72.57,71.51,71.86,64632604
2025-04-04 16:01:40.490965,70.97,72.55,70.93,71.7,26521195
2025-04-07 16:01:40.490965,68.92,70.39,68.82,69.13,43418829
2025-04-08 16:01:40.490965,70.9,71.74,70.16,70.72,3923300
2025-04-09 16:01:40.490965,70.91,71.21,70.56,71.02,41195368
2025-04-10 16:01:40.490965,72.54,74.03,72.17,73.27,11943985
2025-04-11 16:01:40.490965,74.58,75.47,73.53,75.23,9939956
2025-04-14 16:01:40.490965,77.44,77.7,76.49,76.95,55056126
2025-04-15 16:01:40.490965,76.84,77.96,76.49,76.68,75964757
2025-04-16 16:01:40.490965,77.54,78.17,77.47,77.48,73570589
2025-04-17 16:01:40.490965,81.74,82.53,80.24,81.35,26559970
2025-04-18 16:01:40.490965,81.44,83.44,80.41,81.7,95118011
2025-04-21 16:01:40.490965,84.51,85.77,84.44,84.87,90930363
2025-04-22 16:01:40.490965,82.5,82.51,81.5,81.73,33386020
2025-04-23 16:01:40.490965,83.5,84.0,82.84,83.35,85613925
